episodes,steps,total reward
24,1000,0.0
33,2000,0.0
39,3000,0.0
44,4000,0.0
48,5000,0.0
58,6000,0.0
69,7000,0.0
73,8000,0.0
80,9000,0.0
84,10000,0.0
88,11000,0.0
96,12000,2.0
103,13000,1.0
106,14000,0.0
113,15000,1.0
122,16000,0.0
128,17000,0.0
134,18000,1.0
142,19000,0.0
147,20000,0.0
148,21000,0.0
153,22000,1.0
160,23000,4.0
168,24000,0.0
178,25000,4.0
183,26000,0.0
190,27000,0.0
198,28000,2.0
202,29000,1.0
208,30000,1.0
215,31000,3.0
224,32000,4.0
233,33000,4.0
243,34000,4.0
257,35000,5.0
272,36000,9.0
297,37000,20.0
320,38000,15.0
349,39000,17.0
377,40000,21.0
403,41000,19.0
432,42000,18.0
459,43000,16.0
484,44000,16.0
513,45000,17.0
541,46000,20.0
576,47000,15.0
605,48000,19.0
634,49000,20.0
667,50000,16.0
697,51000,19.0
727,52000,20.0
754,53000,19.0
783,54000,20.0
812,55000,19.0
844,56000,16.0
872,57000,19.0
904,58000,15.0
934,59000,20.0
960,60000,20.0
991,61000,20.0
1019,62000,19.0
1051,63000,18.0
1082,64000,19.0
1111,65000,18.0
1139,66000,19.0
1165,67000,19.0
1190,68000,19.0
1216,69000,19.0
1245,70000,20.0
1275,71000,18.0
1307,72000,18.0
1336,73000,22.0
1366,74000,20.0
1395,75000,18.0
1424,76000,22.0
1454,77000,18.0
1483,78000,18.0
1512,79000,19.0
1540,80000,19.0
1567,81000,18.0
1598,82000,20.0
1628,83000,18.0
1656,84000,22.0
1685,85000,19.0
1714,86000,20.0
1744,87000,17.0
1770,88000,17.0
1798,89000,19.0
1827,90000,19.0
1854,91000,21.0
1883,92000,21.0
1911,93000,19.0
1942,94000,18.0
1975,95000,16.0
2003,96000,19.0
2033,97000,18.0
2062,98000,21.0
2090,99000,19.0
2116,100000,18.0
