# {"t_start": 1641523890.3570344, "env_id": "Office-single-v0"} 
r,l,t
0.5,30,0.003987
0.5,12,0.005506
0.0,15,0.007349
0.5,67,0.014691
0.5,31,0.017915
0.5,14,0.019411
0.5,24,0.021911
0.5,42,0.026199
0.5,24,0.028616
0.0,19,0.030622
0.0,111,0.042273
0.5,62,0.048629
0.0,69,0.055612
0.5,32,0.058878
0.5,20,0.060929
0.0,27,0.063736
0.5,66,0.070435
0.5,66,0.077194
0.5,62,0.083468
0.5,26,0.086103
0.0,140,0.100301
0.0,2,0.100539
0.0,89,0.110406
0.0,6,0.11105
0.5,97,0.120947
0.0,80,0.129292
0.0,39,0.133396
0.0,73,0.140824
0.5,87,0.149734
0.5,69,0.156771
0.0,84,0.16527
1.0,146,0.180124
0.0,164,0.196877
0.0,302,0.227935
0.0,30,0.231114
0.5,20,0.233192
0.5,25,0.235793
0.5,264,0.262919
0.5,229,0.286041
0.5,30,0.289112
0.5,46,0.293795
0.0,2,0.294032
0.0,196,0.314038
0.0,27,0.316849
0.5,29,0.319761
0.0,117,0.331723
1.0,247,0.35698
0.5,45,0.361691
0.5,53,0.367085
0.5,25,0.369621
0.0,520,0.422428
0.5,20,0.424546
0.0,198,0.444716
0.0,14,0.446161
0.5,390,0.486642
0.0,201,0.507221
1.0,234,0.531495
0.5,11,0.532634
0.0,74,0.540145
0.5,48,0.545308
0.5,55,0.551013
0.5,144,0.565683
0.0,24,0.568171
0.5,45,0.572723
0.0,327,0.606079
0.0,52,0.611231
0.5,57,0.616991
0.0,53,0.62261
0.5,33,0.625998
0.5,56,0.631687
0.0,453,0.678174
0.5,57,0.684023
0.0,266,0.711097
0.5,248,0.736514
0.0,227,0.759858
0.5,37,0.763638
0.0,34,0.767135
0.5,311,0.798734
0.5,26,0.80142
0.0,80,0.80953
0.5,79,0.817796
0.5,98,0.828013
0.5,74,0.835685
0.0,207,0.856925
0.0,2,0.857159
0.5,38,0.861209
0.0,259,0.88752
0.5,11,0.888668
0.5,29,0.891656
0.0,193,0.911323
0.5,28,0.914219
0.0,310,0.94596
0.0,65,0.952811
0.0,229,0.976617
0.5,37,0.980658
0.5,15,0.982351
0.0,89,0.991335
0.0,643,1.057617
0.5,8,1.05846
0.5,16,1.060159
0.5,24,1.062644
0.0,1000,1.165129
0.0,25,1.16783
0.5,6,1.168534
0.5,50,1.174021
0.5,9,1.174949
0.5,13,1.176278
0.0,45,1.180812
0.5,14,1.182291
0.0,59,1.188252
0.5,18,1.190129
0.5,10,1.191169
0.5,4,1.1916
0.0,446,1.236943
0.0,812,1.319724
0.5,8,1.320571
0.5,29,1.323606
0.5,6,1.32424
0.5,4,1.324673
0.5,10,1.325712
0.0,207,1.346913
0.5,6,1.347559
0.5,7,1.348292
0.5,4,1.348726
0.5,6,1.349399
0.5,4,1.349869
0.5,6,1.350501
0.5,4,1.350934
0.5,6,1.351562
0.5,4,1.351991
0.5,11,1.353119
0.5,4,1.353553
0.5,4,1.353982
0.5,4,1.354412
0.5,4,1.354843
0.5,4,1.355274
0.5,4,1.355701
0.5,4,1.356131
0.5,4,1.35656
0.5,4,1.356995
0.5,4,1.357424
0.5,4,1.357892
0.5,4,1.358325
0.5,4,1.358754
0.5,4,1.35927
0.5,6,1.359894
0.5,4,1.360324
0.5,4,1.360757
0.5,8,1.361589
0.5,4,1.362024
0.5,4,1.362478
0.5,4,1.362957
0.5,6,1.363617
0.5,4,1.364081
0.5,4,1.364512
0.5,4,1.364942
0.5,11,1.366115
0.5,14,1.367752
0.5,4,1.368181
0.5,4,1.368613
0.5,4,1.369083
0.5,8,1.369915
0.5,4,1.370348
0.5,12,1.371602
0.5,4,1.372034
0.5,4,1.372466
0.5,4,1.372925
0.5,4,1.373371
0.5,4,1.373803
0.5,4,1.374235
0.5,4,1.374666
0.5,4,1.375096
0.5,4,1.375526
0.5,4,1.375987
0.5,4,1.376418
0.5,4,1.376854
0.5,4,1.377287
0.5,4,1.377717
0.5,6,1.378345
0.5,4,1.378775
0.5,6,1.379406
0.5,4,1.379837
0.5,9,1.380798
0.5,9,1.381738
0.5,4,1.382171
0.5,6,1.382798
0.5,4,1.383229
0.5,4,1.383661
0.5,4,1.384089
0.5,4,1.38452
0.5,4,1.384956
0.5,4,1.38539
0.5,52,1.390669
0.5,4,1.391107
0.5,4,1.391574
0.5,4,1.392006
0.5,6,1.392636
0.5,4,1.393071
0.5,4,1.393504
0.5,4,1.393933
0.5,6,1.394592
0.5,4,1.395024
0.5,6,1.395656
0.5,4,1.396223
0.5,4,1.396657
0.5,4,1.397204
0.5,4,1.397638
0.5,4,1.398067
0.5,4,1.3985
0.5,4,1.398931
0.5,6,1.399562
0.5,6,1.400192
0.5,4,1.400622
0.5,4,1.401059
0.5,4,1.401495
0.5,6,1.402127
0.5,4,1.402551
0.5,6,1.4032
0.5,6,1.403951
0.5,4,1.404418
0.5,4,1.404888
0.5,4,1.405319
0.5,4,1.405821
0.5,4,1.406333
0.5,4,1.406765
0.5,4,1.407198
0.5,6,1.407826
0.5,4,1.408259
0.5,4,1.40869
0.5,4,1.40913
0.5,4,1.409566
0.5,9,1.410501
0.5,4,1.410966
0.5,6,1.411607
0.5,6,1.412243
0.5,4,1.412678
0.5,10,1.413707
0.5,6,1.414339
0.5,10,1.415372
0.5,4,1.415802
0.5,4,1.416234
0.5,4,1.416664
0.5,4,1.417099
0.5,4,1.4176
0.5,9,1.418578
0.5,4,1.419016
0.5,4,1.41945
0.5,4,1.419881
0.5,4,1.420312
0.5,4,1.420748
0.5,4,1.421182
0.5,4,1.421613
0.5,4,1.422046
0.5,4,1.422476
0.5,6,1.423141
0.5,4,1.423573
0.5,4,1.424
0.5,4,1.424434
0.5,4,1.42487
0.5,6,1.425504
0.5,4,1.425937
0.5,8,1.426797
0.5,4,1.427231
0.5,10,1.428258
0.5,4,1.42869
0.5,4,1.429126
0.5,4,1.429563
0.5,4,1.429997
0.5,4,1.430429
0.5,4,1.430857
0.5,4,1.431288
0.5,4,1.431721
0.5,4,1.432153
0.5,4,1.432583
0.5,4,1.433017
0.5,6,1.433651
0.5,4,1.434116
0.5,7,1.434952
0.5,4,1.435381
0.5,4,1.435814
0.5,4,1.436245
0.5,8,1.437072
0.5,4,1.43751
0.5,4,1.437944
0.5,4,1.438378
0.5,4,1.43881
0.5,4,1.439242
0.5,4,1.439672
0.5,4,1.440099
0.5,17,1.441873
0.5,6,1.442511
0.5,11,1.443638
0.5,4,1.444296
0.5,4,1.444729
0.5,8,1.4456
0.5,4,1.446035
0.5,4,1.446467
0.5,13,1.447801
0.5,4,1.448232
0.5,4,1.448663
0.5,4,1.449093
0.5,4,1.449561
0.5,4,1.449991
0.5,4,1.45042
0.5,4,1.45085
0.5,4,1.451283
0.5,4,1.451711
0.5,4,1.452145
0.5,4,1.452575
0.5,6,1.45321
0.5,4,1.453646
0.5,4,1.454078
0.5,6,1.454744
0.5,4,1.455175
0.5,4,1.455606
0.5,4,1.456035
0.5,4,1.456466
0.5,4,1.456954
0.5,4,1.457443
0.5,4,1.457941
0.5,4,1.458372
0.5,6,1.459002
0.5,4,1.459463
0.5,4,1.459895
0.5,4,1.460326
0.5,4,1.460763
0.5,6,1.461394
0.5,4,1.461946
0.5,8,1.462955
0.5,4,1.463392
0.5,4,1.463828
0.5,4,1.464262
0.5,4,1.464722
0.5,8,1.465559
0.5,6,1.46619
0.5,4,1.466624
0.5,4,1.467057
0.5,4,1.467485
0.5,4,1.467916
0.5,6,1.468539
0.5,4,1.468974
0.5,4,1.469405
0.5,4,1.469836
0.5,4,1.470301
0.5,4,1.470731
0.5,4,1.471164
0.5,4,1.471593
0.5,4,1.472082
0.5,4,1.472622
0.5,4,1.473058
0.5,4,1.473492
0.5,12,1.474729
0.5,4,1.475162
0.5,4,1.475593
0.5,4,1.476023
0.5,4,1.476454
0.5,4,1.476932
0.5,6,1.477623
0.5,6,1.478441
0.5,4,1.478878
0.5,4,1.479313
0.5,4,1.479745
0.5,6,1.480481
0.5,4,1.480953
0.5,4,1.481379
0.5,4,1.48181
0.5,4,1.482241
0.5,4,1.482671
0.5,4,1.483103
0.5,4,1.483536
0.5,6,1.484167
0.5,8,1.485003
0.5,4,1.485439
0.5,4,1.485873
0.5,4,1.486303
0.5,6,1.486937
0.5,4,1.4874
0.5,4,1.487838
0.5,6,1.488501
0.5,4,1.488941
0.5,4,1.489377
0.5,4,1.48981
0.5,4,1.490244
0.5,4,1.490676
0.5,4,1.491108
0.5,4,1.49154
0.5,6,1.492446
0.5,4,1.492924
0.5,4,1.493362
0.5,4,1.493791
0.5,4,1.494223
0.5,4,1.494654
0.5,4,1.495085
0.5,4,1.49555
0.5,4,1.495981
0.5,4,1.496412
0.5,6,1.497051
0.5,4,1.497483
0.5,4,1.497916
0.5,4,1.498345
0.5,4,1.498776
0.5,4,1.499207
0.5,4,1.499637
0.5,4,1.500067
0.5,6,1.500698
0.5,4,1.501135
0.5,4,1.501572
0.5,4,1.502002
0.5,4,1.502433
0.5,6,1.503101
0.5,6,1.503733
0.5,4,1.504168
0.5,4,1.5046
0.5,4,1.505039
0.5,4,1.505471
0.5,4,1.505905
0.5,4,1.506336
0.5,6,1.506968
0.5,4,1.507402
0.5,4,1.50783
0.5,4,1.508484
0.5,9,1.509461
0.5,6,1.510097
0.5,6,1.510867
0.5,4,1.511298
0.5,4,1.511728
0.5,6,1.51236
0.5,6,1.512994
0.5,4,1.513428
0.5,4,1.513861
0.5,9,1.514793
0.5,4,1.515227
0.5,6,1.515856
0.5,4,1.516287
0.5,8,1.517126
0.5,4,1.517559
0.5,4,1.51799
0.5,4,1.518454
0.5,4,1.518889
0.5,4,1.519319
0.5,4,1.51975
0.5,4,1.520176
0.5,4,1.520607
0.5,8,1.521443
0.5,4,1.521878
0.5,4,1.52231
0.5,4,1.522743
0.5,4,1.523173
0.5,4,1.523601
0.5,4,1.524033
0.5,4,1.524463
0.5,6,1.525101
0.5,4,1.525535
0.5,6,1.526208
0.5,4,1.526645
0.5,6,1.527273
0.5,4,1.527704
0.5,4,1.528135
0.5,4,1.528564
0.5,4,1.528999
0.5,4,1.529433
0.5,6,1.530064
0.5,4,1.530497
0.5,4,1.530935
0.5,8,1.531768
0.5,6,1.532396
0.5,4,1.532832
0.5,4,1.533267
0.5,4,1.533735
0.5,6,1.534368
0.5,4,1.534795
0.5,4,1.535228
0.5,6,1.535858
0.5,4,1.536289
0.5,6,1.536925
0.5,6,1.537558
0.5,4,1.537989
0.5,4,1.53842
0.5,6,1.539048
0.5,4,1.539482
0.5,6,1.540118
0.5,6,1.540756
0.5,4,1.541224
0.5,4,1.541661
0.5,4,1.542093
0.5,6,1.542725
0.5,4,1.543156
0.5,4,1.543587
0.5,7,1.544312
0.5,4,1.544749
0.5,4,1.545181
