episodes,steps,total reward
21,1000,3.5
33,2000,5.0
45,3000,3.5
50,4000,2.0
61,5000,1.5
70,6000,4.5
80,7000,3.0
94,8000,6.5
105,9000,6.5
117,10000,6.5
133,11000,7.5
146,12000,10.5
166,13000,11.5
183,14000,10.0
198,15000,9.0
217,16000,13.5
242,17000,19.0
273,18000,23.0
309,19000,24.5
351,20000,30.0
414,21000,47.0
477,22000,47.0
530,23000,43.5
597,24000,46.5
658,25000,43.5
722,26000,46.0
785,27000,47.0
852,28000,48.5
913,29000,48.5
975,30000,44.5
1041,31000,48.5
1105,32000,44.0
1173,33000,47.5
1234,34000,48.5
1298,35000,47.0
1363,36000,46.0
1422,37000,45.5
1490,38000,46.5
1554,39000,46.0
1616,40000,49.0
1677,41000,49.5
1744,42000,48.5
1809,43000,47.0
1873,44000,49.0
1938,45000,47.0
2002,46000,45.0
2062,47000,47.5
2125,48000,48.0
2185,49000,45.5
2251,50000,45.0
2313,51000,46.0
2377,52000,49.0
2437,53000,47.5
2498,54000,46.5
2562,55000,49.0
2626,56000,46.0
2689,57000,50.0
2753,58000,50.0
2818,59000,51.0
2876,60000,49.5
2938,61000,45.5
3004,62000,48.5
3072,63000,49.5
3134,64000,47.5
3194,65000,47.5
3264,66000,48.0
3322,67000,49.0
3386,68000,48.0
3455,69000,49.0
3517,70000,47.5
3581,71000,48.0
3645,72000,49.0
3710,73000,45.0
3773,74000,46.0
3834,75000,47.5
3896,76000,46.0
3961,77000,47.0
4021,78000,48.5
4080,79000,48.5
4142,80000,49.5
4206,81000,46.0
4269,82000,49.0
4336,83000,49.5
4401,84000,46.0
4466,85000,47.0
4537,86000,46.0
4597,87000,49.5
4660,88000,47.0
4726,89000,50.0
4793,90000,48.5
4853,91000,46.5
4917,92000,47.0
4978,93000,43.5
5039,94000,49.5
5102,95000,49.0
5167,96000,48.0
5231,97000,48.0
5294,98000,48.0
5356,99000,45.0
5420,100000,47.0
