# {"t_start": 1641534056.6611261, "env_id": "Office-v0"} 
r,l,t
0.0,67,0.02505
0.0,2,0.025767
0.0,9,0.028897
0.0,11,0.03305
0.0,39,0.046162
0.0,36,0.058805
0.0,38,0.071746
0.0,21,0.078772
0.0,58,0.098247
0.0,50,0.114754
0.0,13,0.119104
0.5,31,0.129385
1.0,163,0.18687
0.0,52,0.20713
0.0,121,0.251054
0.0,66,0.274439
0.0,82,0.302949
0.0,39,0.316528
0.0,59,0.336876
0.0,100,0.372537
0.0,81,0.401341
0.0,87,0.431381
0.0,126,0.476036
0.5,221,0.553433
1.0,68,0.577373
0.0,34,0.589316
0.0,93,0.622022
0.0,11,0.625937
1.0,234,0.708328
0.0,93,0.743175
0.0,35,0.756088
0.0,55,0.775411
0.0,38,0.788611
1.0,360,0.908975
0.0,79,0.934973
0.0,428,1.085218
1.0,40,1.10027
0.0,128,1.143577
0.0,15,1.148689
0.5,12,1.152789
1.0,107,1.189668
0.0,446,1.342699
0.0,83,1.370805
0.0,690,1.609202
0.0,18,1.615391
0.0,203,1.685688
0.0,103,1.721442
0.5,17,1.727224
1.0,60,1.747766
0.0,12,1.751927
0.0,36,1.764277
0.5,145,1.817564
0.0,28,1.826839
0.0,341,1.944619
1.0,138,1.992606
0.5,13,1.997038
0.0,39,2.010148
0.0,35,2.022234
0.0,396,2.161391
0.5,24,2.16965
1.0,74,2.195385
0.0,26,2.204719
1.0,136,2.250983
0.5,47,2.268354
1.0,23,2.276173
1.0,239,2.358662
0.0,183,2.42092
0.5,298,2.526526
1.0,13,2.53138
1.0,203,2.601473
0.0,67,2.624247
0.5,51,2.641532
1.0,33,2.65272
1.0,348,2.770957
0.0,315,2.884167
0.5,6,2.886345
1.0,44,2.901532
1.0,290,2.99964
0.0,66,3.022256
0.0,69,3.045422
1.0,21,3.05244
1.0,227,3.130502
0.0,12,3.134725
0.5,25,3.144611
1.0,12,3.149172
1.0,162,3.208091
1.0,159,3.262003
0.5,9,3.26505
1.0,21,3.272218
1.0,187,3.335654
0.0,171,3.396727
0.5,4,3.3981
1.0,32,3.408877
0.0,125,3.452268
0.0,42,3.466902
0.5,8,3.469754
1.0,12,3.473767
1.0,172,3.535985
