episodes,steps,total reward
20,1000,4.5
35,2000,3.5
40,3000,1.0
47,4000,1.5
57,5000,3.0
68,6000,2.5
75,7000,2.5
82,8000,1.0
87,9000,1.0
99,10000,4.5
107,11000,2.5
132,12000,9.0
228,13000,46.5
445,14000,108.0
653,15000,103.5
871,16000,109.0
1082,17000,105.0
1184,18000,51.0
1398,19000,106.5
1614,20000,108.0
1836,21000,110.5
2049,22000,106.5
2269,23000,109.5
2487,24000,109.0
2702,25000,107.5
2871,26000,84.0
3088,27000,108.5
3298,28000,105.0
3515,29000,108.5
3729,30000,107.0
3949,31000,110.0
4164,32000,107.5
4374,33000,105.0
4591,34000,108.5
4808,35000,108.5
5025,36000,108.5
5237,37000,106.0
5452,38000,107.5
5669,39000,108.5
5882,40000,106.5
6036,41000,76.5
6251,42000,107.5
6463,43000,106.5
6673,44000,102.5
6890,45000,108.5
7114,46000,112.0
7330,47000,108.0
7523,48000,96.5
7740,49000,109.0
7954,50000,106.5
8168,51000,106.5
8388,52000,110.0
8617,53000,114.5
8834,54000,109.0
9044,55000,104.0
9262,56000,109.0
9477,57000,107.5
9694,58000,108.0
9906,59000,106.0
10125,60000,110.0
10341,61000,107.5
10561,62000,110.0
10777,63000,108.0
10995,64000,109.0
11208,65000,106.5
11422,66000,107.0
11635,67000,106.5
11829,68000,97.0
12050,69000,110.0
12270,70000,110.0
12486,71000,108.0
12660,72000,86.5
12863,73000,101.0
13003,74000,70.0
13223,75000,109.5
13436,76000,106.5
13652,77000,108.0
13866,78000,107.0
14081,79000,107.5
14301,80000,110.0
14517,81000,108.0
14727,82000,105.0
14945,83000,109.0
15164,84000,109.5
15382,85000,109.0
15579,86000,98.5
15749,87000,85.0
15962,88000,106.0
16179,89000,108.5
16391,90000,106.0
16611,91000,110.0
16822,92000,105.5
17039,93000,108.5
17255,94000,108.0
17474,95000,109.5
17695,96000,110.5
17910,97000,106.5
18131,98000,110.0
18346,99000,107.0
18562,100000,108.0
