episodes,steps,total reward
21,1000,0.0
33,2000,0.0
41,3000,0.0
46,4000,1.0
51,5000,2.0
63,6000,3.0
71,7000,1.0
72,8000,0.0
83,9000,1.0
93,10000,3.0
97,11000,0.0
104,12000,3.0
114,13000,2.0
124,14000,4.0
133,15000,4.0
141,16000,4.0
154,17000,8.0
179,18000,19.0
189,19000,7.0
238,20000,41.0
290,21000,42.0
347,22000,49.0
403,23000,46.0
463,24000,45.0
519,25000,47.0
570,26000,45.0
632,27000,46.0
688,28000,50.0
743,29000,47.0
797,30000,50.0
851,31000,51.0
908,32000,50.0
966,33000,49.0
1022,34000,51.0
1081,35000,47.0
1137,36000,44.0
1195,37000,49.0
1253,38000,50.0
1309,39000,49.0
1366,40000,51.0
1424,41000,42.0
1482,42000,49.0
1534,43000,46.0
1589,44000,50.0
1646,45000,47.0
1702,46000,51.0
1754,47000,50.0
1812,48000,50.0
1867,49000,49.0
1926,50000,50.0
1983,51000,50.0
2039,52000,48.0
2097,53000,46.0
2153,54000,49.0
2207,55000,47.0
2266,56000,47.0
2323,57000,48.0
2379,58000,46.0
2434,59000,48.0
2493,60000,46.0
2549,61000,47.0
2607,62000,48.0
2666,63000,49.0
2725,64000,46.0
2778,65000,48.0
2834,66000,51.0
2891,67000,47.0
2947,68000,50.0
3000,69000,51.0
3058,70000,46.0
3119,71000,47.0
3173,72000,48.0
3232,73000,51.0
3287,74000,49.0
3347,75000,47.0
3406,76000,46.0
3454,77000,38.0
3513,78000,45.0
3571,79000,48.0
3629,80000,48.0
3690,81000,48.0
3747,82000,48.0
3802,83000,50.0
3860,84000,46.0
3916,85000,48.0
3973,86000,48.0
4027,87000,49.0
4086,88000,49.0
4138,89000,49.0
4197,90000,47.0
4254,91000,50.0
4308,92000,52.0
4365,93000,47.0
4422,94000,48.0
4482,95000,46.0
4538,96000,48.0
4593,97000,48.0
4649,98000,47.0
4705,99000,50.0
4763,100000,46.0
