episodes,steps,total reward
17,1000,0.0
28,2000,0.0
32,3000,0.0
34,4000,0.0
39,5000,0.0
49,6000,1.0
58,7000,0.0
67,8000,0.0
69,9000,0.0
77,10000,0.0
83,11000,1.0
91,12000,1.0
96,13000,1.0
99,14000,0.0
101,15000,0.0
110,16000,2.0
116,17000,0.0
128,18000,1.0
132,19000,0.0
137,20000,2.0
149,21000,3.0
157,22000,3.0
166,23000,4.0
172,24000,3.0
191,25000,12.0
229,26000,25.0
267,27000,30.0
307,28000,32.0
348,29000,31.0
388,30000,31.0
421,31000,26.0
462,32000,31.0
503,33000,32.0
541,34000,33.0
580,35000,32.0
623,36000,32.0
663,37000,31.0
699,38000,35.0
745,39000,28.0
784,40000,34.0
823,41000,32.0
862,42000,31.0
902,43000,31.0
940,44000,32.0
980,45000,32.0
1009,46000,24.0
1046,47000,31.0
1086,48000,33.0
1128,49000,28.0
1170,50000,30.0
1210,51000,33.0
1251,52000,31.0
1291,53000,32.0
1331,54000,30.0
1369,55000,32.0
1411,56000,31.0
1452,57000,30.0
1490,58000,32.0
1531,59000,30.0
1571,60000,31.0
1614,61000,29.0
1638,62000,19.0
1678,63000,27.0
1720,64000,32.0
1759,65000,32.0
1798,66000,33.0
1838,67000,29.0
1877,68000,32.0
1921,69000,30.0
1961,70000,35.0
1998,71000,34.0
2035,72000,28.0
2076,73000,32.0
2117,74000,31.0
2160,75000,31.0
2203,76000,30.0
2244,77000,33.0
2284,78000,31.0
2323,79000,33.0
2364,80000,30.0
2405,81000,29.0
2445,82000,32.0
2481,83000,33.0
2523,84000,32.0
2565,85000,30.0
2605,86000,31.0
2643,87000,33.0
2686,88000,30.0
2723,89000,34.0
2763,90000,30.0
2804,91000,31.0
2845,92000,28.0
2884,93000,31.0
2926,94000,32.0
2964,95000,33.0
3003,96000,32.0
3046,97000,32.0
3088,98000,29.0
3126,99000,29.0
3165,100000,31.0
