episodes,steps,total reward
23,1000,1.0
35,2000,2.0
43,3000,2.0
47,4000,0.0
57,5000,2.0
66,6000,3.0
75,7000,3.0
83,8000,3.0
87,9000,2.0
91,10000,1.0
103,11000,5.0
112,12000,4.0
123,13000,7.0
135,14000,6.0
143,15000,3.0
151,16000,3.0
158,17000,2.0
171,18000,9.0
183,19000,7.0
199,20000,7.0
210,21000,8.0
227,22000,12.0
253,23000,15.0
298,24000,39.0
335,25000,28.0
379,26000,36.0
419,27000,30.0
459,28000,30.0
475,29000,14.0
522,30000,38.0
566,31000,36.0
613,32000,40.0
661,33000,40.0
707,34000,36.0
755,35000,40.0
803,36000,37.0
850,37000,40.0
897,38000,39.0
945,39000,40.0
988,40000,34.0
1036,41000,40.0
1087,42000,39.0
1136,43000,41.0
1183,44000,36.0
1233,45000,39.0
1278,46000,42.0
1325,47000,39.0
1372,48000,39.0
1423,49000,41.0
1471,50000,39.0
1518,51000,41.0
1567,52000,38.0
1615,53000,40.0
1661,54000,40.0
1708,55000,39.0
1759,56000,41.0
1809,57000,33.0
1859,58000,36.0
1907,59000,41.0
1954,60000,38.0
2004,61000,41.0
2053,62000,35.0
2101,63000,40.0
2145,64000,38.0
2196,65000,41.0
2246,66000,39.0
2291,67000,40.0
2337,68000,36.0
2386,69000,39.0
2433,70000,39.0
2482,71000,41.0
2530,72000,41.0
2575,73000,42.0
2623,74000,36.0
2668,75000,37.0
2714,76000,40.0
2762,77000,42.0
2807,78000,40.0
2857,79000,40.0
2906,80000,39.0
2953,81000,41.0
3002,82000,41.0
3053,83000,39.0
3099,84000,40.0
3151,85000,36.0
3200,86000,40.0
3245,87000,40.0
3294,88000,42.0
3345,89000,40.0
3391,90000,40.0
3437,91000,40.0
3485,92000,42.0
3531,93000,39.0
3577,94000,39.0
3622,95000,43.0
3669,96000,41.0
3719,97000,42.0
3766,98000,37.0
3814,99000,38.0
3861,100000,40.0
