# {"t_start": 1641628426.878637, "env_id": "Office-v0"} 
r,l,t
0.0,6,0.002638
0.0,70,0.028881
0.0,25,0.041707
0.0,19,0.048554
0.0,19,0.055409
0.0,18,0.061823
0.0,19,0.068689
0.0,33,0.080516
0.0,27,0.090274
0.0,78,0.11871
0.0,126,0.170529
0.0,75,0.197446
0.0,9,0.20067
0.0,49,0.21824
0.0,66,0.241766
0.0,13,0.246405
1.0,55,0.266017
0.0,174,0.328862
0.0,45,0.345516
0.0,94,0.379975
1.0,160,0.438163
0.0,70,0.463194
0.0,74,0.489679
0.0,83,0.519365
0.0,28,0.52936
0.0,100,0.565044
0.0,41,0.579693
0.0,97,0.614512
0.0,32,0.625919
0.0,4,0.627361
0.0,185,0.693265
0.0,176,0.756866
1.0,44,0.772987
1.0,149,0.82651
1.0,449,0.98798
0.0,24,0.996717
1.0,74,1.023359
1.0,276,1.123872
0.0,76,1.151893
0.0,14,1.15699
0.0,50,1.17512
0.0,170,1.23666
0.0,45,1.253224
0.0,321,1.370525
1.0,25,1.379678
0.0,121,1.423542
0.0,28,1.43369
0.0,183,1.500979
1.0,55,1.52085
1.0,206,1.595784
0.0,49,1.613469
0.0,247,1.703119
1.0,98,1.738739
0.0,9,1.74202
0.0,162,1.801151
0.0,55,1.821082
1.0,106,1.86121
0.0,19,1.868194
0.0,76,1.895799
0.0,116,1.937805
1.0,15,1.943297
1.0,169,2.004611
0.0,77,2.032539
0.0,577,2.243068
1.0,40,2.257577
0.0,70,2.283057
0.0,214,2.361389
0.0,155,2.417627
1.0,48,2.435111
0.0,45,2.451433
0.0,15,2.456883
0.0,592,2.672463
1.0,105,2.71049
0.0,47,2.727439
0.0,188,2.796375
0.0,97,2.83211
1.0,21,2.839741
1.0,159,2.898191
0.0,42,2.913364
0.0,104,2.952183
1.0,57,2.972995
0.0,182,3.039056
0.0,11,3.043067
0.0,313,3.156679
1.0,14,3.16178
0.0,29,3.172321
1.0,257,3.265435
0.0,197,3.338336
1.0,38,3.352465
0.0,159,3.41058
0.0,161,3.468958
0.0,34,3.481254
1.0,21,3.488869
1.0,269,3.58623
0.0,47,3.603317
0.0,101,3.639699
1.0,11,3.643797
