# {"t_start": 1641374347.0531433, "env_id": "Office-single-v0"} 
r,l,t
0.0,76,0.020671
0.0,22,0.026277
0.0,24,0.03231
0.0,16,0.036305
0.0,20,0.041796
0.0,6,0.043438
0.0,22,0.048897
0.0,39,0.058626
0.0,34,0.067129
0.0,48,0.079186
0.0,28,0.086195
0.0,70,0.103933
0.0,122,0.134336
0.0,41,0.144632
0.0,49,0.156894
0.0,51,0.169653
0.0,105,0.195819
0.0,88,0.218176
0.0,11,0.221053
0.0,47,0.232723
0.0,80,0.252817
0.0,175,0.298122
0.0,16,0.302253
0.0,46,0.313995
0.0,14,0.317471
0.0,51,0.330544
0.0,15,0.334336
0.0,98,0.359007
0.0,82,0.379644
0.0,14,0.383136
0.0,102,0.408848
0.0,206,0.46077
0.0,56,0.474992
0.0,41,0.485296
0.0,77,0.504609
0.0,104,0.531372
0.0,15,0.535931
0.0,556,0.676194
0.0,36,0.685359
0.0,8,0.687434
0.0,536,0.827698
0.0,4,0.828807
0.0,239,0.889854
0.0,40,0.899916
0.0,268,0.967615
0.0,165,1.009413
0.0,533,1.145678
0.0,488,1.26937
0.0,58,1.284177
0.0,348,1.373528
0.0,160,1.413388
0.0,4,1.414467
0.0,37,1.423928
0.0,180,1.469743
0.0,29,1.477093
0.0,30,1.48469
0.0,123,1.51573
0.0,198,1.567115
0.0,80,1.587586
0.0,158,1.627129
0.0,45,1.638521
0.0,151,1.676695
0.0,115,1.706003
0.0,43,1.716846
0.0,86,1.738686
0.0,27,1.745574
0.0,64,1.761825
0.0,159,1.803168
0.0,74,1.822946
0.0,146,1.860157
0.0,200,1.911276
0.0,21,1.916612
0.0,682,2.091498
0.0,164,2.132875
0.0,549,2.272339
0.0,498,2.401478
0.0,304,2.478257
0.0,487,2.603664
0.0,143,2.64004
0.0,10,2.642574
0.0,140,2.678054
0.0,451,2.79342
0.0,72,2.812318
0.0,80,2.833544
0.0,71,2.853307
0.0,27,2.860399
0.0,34,2.869197
0.0,114,2.898521
0.0,151,2.937109
0.0,92,2.960529
0.0,58,2.975374
0.0,176,3.020614
0.0,9,3.022928
0.0,221,3.08016
0.0,67,3.098028
0.0,4,3.099172
0.0,275,3.169766
0.0,60,3.185231
0.0,11,3.188071
0.0,220,3.245335
1.0,686,3.423796
0.0,75,3.443058
0.0,673,3.616028
0.0,967,3.864197
0.0,53,3.878531
0.0,132,3.912265
0.0,471,4.032082
0.0,373,4.127549
0.0,152,4.166644
0.0,266,4.234787
0.0,78,4.254641
0.0,293,4.329974
0.0,115,4.359473
0.0,250,4.423608
0.0,104,4.450094
0.0,32,4.45822
0.0,85,4.479774
0.0,6,4.481312
0.0,15,4.485132
0.0,54,4.498742
0.0,29,4.506108
0.0,13,4.509407
0.0,13,4.512735
0.0,9,4.514991
0.0,8,4.517033
1.0,53,4.530487
0.0,180,4.576365
0.0,133,4.610502
0.0,67,4.627718
0.0,396,4.729169
0.0,46,4.740982
0.0,47,4.753027
0.0,225,4.81052
1.0,342,4.898539
0.0,150,4.937114
0.0,174,4.981271
0.0,237,5.041391
0.0,142,5.077559
1.0,71,5.09595
0.0,10,5.098445
0.0,183,5.14528
1.0,102,5.171658
0.0,10,5.174207
0.0,145,5.211218
1.0,49,5.223969
0.0,27,5.23078
1.0,199,5.281513
1.0,42,5.292182
0.0,11,5.294986
1.0,335,5.380494
1.0,47,5.392744
0.0,46,5.404411
0.0,13,5.407645
0.0,12,5.410756
0.0,4,5.411786
1.0,45,5.423376
1.0,45,5.434842
0.0,234,5.494219
0.0,4,5.495283
0.0,11,5.498141
1.0,40,5.508503
1.0,38,5.518244
0.0,14,5.521817
1.0,43,5.532782
1.0,48,5.545031
1.0,43,5.556029
1.0,39,5.566013
1.0,44,5.577281
1.0,38,5.58698
0.0,23,5.592802
0.0,16,5.59684
1.0,44,5.60799
1.0,42,5.618748
1.0,49,5.631159
1.0,38,5.641148
1.0,43,5.652096
1.0,47,5.664327
0.0,31,5.67218
1.0,43,5.683311
0.0,31,5.691259
1.0,44,5.70257
1.0,42,5.713606
1.0,42,5.724592
0.0,17,5.728968
0.0,6,5.730516
0.0,23,5.73636
1.0,42,5.747061
0.0,37,5.756423
0.0,36,5.765656
1.0,44,5.776891
