episodes,steps,total reward
25,1000,0.0
36,2000,0.0
40,3000,0.0
51,4000,0.0
58,5000,0.0
65,6000,0.0
74,7000,0.0
79,8000,0.0
84,9000,0.0
87,10000,0.0
91,11000,0.0
98,12000,0.0
108,13000,0.0
111,14000,0.0
119,15000,0.0
123,16000,0.0
134,17000,0.0
138,18000,0.0
145,19000,0.0
152,20000,1.0
157,21000,1.0
163,22000,2.0
177,23000,6.0
196,24000,15.0
215,25000,10.0
241,26000,17.0
266,27000,19.0
295,28000,15.0
324,29000,20.0
353,30000,19.0
381,31000,18.0
412,32000,16.0
440,33000,17.0
472,34000,17.0
502,35000,16.0
525,36000,18.0
552,37000,19.0
581,38000,18.0
609,39000,18.0
636,40000,17.0
664,41000,19.0
697,42000,13.0
725,43000,16.0
752,44000,17.0
782,45000,14.0
809,46000,17.0
836,47000,18.0
864,48000,17.0
895,49000,17.0
924,50000,18.0
950,51000,19.0
979,52000,14.0
1007,53000,16.0
1032,54000,19.0
1059,55000,20.0
1081,56000,19.0
1108,57000,16.0
1136,58000,18.0
1160,59000,18.0
1186,60000,20.0
1211,61000,19.0
1240,62000,14.0
1266,63000,20.0
1297,64000,17.0
1324,65000,19.0
1350,66000,17.0
1378,67000,18.0
1409,68000,19.0
1434,69000,20.0
1465,70000,13.0
1491,71000,16.0
1516,72000,20.0
1544,73000,17.0
1565,74000,13.0
1593,75000,18.0
1620,76000,19.0
1645,77000,17.0
1673,78000,19.0
1697,79000,15.0
1723,80000,20.0
1751,81000,17.0
1776,82000,18.0
1804,83000,17.0
1834,84000,19.0
1860,85000,19.0
1886,86000,15.0
1913,87000,18.0
1940,88000,18.0
1970,89000,14.0
1999,90000,12.0
2023,91000,22.0
2053,92000,15.0
2079,93000,19.0
2106,94000,17.0
2133,95000,19.0
2160,96000,19.0
2184,97000,20.0
2210,98000,19.0
2237,99000,18.0
2265,100000,18.0
