# {"t_start": 1641645687.5359144, "env_id": "Office-v0"} 
r,l,t
0.0,49,0.019771
0.0,11,0.024515
0.0,11,0.028732
0.0,73,0.056645
0.0,12,0.061464
0.0,30,0.072696
0.0,21,0.080629
0.0,10,0.08444
0.0,22,0.092785
0.0,38,0.107243
0.0,123,0.153666
0.0,28,0.164132
1.0,40,0.179074
0.0,114,0.221568
0.0,13,0.226367
0.0,78,0.255711
0.0,11,0.259781
0.0,53,0.279457
0.0,120,0.324528
0.0,56,0.345777
0.0,30,0.356941
0.0,99,0.394996
0.0,73,0.424538
0.0,250,0.520352
0.0,106,0.560152
0.0,107,0.599464
0.0,91,0.633664
0.0,105,0.67336
0.0,37,0.687298
0.0,135,0.737898
0.0,348,0.872551
0.0,345,1.003843
0.0,23,1.012742
0.0,260,1.110261
0.0,955,1.47701
0.0,193,1.551442
0.0,89,1.586407
1.0,233,1.674426
0.0,451,1.844872
0.0,511,2.042233
0.0,28,2.052835
0.0,31,2.064524
0.0,2,2.065294
0.0,155,2.124137
0.0,22,2.132398
0.0,187,2.203182
0.0,46,2.220734
0.0,76,2.249741
0.0,48,2.268209
0.0,18,2.275095
0.0,93,2.31136
0.0,67,2.338431
0.0,83,2.370818
0.0,85,2.402763
0.0,110,2.444486
0.0,124,2.49273
0.0,80,2.523446
1.0,397,2.675192
0.0,26,2.686057
0.0,21,2.694495
0.0,95,2.731482
0.0,79,2.761038
0.0,231,2.8497
0.0,337,2.977534
0.0,417,3.140091
0.0,194,3.214579
0.0,187,3.286221
0.0,269,3.388928
0.0,46,3.406636
0.0,9,3.410106
0.0,53,3.430342
0.0,283,3.540314
0.0,211,3.621178
0.0,69,3.647423
0.0,77,3.677897
0.0,233,3.766956
0.0,120,3.812817
0.0,54,3.834098
0.0,45,3.852688
0.0,174,3.920223
0.0,62,3.943962
0.0,338,4.072726
0.0,32,4.084801
0.0,20,4.092446
0.0,381,4.238639
0.0,12,4.243407
0.0,53,4.264491
0.0,403,4.418808
0.0,231,4.507259
0.0,86,4.539332
0.0,48,4.557738
0.0,6,4.560124
0.0,144,4.616395
0.0,61,4.640741
0.0,328,4.76501
0.0,87,4.7981
0.0,253,4.895943
0.0,251,4.993342
0.0,40,5.00939
0.0,26,5.020256
0.0,95,5.056549
0.0,154,5.115134
0.0,19,5.122382
0.0,232,5.211414
0.0,82,5.243253
0.0,18,5.250148
0.0,324,5.3763
0.0,168,5.442382
0.0,482,5.625493
1.0,653,5.879617
0.0,262,5.980451
0.0,165,6.043133
0.0,73,6.070899
0.0,47,6.088854
0.0,109,6.130797
0.0,25,6.140863
0.0,76,6.171082
0.0,116,6.217021
0.0,48,6.235619
0.0,54,6.256503
0.0,178,6.324318
0.0,346,6.458635
0.0,13,6.463806
0.0,14,6.469204
0.0,122,6.516739
0.0,123,6.565439
0.0,332,6.695066
0.0,267,6.798021
0.0,216,6.88309
0.0,28,6.893898
0.0,79,6.925234
0.0,98,6.965028
0.0,185,7.037926
0.0,26,7.047815
0.0,88,7.081689
0.0,61,7.105148
0.0,24,7.114353
1.0,604,7.352273
0.0,241,7.445302
0.0,213,7.526803
0.0,385,7.677104
0.0,228,7.767226
0.0,15,7.773114
0.0,24,7.782436
0.0,42,7.798546
0.0,70,7.826062
0.0,6,7.828338
0.0,11,7.832582
0.0,22,7.841116
0.0,72,7.868887
1.0,622,8.108655
0.0,288,8.219753
1.0,90,8.255261
0.0,37,8.269258
0.0,124,8.315775
0.0,401,8.46885
1.0,61,8.49391
0.0,173,8.560448
0.0,62,8.583424
1.0,260,8.683566
1.0,98,8.721708
0.0,181,8.791776
0.0,13,8.796651
0.0,212,8.880885
1.0,69,8.909689
1.0,235,8.999135
0.0,24,9.008219
0.0,38,9.022897
1.0,32,9.035052
1.0,233,9.124264
0.0,112,9.167015
0.0,83,9.199419
1.0,29,9.210721
0.0,19,9.217982
1.0,124,9.267332
0.0,49,9.286996
1.0,28,9.298113
0.0,17,9.304692
0.0,38,9.319771
0.0,32,9.332354
1.0,29,9.343736
0.0,97,9.381395
0.0,219,9.466362
1.0,127,9.515476
1.0,11,9.519781
1.0,73,9.548025
1.0,204,9.626746
0.0,113,9.671705
1.0,13,9.676539
0.0,77,9.706954
1.0,97,9.744454
1.0,67,9.770186
1.0,18,9.777143
1.0,131,9.827174
1.0,223,9.913462
0.0,4,9.91501
0.0,9,9.918611
0.0,119,9.964035
0.0,37,9.977706
0.0,6,9.980016
1.0,11,9.984221
1.0,58,10.006346
0.0,70,10.034174
1.0,113,10.07988
1.0,11,10.083993
1.0,115,10.127806
1.0,136,10.179902
1.0,85,10.212637
1.0,15,10.218416
0.0,43,10.235099
1.0,81,10.266434
0.0,18,10.273404
1.0,11,10.277719
1.0,124,10.325479
0.0,23,10.334577
1.0,64,10.3595
1.0,15,10.365468
1.0,86,10.39853
0.0,70,10.426874
1.0,281,10.536415
1.0,13,10.541295
1.0,67,10.566854
1.0,120,10.612815
1.0,62,10.637745
1.0,11,10.642026
1.0,42,10.658444
1.0,62,10.682212
1.0,124,10.730329
1.0,11,10.734499
1.0,75,10.76344
1.0,50,10.782787
1.0,125,10.833107
1.0,11,10.837787
1.0,84,10.87097
1.0,35,10.884523
1.0,78,10.914558
1.0,11,10.918854
0.0,41,10.934448
0.0,10,10.938224
1.0,98,10.975882
1.0,11,10.980081
0.0,110,11.022133
1.0,31,11.034021
0.0,25,11.043748
1.0,11,11.047956
1.0,96,11.084928
0.0,28,11.09592
0.0,11,11.100315
1.0,12,11.104841
1.0,67,11.130626
1.0,30,11.142276
0.0,19,11.149652
1.0,11,11.154081
0.0,73,11.18232
1.0,33,11.195411
1.0,86,11.230617
1.0,13,11.235866
1.0,45,11.253446
1.0,33,11.266034
1.0,55,11.287302
1.0,11,11.29151
0.0,20,11.299281
1.0,30,11.310761
0.0,35,11.324679
1.0,12,11.329184
1.0,78,11.359536
1.0,33,11.372277
1.0,53,11.39316
1.0,14,11.39877
1.0,54,11.419526
1.0,32,11.431877
1.0,127,11.480788
1.0,11,11.484999
1.0,49,11.503766
0.0,6,11.506118
1.0,45,11.523474
0.0,11,11.527715
0.0,57,11.549511
1.0,37,11.563633
1.0,77,11.594489
1.0,11,11.599064
0.0,53,11.620213
1.0,31,11.632474
0.0,34,11.645674
0.0,6,11.647962
0.0,44,11.664785
0.0,4,11.666337
1.0,286,11.776438
1.0,11,11.780597
1.0,41,11.799249
0.0,41,11.815896
1.0,58,11.83917
1.0,18,11.846414
0.0,16,11.852737
0.0,8,11.855766
1.0,49,11.874923
1.0,12,11.879591
0.0,37,11.894003
0.0,34,11.907105
1.0,38,11.921643
1.0,11,11.925812
1.0,33,11.938143
0.0,14,11.943591
1.0,57,11.965397
1.0,11,11.969846
0.0,27,11.980255
0.0,10,11.98484
1.0,46,12.003735
1.0,13,12.008706
1.0,151,12.066158
0.0,8,12.069253
1.0,46,12.08711
1.0,12,12.091682
1.0,48,12.110048
0.0,20,12.11774
1.0,101,12.156694
0.0,2,12.157461
1.0,83,12.189273
1.0,33,12.202172
1.0,40,12.217714
0.0,2,12.21851
1.0,32,12.230856
1.0,30,12.242235
0.0,4,12.243879
1.0,11,12.248014
1.0,38,12.262786
1.0,30,12.274395
1.0,38,12.28914
0.0,6,12.291441
1.0,38,12.306238
1.0,32,12.318722
0.0,32,12.33102
1.0,14,12.336547
0.0,75,12.365459
1.0,37,12.380648
1.0,45,12.39916
1.0,11,12.403298
1.0,34,12.416302
1.0,32,12.429103
1.0,45,12.446755
0.0,9,12.450191
1.0,32,12.462503
1.0,34,12.475454
1.0,57,12.497329
1.0,13,12.502368
1.0,27,12.512547
1.0,32,12.524729
0.0,10,12.52839
1.0,13,12.533345
1.0,33,12.545695
0.0,20,12.553386
1.0,45,12.570554
1.0,14,12.575659
1.0,70,12.602157
1.0,31,12.613939
1.0,44,12.630804
1.0,14,12.636071
0.0,21,12.644107
1.0,32,12.656389
0.0,13,12.661466
1.0,11,12.665574
1.0,41,12.681018
1.0,30,12.692571
0.0,11,12.696717
1.0,12,12.701294
1.0,25,12.710772
1.0,30,12.722381
1.0,42,12.738563
1.0,11,12.74303
0.0,16,12.749055
1.0,33,12.762985
1.0,41,12.779382
1.0,13,12.784606
1.0,48,12.802788
1.0,39,12.817754
0.0,35,12.831367
0.0,2,12.832146
0.0,17,12.838957
1.0,38,12.853812
1.0,41,12.869819
1.0,11,12.874082
0.0,76,12.902955
0.0,12,12.907603
1.0,40,12.923025
1.0,13,12.927871
1.0,29,12.938613
0.0,4,12.940193
1.0,50,12.959544
1.0,14,12.964874
0.0,19,12.97207
1.0,31,12.983831
1.0,38,12.998745
1.0,12,13.003198
0.0,21,13.011286
0.0,16,13.018264
1.0,193,13.092848
1.0,16,13.099062
1.0,35,13.112434
1.0,34,13.125538
1.0,42,13.141996
1.0,11,13.146166
0.0,6,13.148388
0.0,4,13.150037
1.0,46,13.169368
0.0,2,13.17021
1.0,27,13.180833
1.0,32,13.193109
1.0,43,13.209808
1.0,17,13.216309
1.0,31,13.228221
1.0,32,13.240729
1.0,40,13.256779
1.0,11,13.260881
1.0,28,13.27165
1.0,32,13.284057
1.0,47,13.302382
1.0,13,13.307252
1.0,23,13.316152
0.0,11,13.3207
1.0,44,13.338092
1.0,15,13.343828
1.0,23,13.352963
1.0,31,13.365169
0.0,30,13.376648
1.0,11,13.380809
1.0,24,13.390072
1.0,36,13.404169
1.0,46,13.421761
1.0,11,13.425953
0.0,32,13.438043
1.0,32,13.450238
0.0,11,13.454569
1.0,12,13.45908
1.0,27,13.469247
1.0,32,13.48156
0.0,42,13.497812
1.0,12,13.502432
1.0,23,13.511261
1.0,35,13.525103
1.0,44,13.542977
0.0,2,13.543736
1.0,24,13.553821
0.0,30,13.565951
1.0,42,13.582049
1.0,12,13.586637
1.0,28,13.597342
1.0,30,13.608932
0.0,11,13.613235
1.0,12,13.617883
0.0,19,13.625083
0.0,19,13.633013
0.0,13,13.638411
1.0,12,13.642896
1.0,29,13.653837
1.0,36,13.667961
0.0,26,13.67783
0.0,7,13.680437
1.0,27,13.690853
1.0,37,13.705167
1.0,38,13.719907
1.0,13,13.724885
1.0,26,13.734838
1.0,35,13.748261
0.0,29,13.759587
1.0,13,13.764641
1.0,23,13.773436
1.0,32,13.785696
1.0,38,13.800625
1.0,13,13.805691
1.0,27,13.816079
1.0,32,13.828869
0.0,25,13.838589
1.0,11,13.842733
1.0,37,13.857132
1.0,34,13.870315
1.0,47,13.888321
0.0,4,13.889909
1.0,28,13.900686
1.0,34,13.914005
1.0,39,13.93056
1.0,11,13.934901
0.0,4,13.936535
0.0,8,13.939651
1.0,45,13.958022
0.0,7,13.960827
1.0,26,13.970873
0.0,21,13.978996
1.0,46,13.996689
1.0,11,14.000879
1.0,23,14.009687
0.0,16,14.015834
0.0,11,14.020073
1.0,11,14.024213
1.0,23,14.032783
1.0,33,14.045111
0.0,4,14.046644
1.0,11,14.050892
1.0,26,14.060776
1.0,30,14.072311
1.0,46,14.090195
1.0,13,14.095116
1.0,25,14.104713
1.0,41,14.120339
0.0,9,14.123838
0.0,7,14.126505
1.0,27,14.136874
0.0,6,14.139292
1.0,43,14.155762
1.0,11,14.160119
1.0,26,14.169921
0.0,12,14.174708
0.0,14,14.180074
1.0,11,14.184387
1.0,28,14.195233
1.0,34,14.208202
0.0,14,14.213665
1.0,11,14.218362
1.0,25,14.228169
1.0,27,14.238296
1.0,47,14.256613
0.0,9,14.260199
1.0,25,14.269687
1.0,30,14.281278
0.0,49,14.300599
1.0,11,14.304785
1.0,23,14.313754
1.0,30,14.32611
1.0,42,14.343845
1.0,11,14.348478
0.0,14,14.353974
0.0,26,14.364214
1.0,48,14.38258
1.0,11,14.386868
1.0,34,14.39986
0.0,9,14.403301
1.0,47,14.421404
1.0,11,14.425669
1.0,28,14.436039
1.0,33,14.448655
0.0,17,14.455115
1.0,12,14.45981
1.0,24,14.469046
1.0,30,14.480562
1.0,39,14.495667
1.0,13,14.50066
1.0,27,14.511053
1.0,31,14.523045
1.0,42,14.539303
1.0,11,14.543363
1.0,25,14.553123
1.0,34,14.566337
1.0,41,14.582261
1.0,11,14.586435
0.0,29,14.597479
1.0,32,14.610012
1.0,43,14.626605
1.0,11,14.630924
1.0,27,14.64117
0.0,8,14.64415
0.0,13,14.649169
1.0,11,14.653466
1.0,23,14.662423
1.0,32,14.674724
1.0,43,14.691647
1.0,11,14.696487
1.0,23,14.705762
1.0,30,14.717402
0.0,11,14.721571
1.0,11,14.725914
1.0,29,14.737628
1.0,35,14.751181
1.0,41,14.767072
1.0,12,14.771786
1.0,25,14.781417
0.0,6,14.783684
1.0,47,14.801829
1.0,11,14.806119
1.0,23,14.815034
1.0,34,14.829261
0.0,11,14.833483
1.0,15,14.839681
1.0,23,14.848703
1.0,32,14.861025
1.0,44,14.878239
1.0,11,14.88251
0.0,19,14.889805
1.0,39,14.904786
1.0,39,14.919997
1.0,11,14.924217
1.0,27,14.934265
0.0,6,14.936602
1.0,44,14.953482
1.0,14,14.958823
1.0,27,14.969126
1.0,30,14.980716
1.0,43,14.997232
0.0,4,14.998827
1.0,25,15.00841
1.0,30,15.019988
1.0,45,15.037334
0.0,9,15.040805
1.0,23,15.049636
0.0,20,15.057333
1.0,47,15.075778
1.0,11,15.079971
1.0,25,15.090135
0.0,21,15.098593
0.0,4,15.100168
1.0,13,15.105284
0.0,12,15.110488
0.0,4,15.112047
0.0,6,15.114896
1.0,11,15.119091
1.0,25,15.128445
1.0,30,15.140039
0.0,30,15.151807
0.0,2,15.152575
1.0,27,15.162937
1.0,45,15.180227
1.0,44,15.197316
1.0,11,15.201458
1.0,31,15.213521
1.0,33,15.226248
0.0,29,15.238135
1.0,11,15.242292
1.0,28,15.253033
1.0,32,15.265298
1.0,42,15.281536
1.0,11,15.285835
1.0,23,15.294849
1.0,32,15.307106
1.0,125,15.356261
1.0,11,15.360468
1.0,24,15.37005
0.0,26,15.379929
1.0,42,15.396107
1.0,12,15.400734
1.0,25,15.410367
1.0,35,15.424454
0.0,15,15.430702
1.0,11,15.434888
1.0,28,15.445466
1.0,33,15.458049
1.0,44,15.475314
1.0,13,15.480293
1.0,23,15.489158
1.0,32,15.503042
0.0,6,15.505362
1.0,11,15.509822
1.0,23,15.518661
1.0,34,15.531712
1.0,40,15.547072
1.0,13,15.552108
1.0,27,15.562374
1.0,33,15.575239
1.0,40,15.59064
1.0,14,15.596092
1.0,25,15.605695
1.0,33,15.618397
1.0,38,15.633091
1.0,12,15.6377
1.0,23,15.646622
1.0,31,15.658476
1.0,44,15.675574
1.0,13,15.680568
1.0,26,15.690592
1.0,32,15.702892
1.0,39,15.717991
1.0,15,15.723743
1.0,23,15.732472
1.0,37,15.746591
1.0,38,15.761256
1.0,13,15.766235
0.0,8,15.769371
1.0,34,15.782596
1.0,42,15.798936
1.0,11,15.803221
1.0,25,15.812935
1.0,30,15.825087
0.0,11,15.829443
1.0,11,15.833665
1.0,27,15.844347
1.0,34,15.857839
1.0,40,15.874681
1.0,11,15.879045
1.0,26,15.889958
1.0,37,15.904637
0.0,19,15.911935
0.0,6,15.914261
1.0,25,15.923911
1.0,31,15.935765
1.0,45,15.953025
1.0,11,15.957188
1.0,24,15.96634
1.0,39,15.981258
0.0,22,15.989734
1.0,11,15.993946
1.0,23,16.002693
1.0,31,16.014532
1.0,46,16.031883
1.0,11,16.035973
0.0,12,16.04047
0.0,6,16.04273
0.0,8,16.045756
0.0,2,16.046588
1.0,23,16.055357
1.0,32,16.067667
1.0,44,16.085586
1.0,11,16.089749
1.0,23,16.098584
0.0,27,16.108937
0.0,17,16.115467
1.0,11,16.119713
1.0,23,16.128585
1.0,32,16.141023
0.0,21,16.149074
1.0,11,16.153296
1.0,25,16.163083
1.0,39,16.178106
1.0,42,16.194273
1.0,13,16.199263
1.0,32,16.21153
1.0,32,16.2238
0.0,18,16.230851
1.0,12,16.235576
1.0,23,16.244565
0.0,4,16.24614
0.0,21,16.255133
1.0,13,16.260535
1.0,23,16.269405
1.0,39,16.285023
1.0,38,16.300179
1.0,11,16.304915
1.0,24,16.315159
1.0,33,16.328639
1.0,41,16.345026
1.0,13,16.350213
1.0,23,16.359327
1.0,30,16.371216
1.0,40,16.387121
1.0,11,16.39147
1.0,29,16.402731
0.0,15,16.408693
0.0,21,16.417005
1.0,13,16.422119
1.0,24,16.431418
1.0,35,16.444727
1.0,38,16.459211
1.0,12,16.463895
1.0,27,16.474171
0.0,12,16.478815
1.0,38,16.493497
1.0,15,16.499165
1.0,27,16.509472
0.0,7,16.512154
1.0,40,16.527498
1.0,16,16.533451
0.0,4,16.534933
0.0,15,16.540649
0.0,4,16.542201
1.0,13,16.54709
1.0,27,16.557382
1.0,32,16.569595
1.0,40,16.585047
1.0,13,16.590099
1.0,25,16.599635
1.0,30,16.611136
1.0,51,16.630771
1.0,13,16.635957
1.0,33,16.649217
0.0,21,16.657595
1.0,46,16.676139
1.0,11,16.680304
1.0,36,16.693947
1.0,31,16.70663
0.0,17,16.713409
1.0,13,16.718251
1.0,29,16.729209
1.0,33,16.741995
1.0,42,16.758294
1.0,13,16.763152
1.0,23,16.772049
1.0,36,16.785879
1.0,45,16.803449
1.0,13,16.808467
1.0,26,16.818576
1.0,34,16.831809
1.0,43,16.848607
1.0,12,16.853157
1.0,30,16.864892
1.0,34,16.878041
1.0,42,16.89411
1.0,11,16.898413
1.0,24,16.907686
1.0,30,16.919222
1.0,47,16.937513
1.0,11,16.941827
0.0,6,16.944175
0.0,11,16.948381
1.0,42,16.964518
1.0,15,16.970191
1.0,23,16.979028
1.0,29,16.990047
1.0,40,17.00554
1.0,11,17.009744
1.0,23,17.018511
1.0,36,17.033284
0.0,35,17.046923
1.0,14,17.052321
1.0,30,17.064586
1.0,34,17.077586
1.0,40,17.092984
0.0,9,17.096479
1.0,23,17.105374
1.0,32,17.117668
1.0,40,17.133245
1.0,12,17.138021
1.0,29,17.149125
1.0,31,17.161102
1.0,38,17.176028
0.0,4,17.177652
1.0,26,17.18777
1.0,36,17.201746
0.0,8,17.204881
0.0,8,17.208054
1.0,23,17.21677
1.0,29,17.227953
1.0,40,17.242973
1.0,12,17.247391
1.0,26,17.257303
0.0,31,17.269492
1.0,38,17.285419
1.0,11,17.28955
1.0,26,17.29956
1.0,30,17.311167
1.0,38,17.326414
0.0,7,17.32915
1.0,27,17.339724
1.0,30,17.351277
1.0,47,17.369646
1.0,13,17.374482
0.0,28,17.385291
1.0,36,17.399216
1.0,43,17.416223
1.0,11,17.420609
1.0,26,17.430436
1.0,38,17.446267
1.0,50,17.466284
1.0,11,17.470506
1.0,25,17.479881
0.0,2,17.480659
1.0,38,17.495501
1.0,16,17.501611
0.0,17,17.508098
1.0,35,17.521757
1.0,44,17.538511
1.0,11,17.542712
1.0,30,17.554301
1.0,25,17.56388
1.0,44,17.581002
1.0,11,17.585304
1.0,23,17.594166
0.0,9,17.597616
0.0,13,17.602884
1.0,13,17.607895
1.0,29,17.619067
1.0,31,17.631164
0.0,22,17.639794
1.0,11,17.644066
1.0,27,17.654592
1.0,32,17.667052
0.0,8,17.670267
0.0,9,17.673656
0.0,6,17.675952
0.0,22,17.684493
1.0,44,17.701392
1.0,11,17.705536
1.0,28,17.716083
1.0,29,17.727036
0.0,17,17.733438
1.0,11,17.737589
1.0,23,17.746289
0.0,11,17.75045
0.0,19,17.75767
1.0,11,17.761771
1.0,26,17.771914
1.0,34,17.785231
1.0,41,17.801316
1.0,11,17.805605
1.0,25,17.816282
1.0,31,17.828881
0.0,13,17.834747
1.0,12,17.839633
0.0,19,17.847756
1.0,30,17.859605
0.0,19,17.86739
0.0,7,17.870107
1.0,23,17.879069
0.0,19,17.886272
1.0,42,17.903572
1.0,11,17.907906
0.0,4,17.90945
1.0,33,17.922078
0.0,18,17.929063
1.0,12,17.933616
1.0,27,17.94403
1.0,32,17.956262
0.0,11,17.960492
1.0,14,17.965822
1.0,27,17.976121
1.0,31,17.98797
0.0,33,18.00056
1.0,13,18.005557
1.0,26,18.015682
0.0,15,18.02143
1.0,42,18.037258
0.0,2,18.038107
1.0,26,18.048052
0.0,30,18.059513
1.0,44,18.076514
1.0,11,18.080815
1.0,23,18.089813
0.0,29,18.100993
1.0,42,18.117458
1.0,11,18.121632
1.0,28,18.132496
1.0,33,18.145368
1.0,42,18.161771
1.0,11,18.166035
1.0,25,18.175716
1.0,35,18.189454
0.0,11,18.193651
0.0,11,18.198001
0.0,14,18.204082
1.0,31,18.21613
0.0,12,18.220848
1.0,11,18.225024
0.0,17,18.231829
1.0,33,18.245659
0.0,27,18.256358
1.0,11,18.260586
1.0,29,18.271684
1.0,32,18.283954
0.0,21,18.292015
1.0,11,18.296272
0.0,4,18.297821
0.0,19,18.305277
1.0,39,18.320803
1.0,11,18.325035
0.0,8,18.328133
1.0,29,18.339267
1.0,45,18.356931
1.0,13,18.361779
1.0,28,18.372566
1.0,30,18.384184
1.0,40,18.399935
1.0,13,18.404984
1.0,29,18.416231
1.0,32,18.428769
0.0,15,18.434648
1.0,12,18.439268
1.0,25,18.448771
0.0,34,18.461705
1.0,44,18.479334
1.0,11,18.483608
1.0,26,18.494001
0.0,8,18.497081
0.0,13,18.502262
1.0,13,18.507273
1.0,24,18.516321
0.0,27,18.526619
0.0,39,18.541633
1.0,11,18.545892
1.0,27,18.556299
1.0,33,18.568854
1.0,42,18.585264
1.0,11,18.589738
1.0,25,18.599408
0.0,19,18.607395
1.0,40,18.623729
1.0,12,18.628277
1.0,28,18.639557
0.0,23,18.648514
1.0,38,18.663211
1.0,13,18.668152
1.0,27,18.678408
1.0,34,18.691441
0.0,4,18.692959
1.0,12,18.697552
1.0,25,18.707097
1.0,35,18.7204
0.0,26,18.730455
1.0,13,18.735253
1.0,26,18.74519
1.0,33,18.757775
1.0,40,18.773559
1.0,13,18.778615
1.0,25,18.788231
0.0,17,18.794898
1.0,42,18.811386
1.0,11,18.815602
1.0,31,18.827708
1.0,30,18.839427
0.0,17,18.845976
1.0,14,18.851532
1.0,25,18.861153
0.0,29,18.872425
1.0,46,18.890503
1.0,17,18.897047
1.0,26,18.907225
1.0,30,18.918842
1.0,42,18.935141
0.0,9,18.938616
1.0,23,18.947608
1.0,33,18.960215
1.0,43,18.976911
1.0,11,18.98175
1.0,24,18.991622
1.0,40,19.007833
1.0,43,19.024555
1.0,11,19.028693
1.0,23,19.037367
0.0,25,19.046882
1.0,43,19.063672
1.0,13,19.068596
1.0,28,19.079594
1.0,29,19.091228
0.0,17,19.097958
1.0,13,19.102983
0.0,26,19.112992
1.0,30,19.124485
1.0,40,19.140143
1.0,11,19.144384
1.0,25,19.154117
1.0,32,19.16635
1.0,44,19.183403
1.0,12,19.188041
1.0,24,19.197299
1.0,35,19.210746
1.0,46,19.228758
0.0,2,19.229534
1.0,27,19.23987
1.0,30,19.251325
1.0,42,19.267562
1.0,13,19.272498
1.0,29,19.283494
1.0,37,19.297547
0.0,32,19.309926
0.0,2,19.310741
1.0,23,19.319779
1.0,35,19.333036
1.0,40,19.348802
1.0,11,19.353019
1.0,25,19.363158
0.0,2,19.363924
1.0,44,19.38192
1.0,11,19.386213
1.0,25,19.396468
1.0,38,19.411385
1.0,39,19.426456
1.0,13,19.431397
1.0,25,19.440888
1.0,33,19.453496
1.0,39,19.468393
1.0,11,19.472582
1.0,30,19.48398
0.0,6,19.486277
1.0,44,19.503225
1.0,13,19.508173
0.0,14,19.513511
1.0,33,19.526144
