episodes,steps,total reward
22,1000,0.0
33,2000,1.0
44,3000,0.0
51,4000,0.0
56,5000,1.0
60,6000,0.0
71,7000,0.0
73,8000,0.0
83,9000,0.0
88,10000,1.0
92,11000,0.0
99,12000,0.0
105,13000,0.0
113,14000,0.0
118,15000,1.0
128,16000,0.0
133,17000,0.0
142,18000,0.0
149,19000,0.0
154,20000,0.0
162,21000,2.0
170,22000,2.0
178,23000,5.0
190,24000,4.0
198,25000,5.0
206,26000,5.0
221,27000,10.0
238,28000,10.0
259,29000,13.0
285,30000,15.0
310,31000,17.0
335,32000,18.0
373,33000,28.0
410,34000,30.0
448,35000,29.0
490,36000,29.0
527,37000,29.0
567,38000,33.0
611,39000,29.0
654,40000,31.0
691,41000,32.0
731,42000,30.0
771,43000,28.0
811,44000,32.0
853,45000,32.0
890,46000,30.0
930,47000,30.0
973,48000,29.0
1013,49000,30.0
1051,50000,33.0
1091,51000,31.0
1134,52000,30.0
1174,53000,33.0
1216,54000,31.0
1255,55000,32.0
1297,56000,31.0
1338,57000,33.0
1378,58000,33.0
1415,59000,32.0
1453,60000,32.0
1495,61000,35.0
1533,62000,31.0
1575,63000,31.0
1614,64000,32.0
1657,65000,33.0
1696,66000,31.0
1738,67000,33.0
1785,68000,31.0
1826,69000,31.0
1867,70000,31.0
1907,71000,32.0
1945,72000,31.0
1982,73000,29.0
2022,74000,32.0
2062,75000,30.0
2102,76000,31.0
2143,77000,31.0
2181,78000,34.0
2225,79000,29.0
2268,80000,32.0
2307,81000,32.0
2347,82000,30.0
2388,83000,29.0
2429,84000,32.0
2467,85000,31.0
2510,86000,32.0
2553,87000,33.0
2597,88000,29.0
2637,89000,32.0
2675,90000,32.0
2719,91000,30.0
2758,92000,32.0
2793,93000,34.0
2831,94000,29.0
2872,95000,34.0
2914,96000,30.0
2956,97000,28.0
2998,98000,33.0
3035,99000,33.0
3074,100000,33.0
