# {"t_start": 1641646058.3165457, "env_id": "Office-single-v0"} 
r,l,t
0.0,34,0.007464
0.0,37,0.01552
0.0,32,0.022368
0.0,11,0.024728
0.0,10,0.026927
0.0,25,0.032181
0.0,23,0.037078
0.0,69,0.051298
0.0,20,0.055597
0.0,38,0.063947
0.0,60,0.076456
0.0,30,0.082723
0.0,71,0.097497
0.0,91,0.116352
0.0,111,0.13961
0.0,148,0.170477
0.0,69,0.1843
0.0,56,0.195934
0.0,34,0.203135
0.0,90,0.222522
0.0,16,0.226014
0.0,51,0.236636
0.0,157,0.270137
0.0,75,0.285945
0.0,73,0.301343
0.0,109,0.324082
0.0,64,0.337722
0.0,221,0.384856
0.0,151,0.416754
0.0,45,0.426715
0.0,90,0.445987
0.0,100,0.466659
0.0,86,0.485381
0.0,20,0.489614
0.0,190,0.529801
0.0,283,0.589981
0.0,73,0.605444
0.0,26,0.611135
0.0,464,0.711175
0.0,24,0.716361
0.0,444,0.810526
0.0,6,0.811923
0.0,6,0.813281
0.0,206,0.857276
0.0,30,0.863966
0.0,182,0.90272
0.0,326,0.971615
0.0,136,1.000382
0.0,302,1.064418
0.0,14,1.067461
0.0,728,1.222292
0.0,291,1.283729
0.0,40,1.292619
0.0,47,1.302587
0.0,76,1.318982
0.0,120,1.34427
0.0,258,1.398903
0.0,224,1.445759
0.0,264,1.502121
0.0,71,1.517292
0.0,418,1.60617
0.0,310,1.671417
0.0,81,1.688611
0.0,54,1.700254
0.0,326,1.769823
0.0,33,1.776753
0.0,30,1.782979
0.0,79,1.799617
0.0,182,1.838261
0.0,241,1.888667
0.0,301,1.95347
0.0,4,1.954391
0.0,488,2.057581
0.0,94,2.077273
0.0,29,2.083395
0.0,34,2.090574
0.0,260,2.14591
0.0,149,2.17766
0.0,277,2.236133
0.0,128,2.263065
0.0,234,2.312591
0.0,21,2.316971
0.0,48,2.327151
0.0,81,2.344417
0.0,59,2.357236
0.0,18,2.361149
0.0,184,2.400655
0.0,6,2.401966
0.0,99,2.423044
0.0,9,2.424954
0.0,248,2.477352
0.0,206,2.521306
0.0,37,2.529116
0.0,89,2.548071
0.0,78,2.564868
0.0,160,2.599369
0.0,632,2.733118
0.0,229,2.782075
0.0,173,2.81893
0.0,179,2.856511
0.0,110,2.879798
0.0,231,2.929315
0.0,1000,3.142845
0.0,80,3.159583
0.0,522,3.270523
0.0,591,3.395298
0.0,178,3.433857
1.0,100,3.455509
0.0,76,3.471614
0.0,168,3.507086
0.0,51,3.518002
0.0,54,3.52956
0.0,284,3.589633
0.0,515,3.69981
0.0,98,3.720637
0.0,189,3.760575
0.0,138,3.789853
0.0,15,3.793067
0.0,4,3.793926
0.0,136,3.822714
0.0,73,3.838737
0.0,189,3.879477
0.0,50,3.890127
0.0,13,3.892905
0.0,215,3.93819
0.0,73,3.953741
1.0,152,3.985983
1.0,225,4.033403
0.0,145,4.064882
1.0,222,4.112018
0.0,11,4.114359
0.0,15,4.117545
0.0,63,4.130806
1.0,140,4.160524
1.0,492,4.266013
0.0,15,4.269183
1.0,257,4.324183
0.0,260,4.379156
0.0,21,4.38364
0.0,191,4.423965
1.0,229,4.472885
0.0,45,4.483122
0.0,200,4.525881
0.0,17,4.529601
0.0,116,4.554243
1.0,128,4.581484
0.0,93,4.601159
0.0,89,4.619952
0.0,10,4.622077
0.0,21,4.626625
0.0,19,4.63068
0.0,54,4.64218
0.0,90,4.661299
0.0,98,4.68238
1.0,131,4.710902
0.0,65,4.724737
1.0,118,4.749851
0.0,78,4.766428
0.0,15,4.769628
0.0,39,4.778025
1.0,83,4.795686
0.0,92,4.815625
0.0,117,4.840451
1.0,113,4.864288
1.0,246,4.916533
1.0,161,4.950894
1.0,141,4.980665
1.0,44,4.989981
0.0,95,5.010066
1.0,93,5.029866
1.0,202,5.072501
1.0,175,5.109715
1.0,70,5.124919
1.0,113,5.148828
0.0,12,5.151392
0.0,76,5.16807
0.0,56,5.180002
0.0,41,5.188709
1.0,109,5.211839
1.0,54,5.223282
1.0,160,5.256927
0.0,20,5.26119
1.0,114,5.285283
0.0,90,5.304187
1.0,161,5.338539
1.0,111,5.362689
0.0,61,5.375467
0.0,45,5.385136
0.0,19,5.389169
0.0,65,5.403224
0.0,6,5.404563
0.0,87,5.423028
0.0,52,5.434098
0.0,143,5.464319
1.0,63,5.477744
0.0,80,5.494735
1.0,55,5.506452
1.0,47,5.516435
1.0,52,5.527477
0.0,28,5.533615
