# {"t_start": 1640876039.5997396, "env_id": "Office-single-v0"} 
r,l,t
0.0,82,0.012591
0.0,12,0.014516
0.0,11,0.016177
0.0,15,0.018527
0.0,37,0.024192
0.0,9,0.025606
0.0,17,0.028337
0.0,19,0.031518
0.0,17,0.034954
0.0,47,0.04208
0.0,25,0.045874
0.0,9,0.047276
0.0,77,0.058993
0.0,25,0.062826
0.0,13,0.064825
0.0,30,0.069376
0.0,72,0.080281
0.0,137,0.100852
0.0,65,0.111161
0.0,4,0.111791
0.0,44,0.118262
0.0,86,0.131189
0.0,42,0.137471
0.0,28,0.141603
0.0,144,0.162886
0.0,46,0.169766
0.0,98,0.184286
0.0,37,0.189794
0.0,60,0.198694
0.0,105,0.214343
0.0,59,0.223097
0.0,11,0.224769
0.0,122,0.242768
0.0,26,0.246678
0.0,69,0.256843
0.0,106,0.271712
0.0,66,0.281638
0.0,107,0.29795
0.0,82,0.310182
0.0,100,0.325022
0.0,69,0.335153
0.0,56,0.343529
0.0,89,0.356965
0.0,19,0.359678
0.0,571,0.446624
0.0,397,0.504967
0.0,78,0.516519
0.0,63,0.525791
0.0,68,0.53585
0.0,102,0.551113
0.0,157,0.574274
0.0,715,0.680314
0.0,29,0.684738
0.0,121,0.702697
0.0,717,0.807473
0.0,99,0.820846
0.0,28,0.825038
0.0,182,0.852013
0.0,2,0.852372
0.0,345,0.90298
0.0,28,0.90716
0.0,148,0.929325
0.0,140,0.950314
0.0,187,0.978333
0.0,356,1.029989
0.0,170,1.053802
0.0,154,1.076527
0.0,591,1.16457
0.0,78,1.176167
0.0,720,1.280985
0.0,18,1.283778
0.0,670,1.382499
0.0,161,1.406401
0.0,226,1.44038
0.0,161,1.464232
0.0,49,1.471514
0.0,535,1.551038
0.0,5,1.551895
0.0,29,1.556209
0.0,127,1.575154
0.0,12,1.577002
0.0,74,1.587928
0.0,10,1.589457
0.0,18,1.592201
0.0,23,1.595636
0.0,208,1.626543
0.0,34,1.631923
0.0,16,1.634338
0.0,31,1.638997
0.0,46,1.646172
0.0,560,1.728614
0.0,161,1.752634
0.0,193,1.780947
0.0,99,1.795766
0.0,230,1.829931
0.0,878,1.958071
0.0,81,1.970066
0.0,21,1.973201
0.0,524,2.05063
0.0,148,2.072492
1.0,673,2.170258
0.0,34,2.175325
0.0,139,2.195775
0.0,26,2.199617
0.0,161,2.223383
0.0,28,2.227561
0.0,14,2.229652
0.0,203,2.259523
0.0,21,2.262668
0.0,85,2.274072
0.0,375,2.329489
0.0,37,2.335028
0.0,113,2.350913
0.0,105,2.366435
0.0,29,2.370824
0.0,22,2.374161
0.0,90,2.387124
0.0,266,2.426561
0.0,50,2.434022
0.0,14,2.43617
0.0,155,2.458913
0.0,92,2.472354
0.0,298,2.515667
0.0,187,2.542931
0.0,38,2.548654
0.0,44,2.555156
0.0,111,2.571449
1.0,281,2.61274
0.0,168,2.638021
0.0,271,2.678028
0.0,103,2.693174
0.0,313,2.739551
0.0,51,2.746942
0.0,227,2.780221
0.0,107,2.795908
0.0,43,2.801978
0.0,58,2.810749
0.0,206,2.840874
0.0,214,2.872306
0.0,28,2.876416
0.0,34,2.881419
0.0,7,2.88254
0.0,368,2.936278
0.0,231,2.971032
0.0,202,3.001484
0.0,38,3.006959
1.0,505,3.081536
0.0,428,3.14483
0.0,261,3.183488
0.0,13,3.185483
0.0,14,3.187573
0.0,5,3.188333
0.0,7,3.189397
0.0,90,3.202595
0.0,4,3.203226
0.0,213,3.234848
0.0,4,3.235508
0.0,456,3.302397
0.0,61,3.311366
0.0,74,3.322327
0.0,6,3.323269
0.0,7,3.324345
0.0,181,3.351011
0.0,273,3.391052
0.0,175,3.416607
0.0,85,3.429548
1.0,229,3.463482
0.0,439,3.527714
0.0,104,3.543951
0.0,77,3.555216
1.0,232,3.58936
0.0,2,3.589698
0.0,399,3.64759
0.0,8,3.648881
0.0,165,3.673256
0.0,246,3.708993
0.0,6,3.709958
0.0,46,3.716916
0.0,144,3.737906
0.0,539,3.817176
0.0,124,3.835506
0.0,19,3.838388
1.0,128,3.857263
1.0,138,3.877757
1.0,142,3.89917
0.0,32,3.903955
0.0,22,3.90743
0.0,13,3.909381
1.0,81,3.921642
0.0,2,3.921977
0.0,199,3.951955
0.0,15,3.954231
0.0,52,3.961979
0.0,31,3.966616
0.0,17,3.969151
0.0,24,3.972741
1.0,93,3.986537
0.0,12,3.988345
0.0,77,3.999634
0.0,36,4.005087
1.0,77,4.016417
1.0,148,4.038469
0.0,34,4.043595
0.0,100,4.058609
1.0,58,4.067137
1.0,60,4.075913
0.0,14,4.078014
0.0,140,4.098983
1.0,96,4.113075
0.0,30,4.117606
0.0,4,4.118245
0.0,80,4.130648
0.0,17,4.133347
1.0,93,4.147416
1.0,111,4.163953
0.0,60,4.173033
0.0,6,4.173963
0.0,39,4.179746
0.0,2,4.180086
0.0,58,4.188747
1.0,118,4.206169
0.0,335,4.254906
1.0,68,4.264892
1.0,172,4.290536
1.0,57,4.298973
1.0,54,4.307015
0.0,69,4.317151
1.0,31,4.321875
1.0,53,4.329629
1.0,52,4.33728
0.0,7,4.338398
0.0,20,4.341358
1.0,30,4.345831
0.0,19,4.348723
1.0,31,4.353346
1.0,31,4.358054
0.0,15,4.360356
1.0,38,4.365952
1.0,55,4.37412
0.0,9,4.375488
1.0,36,4.380804
0.0,20,4.383815
0.0,9,4.385199
1.0,34,4.390375
0.0,24,4.393961
1.0,47,4.401066
0.0,18,4.403787
1.0,37,4.409224
0.0,33,4.414161
1.0,34,4.419188
1.0,57,4.427939
0.0,19,4.4308
1.0,36,4.436313
0.0,21,4.439826
1.0,35,4.445104
1.0,35,4.450583
0.0,17,4.453039
1.0,32,4.457864
1.0,34,4.462847
1.0,108,4.479573
0.0,177,4.506117
1.0,36,4.511782
1.0,36,4.517129
0.0,14,4.519273
0.0,8,4.520504
1.0,38,4.526076
1.0,33,4.530969
1.0,36,4.53633
1.0,34,4.541365
1.0,33,4.546341
1.0,45,4.553104
0.0,21,4.556288
0.0,22,4.559602
0.0,28,4.563804
1.0,32,4.568645
1.0,33,4.573562
1.0,35,4.578783
1.0,32,4.583564
1.0,39,4.59001
0.0,6,4.590986
0.0,4,4.591618
0.0,165,4.616245
1.0,30,4.620796
1.0,30,4.62533
1.0,34,4.630541
1.0,33,4.635462
1.0,40,4.641337
1.0,31,4.645931
1.0,33,4.651189
1.0,36,4.656436
1.0,33,4.661376
1.0,30,4.665837
1.0,36,4.671157
0.0,8,4.672381
1.0,30,4.676839
1.0,34,4.681872
