# {"t_start": 1641524055.0206017, "env_id": "Office-v0"} 
r,l,t
0.0,4,0.001554
0.0,23,0.009615
0.0,58,0.031628
0.0,8,0.034499
0.0,22,0.041922
0.0,42,0.056309
0.0,37,0.069106
0.0,34,0.080574
0.0,82,0.10828
0.0,62,0.129489
0.0,34,0.141247
0.0,29,0.151262
0.0,75,0.176842
0.0,54,0.195621
0.0,86,0.225149
0.0,5,0.226908
0.0,69,0.25087
0.0,56,0.27024
0.0,52,0.287994
0.0,134,0.333666
0.0,88,0.365602
0.0,99,0.401582
0.0,10,0.405055
0.0,70,0.42932
0.0,10,0.432806
0.0,100,0.46724
0.0,94,0.500046
0.0,28,0.509778
0.0,40,0.523947
0.0,166,0.580513
0.0,9,0.583714
0.0,223,0.661238
0.0,19,0.667891
0.0,25,0.676641
0.0,23,0.684718
0.0,135,0.732313
0.0,29,0.744406
1.0,81,0.772684
0.0,185,0.836809
0.0,1000,1.184124
1.0,304,1.289576
0.0,174,1.349398
0.0,23,1.357668
0.0,600,1.565579
0.0,2,1.566393
0.0,23,1.574436
0.0,21,1.581862
0.0,167,1.639609
0.0,144,1.689233
0.0,120,1.730405
1.0,260,1.823121
0.0,122,1.865906
0.0,50,1.883667
0.0,86,1.91314
0.0,284,2.012383
0.0,15,2.017764
0.0,8,2.020576
0.0,66,2.043555
0.0,40,2.057498
0.0,143,2.107759
0.0,98,2.143931
0.0,208,2.21601
0.0,79,2.24357
0.0,120,2.285085
0.0,214,2.359504
0.0,104,2.395668
0.0,38,2.40988
0.0,70,2.434153
1.0,135,2.483117
0.0,127,2.527705
0.0,50,2.545108
0.0,34,2.557
0.0,171,2.616745
0.0,202,2.686306
0.0,16,2.691918
0.0,156,2.745239
0.0,667,2.978839
0.0,30,2.989389
0.0,250,3.077518
0.0,339,3.195504
0.0,238,3.277488
0.0,210,3.3504
0.0,424,3.498636
0.0,29,3.509648
0.0,172,3.569968
0.0,2,3.570724
0.0,387,3.7066
0.0,304,3.809562
0.0,23,3.817638
0.0,396,3.957989
0.0,11,3.961926
0.5,7,3.9645
0.0,394,4.101214
0.0,61,4.122459
0.0,36,4.134984
0.5,4,4.136431
0.0,34,4.148288
0.0,106,4.184386
0.0,30,4.195228
0.5,4,4.196901
0.0,12,4.201765
0.0,126,4.246656
0.0,31,4.257499
0.5,4,4.258939
0.0,300,4.363461
0.0,11,4.367337
0.0,321,4.47926
0.5,4,4.480744
0.0,53,4.499333
0.0,59,4.519175
0.0,320,4.633358
0.5,6,4.635518
0.0,312,4.742954
0.0,18,4.749268
0.0,355,4.87494
0.5,4,4.876447
0.0,266,4.972146
0.0,46,4.987504
0.0,61,5.008721
0.5,8,5.01153
0.0,51,5.029325
0.0,51,5.046283
0.0,512,5.223592
0.5,4,5.225113
0.0,119,5.26771
0.0,47,5.283937
0.0,75,5.309855
0.5,4,5.311298
0.0,259,5.402658
0.0,79,5.430631
0.0,139,5.479087
0.5,4,5.480551
0.0,59,5.501175
0.0,8,5.504055
0.0,226,5.582865
0.5,6,5.585024
1.0,58,5.606525
0.0,110,5.645137
0.0,36,5.657689
0.5,6,5.659818
0.0,143,5.709516
0.0,601,5.917798
0.0,57,5.938097
0.5,4,5.939547
0.0,24,5.948031
0.0,84,5.980346
0.0,111,6.020258
0.5,6,6.022427
0.0,12,6.026632
0.0,94,6.057916
0.0,43,6.07277
0.5,4,6.074199
0.0,37,6.087173
0.0,30,6.097593
0.0,463,6.256791
0.5,4,6.258278
0.0,6,6.260384
0.0,5,6.262141
0.0,244,6.349813
0.5,4,6.351296
1.0,650,6.578031
0.0,38,6.591079
0.0,32,6.602875
0.5,6,6.605205
0.0,240,6.692578
0.0,267,6.783223
0.0,50,6.800717
0.5,7,6.803194
1.0,51,6.820873
1.0,363,6.9468
0.0,305,7.054262
0.5,6,7.056448
1.0,83,7.085469
0.0,148,7.136464
0.0,125,7.17992
0.5,4,7.181405
1.0,90,7.213429
1.0,603,7.426063
0.0,194,7.493447
0.5,4,7.494921
1.0,15,7.50022
0.0,90,7.531129
0.0,24,7.539558
0.5,4,7.541018
1.0,33,7.5525
0.0,239,7.635733
1.0,202,7.707401
0.5,7,7.709917
0.0,65,7.73354
0.0,79,7.761054
0.0,376,7.893625
0.5,4,7.895443
1.0,41,7.909954
0.0,8,7.912787
0.0,12,7.916981
0.5,4,7.918426
1.0,93,7.951242
0.0,26,7.96051
0.0,17,7.966421
0.5,4,7.967869
1.0,38,7.981616
0.0,135,8.029344
1.0,156,8.086043
0.5,4,8.087493
1.0,48,8.104296
1.0,164,8.16225
1.0,181,8.225039
0.5,4,8.226485
1.0,14,8.231481
0.0,112,8.270854
0.0,35,8.284008
0.5,4,8.28546
1.0,64,8.308031
0.0,97,8.342525
0.0,48,8.359935
0.5,4,8.361405
1.0,14,8.366232
1.0,96,8.40071
0.0,26,8.409826
0.5,4,8.411277
1.0,15,8.416542
1.0,179,8.481754
0.0,4,8.483203
0.5,6,8.485348
0.0,15,8.49068
1.0,140,8.540589
1.0,84,8.570132
0.5,4,8.571591
1.0,11,8.575461
0.0,133,8.622408
1.0,174,8.683552
0.5,8,8.686386
1.0,11,8.690382
0.0,36,8.70308
1.0,87,8.733886
0.5,4,8.735339
1.0,13,8.739923
1.0,79,8.768879
1.0,118,8.81317
0.5,6,8.815318
1.0,11,8.819207
0.0,12,8.82351
0.0,7,8.826012
0.5,4,8.827462
1.0,11,8.83133
0.0,22,8.839155
1.0,58,8.860102
0.5,4,8.86156
1.0,11,8.865442
0.0,14,8.870448
0.0,6,8.872581
0.5,4,8.874033
1.0,11,8.877905
1.0,121,8.920636
0.0,37,8.933728
0.5,4,8.935178
1.0,12,8.939315
1.0,46,8.95561
1.0,115,8.996289
0.5,4,8.997866
1.0,12,9.002075
0.0,101,9.038579
1.0,94,9.071542
0.5,6,9.07372
1.0,12,9.077915
1.0,97,9.112059
1.0,105,9.151238
0.5,8,9.154086
1.0,16,9.159745
1.0,99,9.194277
0.0,24,9.202502
0.5,6,9.204648
1.0,12,9.208804
1.0,105,9.245802
1.0,74,9.271861
0.5,4,9.273317
1.0,11,9.277174
1.0,80,9.304977
0.0,7,9.307498
0.5,4,9.308943
1.0,12,9.313171
1.0,90,9.344847
0.0,8,9.347665
0.5,4,9.349111
0.0,9,9.352299
1.0,74,9.379071
0.0,54,9.398322
0.5,4,9.399762
1.0,11,9.403632
0.0,102,9.439722
1.0,88,9.471286
0.5,4,9.472725
1.0,13,9.477278
1.0,129,9.524751
0.0,14,9.529772
0.5,8,9.532593
1.0,15,9.537865
1.0,33,9.549402
1.0,91,9.581382
0.5,4,9.582829
0.0,9,9.58604
1.0,87,9.618039
0.0,79,9.646149
0.5,6,9.648297
1.0,11,9.65217
1.0,46,9.668283
1.0,52,9.686552
0.5,8,9.689369
1.0,11,9.693249
0.0,95,9.726193
1.0,37,9.739268
0.5,4,9.740706
1.0,15,9.745892
0.0,20,9.753164
1.0,71,9.778462
0.5,4,9.77992
1.0,14,9.784733
1.0,42,9.799483
1.0,51,9.817373
0.5,4,9.818815
1.0,11,9.822674
1.0,108,9.863609
1.0,70,9.888432
0.5,4,9.889884
1.0,11,9.893749
1.0,58,9.914492
0.0,99,9.949222
0.5,4,9.950694
0.0,2,9.95142
1.0,33,9.962928
1.0,86,9.99299
0.5,4,9.99445
0.0,9,9.997663
1.0,36,10.010513
1.0,34,10.022636
0.5,4,10.024078
1.0,11,10.027941
1.0,50,10.045472
1.0,56,10.065244
0.5,6,10.067385
1.0,14,10.072232
1.0,70,10.096777
1.0,45,10.112493
0.5,10,10.116024
1.0,14,10.120936
1.0,36,10.13359
1.0,52,10.151807
0.5,4,10.153251
0.0,9,10.156423
1.0,31,10.167287
0.0,9,10.17049
0.5,6,10.17263
1.0,11,10.176509
0.0,15,10.182095
1.0,62,10.204707
0.5,4,10.206211
0.0,4,10.20765
1.0,76,10.235365
0.0,30,10.246069
0.5,4,10.247518
1.0,11,10.251433
1.0,26,10.2606
1.0,37,10.273633
0.5,4,10.275067
1.0,13,10.279752
0.0,45,10.295595
1.0,31,10.306356
0.5,4,10.307796
1.0,11,10.311677
1.0,31,10.322644
1.0,57,10.342701
0.5,4,10.344445
1.0,11,10.348411
0.0,12,10.352696
0.0,9,10.35599
0.5,6,10.358134
1.0,12,10.362577
1.0,95,10.3967
1.0,41,10.411229
0.5,4,10.412686
1.0,13,10.417412
1.0,50,10.435135
0.0,25,10.443822
0.5,10,10.447366
0.0,4,10.448806
1.0,39,10.462393
1.0,35,10.474816
0.5,4,10.476274
1.0,11,10.480142
1.0,32,10.491429
1.0,38,10.504866
0.5,4,10.506354
0.0,6,10.508498
1.0,29,10.518694
0.0,26,10.527863
0.5,4,10.529312
1.0,15,10.534507
1.0,53,10.554349
1.0,49,10.572402
0.5,6,10.57454
1.0,11,10.578456
1.0,45,10.594139
0.0,31,10.605072
0.5,4,10.60654
1.0,17,10.612516
1.0,31,10.623542
0.0,11,10.627458
0.5,4,10.628912
1.0,18,10.635226
1.0,73,10.66096
1.0,30,10.671549
0.5,6,10.673681
1.0,11,10.677567
1.0,52,10.69592
1.0,36,10.708411
0.5,6,10.710509
1.0,13,10.715098
1.0,30,10.725608
1.0,44,10.74116
0.5,4,10.742616
1.0,11,10.746493
0.0,14,10.751453
1.0,44,10.766906
0.5,4,10.768351
0.0,9,10.771621
1.0,33,10.783207
1.0,38,10.796504
0.5,4,10.797956
1.0,14,10.80287
0.0,21,10.811186
1.0,33,10.822894
0.5,4,10.824337
1.0,11,10.828214
0.0,19,10.834929
1.0,29,10.845493
0.5,4,10.846934
1.0,12,10.851156
0.0,81,10.880275
1.0,30,10.890957
0.5,4,10.892486
1.0,11,10.896742
1.0,24,10.905203
0.0,12,10.909484
0.5,6,10.912326
1.0,11,10.916298
1.0,26,10.925628
1.0,36,10.939218
0.5,4,10.940657
1.0,11,10.944538
0.0,24,10.953007
1.0,38,10.96654
0.5,4,10.967986
1.0,15,10.973204
0.0,13,10.977797
1.0,33,10.989345
0.5,4,10.99078
1.0,13,10.995409
1.0,29,11.005572
1.0,29,11.01579
0.5,4,11.017247
1.0,11,11.021118
1.0,31,11.031878
0.0,21,11.039276
0.5,4,11.040734
1.0,13,11.045689
1.0,28,11.055483
1.0,31,11.066348
0.5,4,11.067765
1.0,11,11.071585
1.0,34,11.083495
0.0,4,11.084931
0.5,4,11.086368
1.0,11,11.090237
1.0,31,11.101125
1.0,45,11.11698
0.5,6,11.119126
0.0,6,11.121276
1.0,25,11.13002
1.0,61,11.151617
0.5,4,11.153059
1.0,11,11.156934
1.0,24,11.165437
1.0,39,11.179054
0.5,4,11.180501
1.0,13,11.185091
1.0,28,11.195067
0.0,15,11.200364
0.5,4,11.201809
1.0,11,11.205688
0.0,39,11.219292
1.0,31,11.230298
0.5,4,11.231749
0.0,4,11.233188
1.0,24,11.241621
