episodes,steps,total reward
22,1000,1.0
32,2000,0.0
41,3000,2.0
46,4000,1.0
52,5000,0.0
58,6000,1.0
72,7000,0.5
77,8000,0.0
88,9000,1.0
98,10000,2.0
101,11000,0.5
110,12000,2.0
116,13000,1.0
125,14000,1.0
132,15000,1.0
140,16000,1.0
149,17000,1.0
156,18000,3.0
164,19000,1.0
168,20000,0.5
180,21000,2.5
193,22000,5.5
202,23000,5.0
214,24000,8.5
233,25000,11.5
254,26000,14.5
281,27000,18.5
320,28000,24.0
362,29000,25.0
397,30000,23.5
437,31000,31.0
481,32000,33.5
534,33000,36.5
590,34000,38.0
648,35000,41.5
702,36000,40.5
758,37000,40.0
817,38000,45.5
873,39000,42.0
937,40000,40.0
994,41000,42.0
1057,42000,43.0
1113,43000,45.0
1170,44000,42.0
1225,45000,43.0
1285,46000,38.5
1345,47000,45.5
1402,48000,41.0
1460,49000,43.5
1518,50000,45.0
1580,51000,45.0
1638,52000,42.0
1698,53000,42.5
1754,54000,42.0
1817,55000,42.0
1873,56000,41.0
1934,57000,43.5
1992,58000,41.5
2052,59000,44.5
2109,60000,43.0
2170,61000,41.5
2225,62000,42.0
2282,63000,43.0
2338,64000,40.0
2397,65000,43.5
2461,66000,43.0
2522,67000,41.5
2578,68000,44.0
2635,69000,41.5
2693,70000,43.0
2749,71000,41.0
2806,72000,44.0
2859,73000,42.5
2917,74000,41.5
2974,75000,39.0
3033,76000,43.5
3090,77000,43.0
3150,78000,43.5
3210,79000,44.5
3266,80000,42.0
3324,81000,43.5
3381,82000,47.0
3440,83000,43.5
3498,84000,43.0
3558,85000,43.5
3618,86000,44.5
3678,87000,44.5
3740,88000,45.0
3798,89000,43.0
3861,90000,44.0
3925,91000,42.0
3984,92000,44.5
4045,93000,41.5
4106,94000,42.5
4166,95000,44.5
4225,96000,43.5
4282,97000,43.0
4339,98000,44.0
4395,99000,45.0
4457,100000,45.0
