# {"t_start": 1641534601.5796072, "env_id": "Office-single-v0"} 
r,l,t
0.5,15,0.004093
0.0,17,0.008682
0.0,6,0.010262
0.5,66,0.026991
0.0,15,0.030783
0.0,14,0.034292
0.5,32,0.042097
0.0,25,0.048652
0.0,32,0.05654
0.0,23,0.062329
0.5,49,0.074749
0.0,20,0.079885
0.0,57,0.094131
0.0,45,0.105415
0.0,31,0.113063
0.0,47,0.124842
0.0,88,0.14698
0.0,17,0.151225
0.0,110,0.178297
0.0,126,0.209302
0.0,61,0.224419
0.0,134,0.258013
0.0,47,0.269964
0.5,26,0.276512
0.0,52,0.290349
0.0,10,0.292868
0.5,240,0.352411
0.0,73,0.37001
0.0,40,0.379864
0.5,13,0.383116
0.5,28,0.390129
0.0,16,0.393991
0.0,93,0.417621
0.0,88,0.439398
0.0,270,0.505992
0.0,56,0.520538
0.5,10,0.523065
0.0,662,0.688093
0.0,31,0.695723
0.0,133,0.728299
0.0,51,0.741174
0.0,1000,0.99232
0.0,181,1.038452
0.0,335,1.12167
0.5,23,1.127395
0.0,21,1.132502
0.5,13,1.135697
0.0,237,1.19382
0.5,18,1.198244
0.0,51,1.210778
0.0,47,1.222371
0.0,29,1.229346
0.0,15,1.233094
0.0,31,1.240745
0.0,6,1.242224
0.0,266,1.309981
0.0,524,1.442068
0.0,26,1.448702
0.0,44,1.459614
0.0,39,1.469243
0.5,20,1.474215
0.5,16,1.478161
0.0,37,1.487231
0.0,156,1.52641
0.0,129,1.55948
0.0,162,1.599407
0.5,21,1.604612
0.5,4,1.605639
0.5,4,1.60673
0.5,4,1.607751
0.5,4,1.608806
0.5,4,1.609858
0.5,4,1.610915
0.0,133,1.643641
0.5,4,1.644724
0.5,4,1.645747
0.5,4,1.646765
0.5,4,1.647782
0.5,4,1.648795
0.5,8,1.650778
0.5,4,1.651798
0.5,6,1.653332
0.5,4,1.654355
0.5,4,1.655373
0.5,6,1.656904
0.0,75,1.675304
0.5,6,1.676846
0.5,4,1.677869
0.5,4,1.67889
0.5,4,1.679908
0.5,4,1.680921
0.5,4,1.681936
0.5,4,1.682953
0.5,23,1.688637
0.5,4,1.689659
0.5,4,1.690679
0.5,4,1.691733
0.5,4,1.692752
0.5,6,1.694239
0.5,4,1.695258
0.5,4,1.696266
0.5,6,1.697768
0.5,6,1.69928
0.5,4,1.700294
0.5,4,1.701297
0.5,165,1.741866
0.5,4,1.74292
0.5,4,1.743939
0.5,4,1.74495
0.5,6,1.7466
0.5,4,1.747623
0.5,4,1.748626
0.5,4,1.749638
0.5,4,1.750913
0.5,6,1.752428
0.5,6,1.753996
0.5,4,1.755034
0.5,4,1.756075
0.5,4,1.75709
0.5,4,1.758102
0.5,6,1.759591
0.5,4,1.760596
0.5,6,1.762499
0.5,4,1.76362
0.5,4,1.764665
0.5,4,1.765671
0.5,4,1.766736
0.5,4,1.767754
0.5,6,1.769318
0.5,6,1.770858
0.5,4,1.771873
0.5,4,1.772874
0.5,4,1.773887
0.5,6,1.775367
0.5,4,1.776378
0.5,4,1.777492
0.5,4,1.778584
0.5,6,1.780168
0.5,4,1.781184
0.5,4,1.782236
0.5,4,1.783437
0.5,4,1.784658
0.5,6,1.786292
0.5,4,1.787306
0.5,4,1.788366
0.5,4,1.789699
0.5,4,1.790753
0.5,4,1.79177
0.5,4,1.792786
0.5,4,1.793811
0.5,6,1.795307
0.5,4,1.796323
0.5,4,1.797325
0.5,4,1.798344
0.5,4,1.799363
0.5,4,1.800376
0.5,4,1.801422
0.5,4,1.802473
0.5,4,1.803488
0.5,4,1.804507
0.5,6,1.806202
0.5,4,1.807284
0.5,4,1.808359
0.5,4,1.809433
0.5,4,1.810491
0.5,4,1.811509
0.5,4,1.812525
0.5,6,1.814007
0.5,6,1.815505
0.5,4,1.816505
0.5,6,1.818091
0.5,6,1.819586
0.5,4,1.820604
0.5,4,1.821618
0.5,6,1.823243
0.5,4,1.824247
0.5,4,1.825297
0.5,4,1.826319
0.5,4,1.827336
0.5,4,1.828348
0.5,6,1.829817
0.5,4,1.830871
0.5,4,1.831913
0.5,4,1.833004
0.5,6,1.834517
0.5,4,1.835535
0.5,6,1.83703
0.5,4,1.838046
0.5,4,1.839052
0.5,7,1.840812
0.5,79,1.860276
0.0,149,1.896775
0.5,4,1.898001
0.5,4,1.899165
0.5,6,1.900717
0.5,6,1.902291
0.5,4,1.903346
0.5,6,1.904871
0.5,4,1.905932
0.5,8,1.907965
0.5,4,1.909022
0.5,4,1.910109
0.5,4,1.911167
0.5,4,1.912224
0.5,4,1.913273
0.5,8,1.915466
0.5,4,1.916484
0.5,4,1.917538
0.5,4,1.91856
0.5,4,1.919579
0.5,4,1.920592
0.5,4,1.921603
0.5,6,1.923101
0.5,4,1.924119
0.5,4,1.925151
0.5,4,1.926164
0.5,4,1.927179
0.5,4,1.928183
0.5,4,1.929196
0.5,4,1.930232
0.5,4,1.931247
0.5,4,1.932285
0.5,6,1.933781
0.5,6,1.935317
0.5,6,1.936904
0.5,4,1.937922
0.5,4,1.938946
0.5,4,1.939985
0.5,4,1.941016
0.5,8,1.943009
0.5,4,1.944013
0.5,4,1.945022
0.5,4,1.946058
0.5,4,1.947066
0.5,4,1.948125
0.5,28,1.95499
0.5,6,1.956525
0.0,22,1.961744
0.5,4,1.962828
0.5,4,1.963861
0.5,6,1.965344
0.5,44,1.976254
0.5,6,1.977798
0.5,6,1.979406
0.5,35,1.988051
0.5,6,1.989558
0.5,4,1.990581
