# {"t_start": 1641353909.6421778, "env_id": "Office-single-v0"} 
r,l,t
1.0,7,0.000889
1.0,1,0.001012
1.0,1,0.00116
1.0,1,0.001269
1.0,1,0.001377
1.0,3,0.001609
1.0,1,0.001721
1.0,1,0.001829
1.0,4,0.002129
1.0,1,0.00224
1.0,1,0.002347
1.0,1,0.002454
1.0,1,0.00256
1.0,1,0.002666
1.0,1,0.002773
1.0,1,0.002877
1.0,1,0.002983
1.0,1,0.003088
1.0,1,0.003194
1.0,1,0.003299
1.0,1,0.003404
1.0,1,0.003509
1.0,1,0.003654
1.0,1,0.003773
1.0,1,0.003876
1.0,1,0.003979
1.0,1,0.004083
1.0,1,0.004186
1.0,1,0.004287
1.0,1,0.004389
1.0,1,0.004492
1.0,1,0.004595
1.0,1,0.004697
1.0,1,0.0048
1.0,1,0.004902
1.0,1,0.005005
1.0,1,0.005111
1.0,1,0.005214
1.0,1,0.005318
1.0,1,0.005421
1.0,1,0.005524
1.0,1,0.005627
1.0,3,0.005878
1.0,5,0.006296
1.0,1,0.006404
1.0,1,0.006506
1.0,1,0.006609
1.0,1,0.006713
1.0,1,0.006816
1.0,1,0.006919
1.0,1,0.007022
1.0,1,0.007123
1.0,1,0.007224
1.0,1,0.007327
1.0,1,0.00743
1.0,1,0.007534
1.0,1,0.007694
1.0,1,0.007798
1.0,1,0.007901
1.0,1,0.008008
1.0,1,0.008111
1.0,1,0.008213
1.0,1,0.008314
1.0,1,0.008417
1.0,1,0.00852
1.0,1,0.008623
1.0,1,0.008727
1.0,1,0.008829
1.0,1,0.008932
1.0,1,0.009035
1.0,1,0.009139
1.0,1,0.009242
1.0,1,0.009346
1.0,1,0.00945
1.0,1,0.009554
1.0,1,0.009658
1.0,1,0.009761
1.0,1,0.009864
1.0,1,0.009956
1.0,5,0.010319
1.0,1,0.010429
1.0,1,0.010535
1.0,1,0.01064
1.0,1,0.010744
1.0,1,0.010848
1.0,1,0.010952
1.0,1,0.011055
1.0,1,0.011192
1.0,1,0.011296
1.0,1,0.011405
1.0,3,0.011695
1.0,1,0.011803
1.0,1,0.011907
1.0,1,0.01201
1.0,1,0.012114
1.0,1,0.012217
1.0,1,0.012321
1.0,1,0.012423
1.0,1,0.012527
1.0,1,0.01263
1.0,1,0.012735
1.0,1,0.012838
1.0,1,0.012941
1.0,1,0.013044
1.0,1,0.013148
1.0,3,0.013377
1.0,1,0.013483
1.0,1,0.013589
1.0,1,0.013691
1.0,1,0.013794
1.0,3,0.014041
1.0,1,0.014192
1.0,1,0.014296
1.0,1,0.014398
1.0,1,0.014501
1.0,1,0.014604
1.0,1,0.014705
1.0,1,0.014807
1.0,1,0.014911
1.0,1,0.015013
1.0,1,0.015116
1.0,1,0.015219
1.0,1,0.015323
1.0,1,0.015426
1.0,1,0.015528
1.0,3,0.015813
1.0,1,0.015923
1.0,1,0.016028
1.0,1,0.016132
1.0,1,0.016235
1.0,1,0.016339
1.0,1,0.016442
1.0,1,0.016546
1.0,1,0.016649
1.0,1,0.016752
1.0,1,0.016855
1.0,1,0.016961
1.0,1,0.017065
1.0,1,0.017169
1.0,1,0.017273
1.0,1,0.017376
1.0,3,0.017605
1.0,1,0.017711
1.0,3,0.017941
1.0,1,0.018047
1.0,1,0.018151
1.0,1,0.018253
1.0,1,0.018356
1.0,1,0.018448
1.0,1,0.01854
1.0,3,0.018768
1.0,1,0.018873
1.0,1,0.018977
1.0,1,0.019079
1.0,1,0.019182
1.0,1,0.019285
1.0,1,0.019388
1.0,3,0.019673
1.0,1,0.019807
1.0,1,0.019911
1.0,1,0.020014
1.0,1,0.020116
1.0,1,0.020253
1.0,1,0.020355
1.0,1,0.020459
