episodes,steps,total reward
33,1000,11.0
46,2000,3.0
52,3000,2.0
58,4000,2.0
66,5000,2.0
74,6000,2.0
82,7000,2.0
92,8000,3.0
98,9000,1.0
106,10000,2.0
117,11000,3.0
124,12000,2.0
133,13000,2.0
138,14000,1.0
146,15000,2.0
157,16000,5.0
168,17000,3.0
181,18000,3.0
186,19000,1.0
190,20000,1.0
198,21000,4.0
212,22000,7.0
225,23000,9.0
238,24000,9.0
265,25000,18.0
281,26000,14.0
301,27000,13.0
330,28000,23.0
365,29000,28.0
400,30000,30.0
441,31000,33.0
489,32000,40.0
540,33000,43.0
598,34000,51.0
656,35000,50.0
721,36000,54.0
790,37000,51.0
849,38000,52.0
906,39000,53.0
969,40000,53.0
1031,41000,52.0
1093,42000,54.0
1158,43000,48.0
1220,44000,53.0
1282,45000,50.0
1336,46000,45.0
1397,47000,48.0
1458,48000,53.0
1521,49000,55.0
1586,50000,56.0
1650,51000,51.0
1714,52000,53.0
1778,53000,56.0
1838,54000,53.0
1905,55000,55.0
1966,56000,50.0
2030,57000,55.0
2093,58000,55.0
2153,59000,53.0
2217,60000,57.0
2278,61000,52.0
2342,62000,50.0
2409,63000,55.0
2473,64000,53.0
2533,65000,52.0
2593,66000,52.0
2654,67000,53.0
2720,68000,54.0
2782,69000,51.0
2842,70000,53.0
2901,71000,55.0
2964,72000,53.0
3026,73000,53.0
3088,74000,50.0
3153,75000,54.0
3216,76000,56.0
3278,77000,53.0
3341,78000,54.0
3406,79000,52.0
3465,80000,53.0
3525,81000,51.0
3586,82000,56.0
3650,83000,52.0
3712,84000,54.0
3774,85000,54.0
3837,86000,50.0
3897,87000,54.0
3961,88000,55.0
4024,89000,56.0
4090,90000,51.0
4153,91000,52.0
4217,92000,54.0
4280,93000,56.0
4346,94000,51.0
4405,95000,53.0
4470,96000,52.0
4536,97000,56.0
4597,98000,51.0
4657,99000,54.0
4715,100000,54.0
