# {"t_start": 1641615598.9270666, "env_id": "Office-single-v0"} 
r,l,t
0.0,63,0.00874
0.0,9,0.010015
0.0,19,0.012661
0.0,16,0.014835
0.0,17,0.017201
0.0,19,0.019698
0.0,34,0.024055
0.0,24,0.027254
0.0,80,0.037781
0.0,36,0.042685
0.0,29,0.046345
0.0,29,0.050045
0.0,16,0.052113
0.0,40,0.057492
0.0,51,0.06402
0.0,67,0.072668
0.0,96,0.084863
0.0,33,0.08912
0.0,112,0.103182
0.0,111,0.117616
0.0,33,0.121856
0.0,210,0.149776
0.0,73,0.159584
0.0,69,0.168591
0.0,129,0.185612
0.0,106,0.199217
0.0,223,0.22762
0.0,176,0.250416
0.0,55,0.257431
0.0,201,0.283293
0.0,90,0.295403
0.0,384,0.345014
0.0,55,0.352045
0.0,156,0.371831
0.0,494,0.435555
0.0,228,0.464915
0.0,43,0.470433
0.0,46,0.476322
0.0,802,0.579474
0.0,132,0.595845
0.0,2,0.596165
0.0,75,0.605728
0.0,14,0.607575
0.0,6,0.608392
0.0,317,0.649336
0.0,142,0.667879
0.0,71,0.677064
0.0,11,0.678522
0.0,54,0.685337
0.0,40,0.690763
0.0,33,0.695016
0.0,206,0.72135
0.0,124,0.737023
0.0,187,0.760695
0.0,48,0.766831
0.0,21,0.769544
0.0,144,0.788076
0.0,275,0.82394
0.0,210,0.851174
0.0,40,0.856331
0.0,12,0.857897
0.0,15,0.859853
0.0,120,0.875188
0.0,11,0.876625
0.0,28,0.880268
0.0,132,0.896958
0.0,302,0.93627
0.0,5,0.937021
0.0,249,0.968919
0.0,12,0.970523
0.0,160,0.991086
0.0,150,1.01013
0.0,1000,1.140596
0.0,7,1.141539
0.0,85,1.15239
0.0,14,1.154232
0.0,6,1.155041
0.0,814,1.259563
0.0,261,1.292893
0.0,64,1.301059
0.0,504,1.366117
0.0,42,1.371538
0.0,27,1.375
0.0,58,1.382378
0.0,138,1.399781
0.0,33,1.404038
0.0,308,1.443878
0.0,143,1.462628
0.0,155,1.482189
0.0,437,1.537235
0.0,142,1.556096
0.0,128,1.572716
0.0,136,1.590232
0.0,669,1.675238
0.0,94,1.687641
0.0,248,1.719587
0.0,14,1.721537
0.0,361,1.767165
0.0,156,1.787028
0.0,110,1.80087
0.0,497,1.865047
0.0,72,1.874214
0.0,154,1.893707
0.0,655,1.977715
0.0,116,1.992776
0.0,257,2.025357
0.0,74,2.034941
0.0,501,2.100264
0.0,6,2.101032
0.0,45,2.106738
0.0,115,2.121602
0.0,42,2.126917
0.0,13,2.128618
0.0,14,2.130383
0.0,336,2.173397
0.0,23,2.176376
0.0,222,2.205177
0.0,83,2.215846
0.0,91,2.227872
0.0,147,2.246563
0.0,164,2.267335
0.0,75,2.276802
1.0,123,2.29234
1.0,181,2.315324
0.0,373,2.363654
0.0,190,2.387822
0.0,73,2.397109
0.0,27,2.400531
0.0,472,2.460637
0.0,75,2.470269
0.0,83,2.480978
0.0,600,2.558196
0.0,47,2.564178
0.0,29,2.567888
0.0,16,2.569964
0.0,456,2.629075
1.0,290,2.666548
0.0,38,2.67146
0.0,82,2.682035
0.0,55,2.689015
1.0,227,2.718004
0.0,156,2.738339
0.0,78,2.74855
0.0,53,2.755384
1.0,284,2.791484
0.0,50,2.797837
0.0,13,2.799514
0.0,49,2.805763
1.0,73,2.815006
0.0,112,2.829238
1.0,74,2.838914
1.0,311,2.879797
0.0,158,2.899679
0.0,21,2.902389
0.0,93,2.914272
1.0,207,2.940578
1.0,80,2.950799
0.0,42,2.956156
0.0,14,2.957955
0.0,71,2.967426
0.0,112,2.981768
1.0,126,2.998381
1.0,44,3.003983
1.0,42,3.009435
0.0,4,3.009978
1.0,132,3.026721
0.0,95,3.038907
1.0,38,3.043957
0.0,10,3.045259
1.0,41,3.050454
0.0,45,3.056445
1.0,48,3.062568
1.0,33,3.066837
0.0,41,3.072095
1.0,28,3.075717
1.0,39,3.080741
1.0,36,3.085333
0.0,15,3.087269
1.0,26,3.090867
1.0,53,3.097652
0.0,45,3.10355
0.0,96,3.116123
0.0,19,3.118708
1.0,29,3.122421
1.0,31,3.126403
0.0,4,3.126952
1.0,31,3.131012
1.0,30,3.135248
1.0,27,3.138772
1.0,38,3.143614
1.0,25,3.146891
1.0,25,3.15014
1.0,27,3.153645
1.0,27,3.157129
0.0,22,3.159969
0.0,28,3.163535
