episodes,steps,total reward
26,1000,0.0
34,2000,0.0
40,3000,0.0
45,4000,0.0
50,5000,0.0
56,6000,0.0
65,7000,0.0
72,8000,0.0
74,9000,0.0
79,10000,0.0
81,11000,0.0
84,12000,0.0
92,13000,0.0
102,14000,0.0
112,15000,0.0
115,16000,0.0
123,17000,0.0
130,18000,0.0
135,19000,0.0
142,20000,0.0
143,21000,0.0
153,22000,2.0
167,23000,5.0
179,24000,7.0
194,25000,10.0
219,26000,22.0
255,27000,28.0
292,28000,32.0
331,29000,32.0
370,30000,32.0
412,31000,33.0
455,32000,30.0
495,33000,31.0
537,34000,27.0
578,35000,30.0
619,36000,31.0
660,37000,33.0
699,38000,33.0
740,39000,32.0
779,40000,33.0
816,41000,32.0
857,42000,33.0
897,43000,30.0
937,44000,33.0
975,45000,31.0
1016,46000,32.0
1055,47000,32.0
1095,48000,30.0
1138,49000,31.0
1182,50000,30.0
1222,51000,32.0
1261,52000,32.0
1300,53000,32.0
1340,54000,30.0
1382,55000,33.0
1420,56000,31.0
1460,57000,32.0
1502,58000,32.0
1543,59000,30.0
1582,60000,31.0
1623,61000,33.0
1664,62000,32.0
1707,63000,30.0
1745,64000,34.0
1786,65000,32.0
1829,66000,30.0
1869,67000,32.0
1910,68000,32.0
1951,69000,34.0
1995,70000,31.0
2037,71000,31.0
2079,72000,29.0
2120,73000,33.0
2162,74000,32.0
2205,75000,32.0
2246,76000,29.0
2284,77000,29.0
2321,78000,33.0
2363,79000,31.0
2404,80000,32.0
2442,81000,32.0
2483,82000,31.0
2522,83000,32.0
2560,84000,32.0
2600,85000,32.0
2638,86000,33.0
2681,87000,28.0
2722,88000,30.0
2764,89000,29.0
2805,90000,34.0
2843,91000,31.0
2884,92000,25.0
2927,93000,30.0
2969,94000,28.0
3006,95000,34.0
3050,96000,28.0
3089,97000,33.0
3126,98000,34.0
3166,99000,31.0
3203,100000,35.0
