# {"t_start": 1641623057.3573675, "env_id": "Office-v0"} 
r,l,t
0.0,29,0.011821
0.0,60,0.034798
0.0,36,0.048747
0.0,16,0.054791
0.0,21,0.062918
0.0,19,0.070115
0.0,37,0.084001
0.0,9,0.087525
1.0,72,0.114946
0.0,6,0.117244
0.0,28,0.12804
0.0,19,0.135373
0.0,14,0.140727
0.0,39,0.155665
0.0,25,0.165302
0.0,8,0.168366
0.0,144,0.222897
0.0,34,0.235428
0.0,30,0.247595
0.0,164,0.309046
0.0,79,0.339493
0.0,100,0.377591
0.0,57,0.399852
0.0,106,0.440334
0.0,66,0.465407
0.0,53,0.485438
0.0,53,0.505685
0.0,39,0.520762
0.0,80,0.551634
0.0,168,0.614863
0.0,164,0.67745
0.0,133,0.727385
0.0,96,0.763941
0.0,67,0.78966
0.0,14,0.795422
0.0,54,0.816564
0.0,122,0.863583
0.0,16,0.869804
0.0,58,0.891829
0.0,92,0.926325
0.0,112,0.968824
0.0,164,1.031029
0.0,525,1.232214
0.0,11,1.236545
0.0,51,1.255746
0.0,41,1.271291
0.0,32,1.283336
0.0,125,1.331022
0.0,157,1.390624
0.0,329,1.513993
0.0,79,1.54513
0.0,27,1.555882
0.0,7,1.558932
0.0,26,1.569141
0.0,56,1.590564
0.0,182,1.660846
1.0,128,1.710593
0.0,141,1.763453
0.0,89,1.79722
0.0,8,1.800281
0.0,27,1.810422
1.0,99,1.848183
0.0,100,1.886
0.0,10,1.889832
0.0,14,1.895099
0.0,26,1.904927
0.0,600,2.132143
0.0,37,2.145605
0.0,185,2.216367
0.0,57,2.23728
0.0,49,2.255788
0.0,253,2.353765
1.0,133,2.404073
0.0,48,2.42204
0.0,121,2.468604
0.0,76,2.49742
0.0,65,2.521938
0.0,29,2.532833
0.0,47,2.551304
0.0,24,2.560306
0.0,32,2.57232
1.0,159,2.632364
0.0,75,2.660714
0.0,349,2.792906
0.0,650,3.039007
0.0,412,3.197494
0.0,64,3.221738
0.0,42,3.237672
0.0,287,3.345789
0.0,429,3.50888
0.0,40,3.524726
0.0,357,3.660967
0.0,64,3.685378
0.0,197,3.758844
0.0,58,3.780666
0.0,18,3.787562
1.0,240,3.881408
0.0,170,3.946004
0.0,374,4.088617
0.0,56,4.110046
0.0,9,4.113479
0.0,23,4.12227
0.0,90,4.156561
0.0,388,4.304335
0.0,284,4.412287
0.0,111,4.453345
0.0,8,4.456414
0.0,104,4.49532
0.0,179,4.56409
0.0,170,4.630674
0.0,95,4.667127
0.0,50,4.686355
0.0,14,4.691625
0.0,101,4.729639
0.0,540,4.93422
0.0,11,4.938411
0.0,522,5.13801
0.0,171,5.201651
1.0,910,5.548559
0.0,147,5.604503
0.0,159,5.664436
0.0,10,5.668306
0.0,355,5.803547
0.0,123,5.850376
0.0,181,5.91922
0.0,257,6.016598
0.0,204,6.09554
0.0,47,6.114109
0.0,63,6.139009
0.0,40,6.154438
0.0,338,6.281717
0.0,36,6.295495
0.0,20,6.303167
0.0,202,6.380491
1.0,202,6.457588
0.0,59,6.480235
0.0,62,6.504438
0.0,18,6.511406
0.0,11,6.516049
0.0,46,6.533754
0.0,36,6.547665
0.0,237,6.638611
0.0,51,6.657992
0.0,411,6.813102
0.0,153,6.873002
0.0,74,6.901212
0.0,63,6.925473
1.0,28,6.936205
0.0,121,6.982355
0.0,22,6.990744
0.0,51,7.010101
0.0,24,7.019222
0.0,218,7.102982
0.0,65,7.12697
0.0,166,7.189256
0.0,520,7.387532
0.0,15,7.393332
0.0,649,7.640295
0.0,273,7.744777
1.0,38,7.759333
1.0,137,7.811555
1.0,148,7.868639
1.0,361,8.005447
1.0,544,8.213763
1.0,28,8.224516
0.0,83,8.256047
1.0,178,8.323698
0.0,11,8.327991
1.0,129,8.377723
0.0,127,8.427499
0.0,25,8.436829
1.0,37,8.450914
0.0,77,8.480051
0.0,25,8.489611
1.0,269,8.593463
1.0,26,8.603398
1.0,52,8.623304
0.0,105,8.662458
0.0,29,8.673421
0.0,8,8.676428
1.0,64,8.700592
1.0,183,8.770025
0.0,51,8.789835
1.0,30,8.801754
1.0,24,8.811178
0.0,13,8.816141
0.0,45,8.833333
1.0,33,8.845932
1.0,22,8.85454
1.0,157,8.914162
0.0,187,8.984939
1.0,27,8.995259
1.0,17,9.001648
1.0,147,9.057751
0.0,168,9.121216
1.0,25,9.130866
1.0,28,9.141611
0.0,22,9.150248
1.0,89,9.184922
0.0,23,9.193738
1.0,16,9.199806
0.0,147,9.25552
0.0,27,9.265492
1.0,25,9.275093
1.0,11,9.279266
0.0,22,9.287561
0.0,9,9.291052
1.0,27,9.301296
1.0,13,9.306213
0.0,99,9.344235
0.0,86,9.376726
1.0,25,9.386295
0.0,6,9.388633
1.0,204,9.46523
0.0,90,9.499795
1.0,25,9.509382
1.0,12,9.513901
1.0,80,9.545132
0.0,51,9.565166
1.0,27,9.575909
0.0,7,9.578618
1.0,114,9.622068
1.0,157,9.682501
1.0,29,9.693631
1.0,11,9.697782
0.0,34,9.710706
1.0,158,9.770415
1.0,30,9.78191
1.0,13,9.786805
0.0,54,9.807391
1.0,65,9.832235
1.0,29,9.843671
1.0,11,9.847839
1.0,80,9.878299
0.0,48,9.89643
0.0,10,9.900209
1.0,12,9.904701
0.0,41,9.920616
1.0,54,9.941697
1.0,29,9.953351
1.0,11,9.957548
1.0,69,9.983784
1.0,80,10.014195
1.0,26,10.024116
0.0,7,10.026784
0.0,55,10.048045
0.0,82,10.079559
1.0,31,10.091516
1.0,13,10.096474
0.0,37,10.110967
0.0,7,10.113635
1.0,29,10.124727
1.0,12,10.129247
1.0,96,10.165989
1.0,126,10.213806
0.0,13,10.218769
1.0,14,10.224146
1.0,53,10.244184
1.0,52,10.263927
0.0,11,10.268123
1.0,11,10.272229
1.0,68,10.298269
1.0,122,10.34562
1.0,32,10.358055
1.0,14,10.363337
1.0,85,10.395827
0.0,74,10.424047
0.0,26,10.434071
1.0,11,10.43829
0.0,8,10.441435
0.0,12,10.446081
1.0,31,10.45802
1.0,12,10.462653
1.0,69,10.489251
1.0,75,10.517872
1.0,27,10.528342
1.0,11,10.532501
1.0,50,10.552017
1.0,63,10.576328
1.0,31,10.588156
