episodes,steps,total reward
25,1000,1.0
37,2000,0.0
40,3000,0.0
46,4000,0.0
54,5000,0.0
59,6000,0.0
68,7000,2.0
75,8000,4.0
86,9000,5.0
105,10000,8.0
119,11000,11.0
142,12000,14.0
162,13000,13.0
177,14000,11.0
199,15000,11.0
225,16000,21.0
257,17000,24.0
288,18000,25.0
325,19000,28.0
362,20000,27.0
400,21000,28.0
437,22000,30.0
475,23000,31.0
514,24000,31.0
556,25000,32.0
595,26000,29.0
637,27000,28.0
685,28000,30.0
721,29000,30.0
758,30000,34.0
800,31000,28.0
839,32000,30.0
879,33000,34.0
917,34000,30.0
955,35000,31.0
993,36000,31.0
1039,37000,27.0
1078,38000,30.0
1117,39000,32.0
1159,40000,26.0
1196,41000,30.0
1237,42000,31.0
1277,43000,31.0
1317,44000,28.0
1354,45000,33.0
1393,46000,33.0
1429,47000,32.0
1470,48000,31.0
1510,49000,32.0
1546,50000,32.0
1586,51000,27.0
1628,52000,32.0
1667,53000,29.0
1709,54000,31.0
1748,55000,32.0
1791,56000,30.0
1837,57000,28.0
1873,58000,31.0
1917,59000,31.0
1959,60000,32.0
1999,61000,29.0
2040,62000,28.0
2080,63000,28.0
2122,64000,31.0
2163,65000,30.0
2202,66000,31.0
2240,67000,30.0
2278,68000,30.0
2319,69000,33.0
2358,70000,30.0
2399,71000,31.0
2439,72000,28.0
2478,73000,32.0
2521,74000,30.0
2565,75000,30.0
2605,76000,31.0
2646,77000,30.0
2685,78000,33.0
2723,79000,29.0
2762,80000,30.0
2802,81000,33.0
2848,82000,31.0
2887,83000,29.0
2928,84000,31.0
2975,85000,32.0
3018,86000,29.0
3063,87000,30.0
3107,88000,30.0
3147,89000,31.0
3186,90000,30.0
3224,91000,31.0
3265,92000,34.0
3303,93000,30.0
3343,94000,31.0
3385,95000,34.0
3423,96000,31.0
3467,97000,31.0
3506,98000,31.0
3545,99000,27.0
3584,100000,27.0
