episodes,steps,total reward
19,1000,0.0
29,2000,0.0
32,3000,0.0
39,4000,0.0
41,5000,0.0
53,6000,0.0
60,7000,1.0
65,8000,1.0
67,9000,1.0
76,10000,3.0
83,11000,1.0
91,12000,2.0
101,13000,5.0
116,14000,8.0
138,15000,16.0
163,16000,17.0
192,17000,20.0
221,18000,19.0
247,19000,19.0
276,20000,18.0
303,21000,18.0
330,22000,20.0
356,23000,20.0
386,24000,19.0
412,25000,20.0
441,26000,19.0
470,27000,17.0
498,28000,20.0
529,29000,17.0
559,30000,17.0
589,31000,17.0
621,32000,17.0
651,33000,19.0
679,34000,21.0
706,35000,18.0
734,36000,19.0
761,37000,21.0
787,38000,20.0
820,39000,18.0
849,40000,22.0
879,41000,19.0
907,42000,22.0
938,43000,20.0
969,44000,20.0
998,45000,18.0
1027,46000,21.0
1056,47000,18.0
1081,48000,19.0
1108,49000,20.0
1134,50000,22.0
1162,51000,19.0
1189,52000,20.0
1219,53000,17.0
1248,54000,18.0
1274,55000,21.0
1302,56000,18.0
1331,57000,18.0
1361,58000,17.0
1387,59000,18.0
1416,60000,19.0
1447,61000,18.0
1474,62000,19.0
1501,63000,19.0
1529,64000,15.0
1559,65000,21.0
1587,66000,21.0
1617,67000,21.0
1644,68000,18.0
1673,69000,22.0
1699,70000,19.0
1728,71000,19.0
1755,72000,20.0
1782,73000,17.0
1808,74000,20.0
1839,75000,17.0
1868,76000,19.0
1900,77000,16.0
1929,78000,20.0
1955,79000,21.0
1985,80000,16.0
2016,81000,19.0
2051,82000,16.0
2080,83000,20.0
2112,84000,18.0
2142,85000,18.0
2170,86000,20.0
2202,87000,17.0
2230,88000,21.0
2261,89000,18.0
2291,90000,17.0
2320,91000,17.0
2348,92000,17.0
2376,93000,20.0
2405,94000,17.0
2429,95000,21.0
2460,96000,20.0
2489,97000,19.0
2519,98000,18.0
2549,99000,19.0
2576,100000,19.0
