# {"t_start": 1641641894.0144708, "env_id": "Office-single-v0"} 
r,l,t
0.0,16,0.003013
0.0,26,0.007594
0.0,8,0.009043
0.0,65,0.020399
0.0,35,0.025864
0.0,19,0.028828
0.0,26,0.03289
0.0,16,0.035389
0.0,34,0.040661
0.0,35,0.046137
0.0,27,0.05034
0.0,94,0.06422
0.0,145,0.086811
0.0,78,0.098883
0.0,2,0.099238
0.0,28,0.103557
0.0,8,0.104819
0.0,28,0.10929
0.0,37,0.114914
0.0,144,0.136789
0.0,134,0.157711
0.0,32,0.162695
0.0,59,0.172221
0.0,73,0.183521
0.0,44,0.19094
0.0,70,0.201813
0.0,69,0.212658
0.0,20,0.215775
0.0,23,0.219303
0.0,24,0.222962
0.0,149,0.245317
0.0,26,0.249314
0.0,19,0.252242
0.0,2,0.252582
0.0,37,0.258281
0.0,20,0.261337
0.0,27,0.265504
0.0,68,0.275833
0.0,14,0.277997
0.0,91,0.292081
0.0,75,0.303599
0.0,80,0.316129
0.0,74,0.328128
0.0,39,0.333999
0.0,195,0.364481
0.0,42,0.370905
0.0,49,0.378528
0.0,122,0.39728
0.0,66,0.407265
0.0,332,0.458239
0.0,95,0.473019
0.0,46,0.480101
0.0,89,0.494011
0.0,22,0.497546
0.0,1000,0.652043
0.0,40,0.658591
0.0,152,0.682449
0.0,246,0.720235
0.0,23,0.723777
0.0,13,0.725785
0.0,4,0.726394
0.0,36,0.731924
0.0,43,0.738534
0.0,112,0.75579
0.0,153,0.779568
0.0,679,0.884623
0.0,126,0.90388
0.0,64,0.913737
0.0,473,0.987225
0.0,79,0.999406
0.0,35,1.004755
0.0,106,1.020886
0.0,405,1.083068
0.0,6,1.084019
0.0,20,1.087291
1.0,285,1.131659
0.0,188,1.160483
0.0,11,1.162198
0.0,134,1.182697
0.0,6,1.183666
0.0,10,1.185199
0.0,479,1.259333
0.0,82,1.272681
0.0,413,1.336413
0.0,18,1.339362
0.0,175,1.365896
0.0,103,1.381783
0.0,109,1.398791
0.0,92,1.412722
0.0,26,1.416854
0.0,15,1.419157
0.0,120,1.437963
1.0,159,1.462427
0.0,150,1.485432
0.0,9,1.486831
0.0,6,1.487764
0.0,15,1.490065
1.0,284,1.533832
0.0,257,1.574062
0.0,17,1.576859
1.0,332,1.628235
0.0,8,1.629484
0.0,395,1.69034
0.0,96,1.705259
0.0,4,1.705899
0.0,113,1.723373
0.0,96,1.738667
0.0,32,1.743639
0.0,188,1.772895
0.0,9,1.774325
1.0,115,1.792034
1.0,125,1.81136
1.0,182,1.839659
1.0,47,1.846904
0.0,46,1.854076
0.0,15,1.85664
1.0,174,1.884017
0.0,44,1.890851
0.0,103,1.907082
1.0,51,1.914962
0.0,46,1.922063
0.0,50,1.929729
1.0,53,1.937933
1.0,105,1.95402
1.0,51,1.961984
0.0,17,1.964618
0.0,13,1.966636
1.0,66,1.976875
1.0,194,2.006768
1.0,49,2.014305
0.0,6,2.015373
1.0,142,2.037711
1.0,142,2.059839
1.0,46,2.066984
0.0,19,2.069912
0.0,7,2.071001
1.0,56,2.079617
1.0,133,2.09988
1.0,55,2.108347
0.0,22,2.111783
1.0,76,2.123406
1.0,51,2.131197
1.0,48,2.138728
0.0,15,2.141022
1.0,91,2.154938
0.0,34,2.160214
1.0,117,2.178481
1.0,58,2.187641
0.0,9,2.189043
0.0,90,2.203333
0.0,31,2.2081
1.0,38,2.214227
1.0,53,2.222457
0.0,139,2.243793
1.0,42,2.250338
0.0,22,2.253732
1.0,48,2.261113
1.0,44,2.267949
1.0,40,2.274097
1.0,57,2.28285
1.0,50,2.290561
0.0,9,2.29214
0.0,13,2.294151
1.0,56,2.302758
0.0,9,2.304161
1.0,42,2.310633
0.0,32,2.315566
1.0,43,2.322231
1.0,74,2.333933
1.0,48,2.341398
0.0,35,2.34677
1.0,39,2.353115
1.0,38,2.359198
1.0,74,2.370624
0.0,32,2.37581
0.0,6,2.376745
1.0,41,2.38306
1.0,38,2.389019
1.0,42,2.395535
1.0,50,2.403308
1.0,43,2.410256
1.0,43,2.416908
1.0,40,2.42314
0.0,21,2.426419
1.0,44,2.433237
1.0,44,2.440086
1.0,43,2.446744
1.0,41,2.453113
1.0,41,2.459489
1.0,44,2.466263
1.0,41,2.472585
1.0,139,2.494116
1.0,38,2.500281
1.0,42,2.506779
1.0,38,2.512889
0.0,33,2.518187
1.0,40,2.524455
0.0,11,2.526142
0.0,15,2.52844
0.0,9,2.529838
1.0,40,2.536131
1.0,43,2.542773
1.0,43,2.549442
1.0,42,2.55589
1.0,43,2.562528
1.0,38,2.568406
1.0,42,2.574852
1.0,45,2.581829
1.0,43,2.588499
1.0,40,2.594666
0.0,4,2.59529
0.0,16,2.597705
1.0,42,2.604181
1.0,40,2.610309
