# {"t_start": 1641648861.965804, "env_id": "Office-v0"} 
r,l,t
0.0,35,0.018449
0.0,29,0.030924
0.0,18,0.038463
0.0,23,0.048258
0.0,45,0.06682
0.0,11,0.071391
0.0,29,0.083204
0.0,16,0.089826
0.0,128,0.144217
0.0,16,0.150954
0.0,20,0.15947
0.0,6,0.162032
1.0,129,0.217336
0.0,17,0.224668
0.0,92,0.263908
0.0,18,0.271566
0.0,43,0.290094
0.0,39,0.306731
0.0,172,0.379073
0.0,23,0.38884
0.0,98,0.430616
0.0,14,0.436667
0.0,57,0.461534
0.0,20,0.470261
0.0,77,0.502994
0.0,41,0.520401
0.0,108,0.566087
0.0,56,0.589683
0.0,65,0.617528
0.0,82,0.651835
0.0,10,0.656161
0.0,5,0.65842
0.0,19,0.66637
0.0,181,0.744072
0.0,74,0.775676
0.0,80,0.810125
0.0,5,0.812328
0.0,106,0.858093
0.0,78,0.891874
0.0,42,0.909769
0.0,102,0.952924
0.0,31,0.966025
0.0,202,1.051311
0.0,104,1.094814
0.0,223,1.18917
0.0,419,1.370749
0.0,140,1.430703
0.0,544,1.660504
0.0,167,1.733574
0.0,37,1.749838
0.0,126,1.804064
0.0,88,1.842035
0.0,186,1.92136
0.0,340,2.066095
0.0,36,2.081667
0.0,16,2.088538
0.0,238,2.191519
0.0,129,2.246167
0.0,10,2.250545
0.0,187,2.33028
0.0,4,2.332057
0.0,24,2.34231
0.0,34,2.356821
0.0,8,2.360418
0.0,17,2.367737
0.0,25,2.378677
0.0,31,2.392311
0.0,10,2.396553
0.0,112,2.445135
0.0,5,2.447323
0.0,24,2.457653
0.0,89,2.495018
0.0,50,2.516457
0.0,207,2.605701
0.0,78,2.639223
0.0,62,2.665885
0.0,9,2.669808
0.0,184,2.748702
0.0,42,2.766548
0.0,342,2.913069
1.0,22,2.922557
0.0,49,2.94363
0.0,55,2.96714
0.0,58,2.991623
1.0,89,3.030879
0.0,102,3.074773
0.0,76,3.107229
0.0,32,3.121053
1.0,39,3.137787
0.0,95,3.178463
0.0,147,3.241766
0.0,11,3.246541
1.0,53,3.269201
1.0,126,3.323721
0.0,72,3.354763
0.0,71,3.385194
1.0,33,3.399285
0.0,19,3.407469
0.0,34,3.422177
0.0,127,3.478175
1.0,23,3.488018
0.0,36,3.503567
1.0,143,3.564505
1.0,428,3.747569
0.0,10,3.751883
0.0,105,3.796408
0.0,78,3.830572
0.0,145,3.893961
1.0,53,3.91681
1.0,180,3.993582
1.0,177,4.069044
0.0,86,4.106295
1.0,14,4.112374
1.0,175,4.186859
0.0,2,4.187739
0.0,34,4.202835
1.0,11,4.207634
1.0,288,4.33475
1.0,184,4.414494
1.0,49,4.435958
1.0,11,4.440854
1.0,104,4.486015
1.0,179,4.563922
1.0,62,4.591156
1.0,11,4.595873
1.0,73,4.627179
0.0,15,4.633669
0.0,46,4.653685
0.0,4,4.655428
0.0,18,4.663209
0.0,25,4.673818
0.0,205,4.76416
1.0,18,4.771993
1.0,104,4.81799
0.0,9,4.822178
1.0,38,4.838735
1.0,12,4.843985
0.0,18,4.851859
0.0,28,4.864051
1.0,258,4.976857
1.0,12,4.982038
1.0,68,5.011497
0.0,116,5.061915
1.0,242,5.167262
0.0,10,5.171736
0.0,22,5.181557
0.0,30,5.195011
1.0,64,5.223603
1.0,13,5.229342
0.0,10,5.233791
0.0,26,5.244975
1.0,79,5.279235
1.0,11,5.284027
1.0,78,5.31862
0.0,53,5.342022
0.0,70,5.372746
1.0,11,5.377525
0.0,38,5.394217
0.0,85,5.431623
0.0,51,5.453891
1.0,12,5.45909
1.0,159,5.528256
1.0,127,5.58268
1.0,48,5.603719
1.0,11,5.60849
1.0,41,5.626944
0.0,83,5.66351
1.0,48,5.684251
1.0,12,5.689555
0.0,41,5.707684
0.0,35,5.723031
0.0,8,5.726567
1.0,11,5.731336
1.0,85,5.768367
1.0,90,5.808063
0.0,183,5.888433
1.0,13,5.894115
1.0,63,5.921529
1.0,127,5.976744
0.0,31,5.990258
1.0,12,5.99544
1.0,36,6.011104
0.0,39,6.028291
1.0,45,6.04841
1.0,11,6.05344
1.0,68,6.083322
1.0,67,6.112596
1.0,45,6.132108
1.0,11,6.136888
0.0,6,6.139496
0.0,75,6.172202
1.0,43,6.190933
0.0,7,6.193954
0.0,24,6.204742
1.0,130,6.261304
1.0,51,6.283447
1.0,13,6.289108
1.0,54,6.312909
0.0,7,6.315986
0.0,11,6.321024
0.0,2,6.321903
1.0,108,6.368925
1.0,62,6.395766
1.0,55,6.41984
1.0,12,6.425041
0.0,38,6.441528
0.0,16,6.448656
1.0,43,6.467236
1.0,11,6.472015
1.0,63,6.500158
1.0,48,6.521422
0.0,6,6.524205
1.0,11,6.529093
1.0,41,6.546858
1.0,51,6.56905
1.0,47,6.589445
0.0,11,6.594186
1.0,39,6.611195
0.0,10,6.615557
1.0,44,6.634928
1.0,11,6.639758
1.0,27,6.651504
1.0,67,6.680705
1.0,47,6.70136
1.0,11,6.706185
1.0,62,6.733418
1.0,61,6.760036
1.0,43,6.77868
1.0,11,6.783445
0.0,19,6.79176
1.0,117,6.843334
0.0,6,6.845917
0.0,6,6.848491
1.0,101,6.89223
1.0,78,6.926749
1.0,44,6.946251
1.0,11,6.950988
0.0,13,6.956772
0.0,13,6.962443
1.0,41,6.980313
0.0,7,6.983415
1.0,50,7.005018
0.0,145,7.068295
1.0,42,7.086521
1.0,14,7.092578
1.0,30,7.105451
0.0,33,7.119697
0.0,21,7.12892
1.0,12,7.134036
1.0,29,7.146575
1.0,82,7.181735
1.0,40,7.19923
1.0,11,7.203952
1.0,50,7.226094
1.0,57,7.250757
1.0,42,7.268993
1.0,11,7.273696
1.0,29,7.286205
0.0,4,7.287945
0.0,12,7.293136
1.0,15,7.299594
0.0,81,7.335178
1.0,34,7.349833
1.0,40,7.367553
1.0,13,7.373485
0.0,37,7.390224
1.0,50,7.411902
1.0,41,7.429778
1.0,12,7.434882
1.0,84,7.470908
1.0,37,7.486852
1.0,42,7.505376
1.0,13,7.510921
0.0,8,7.514397
1.0,32,7.528192
1.0,43,7.546918
1.0,11,7.551505
0.0,21,7.560273
0.0,53,7.582582
1.0,48,7.60271
1.0,13,7.608181
1.0,23,7.617847
1.0,57,7.641685
1.0,42,7.659423
0.0,8,7.662806
1.0,26,7.673699
0.0,66,7.701981
0.0,13,7.707491
1.0,11,7.712077
1.0,34,7.726655
1.0,39,7.743104
1.0,41,7.760319
1.0,13,7.765708
1.0,29,7.778164
1.0,52,7.800385
0.0,2,7.801224
1.0,13,7.808543
1.0,26,7.819844
1.0,30,7.832567
1.0,40,7.849568
1.0,13,7.854986
1.0,26,7.865805
0.0,30,7.878441
0.0,6,7.881106
1.0,13,7.886493
1.0,25,7.897031
1.0,34,7.911315
1.0,41,7.928742
1.0,13,7.934211
1.0,27,7.945517
1.0,35,7.960355
1.0,40,7.977532
1.0,16,7.984182
1.0,29,7.996334
1.0,55,8.019542
1.0,40,8.036505
1.0,12,8.041574
0.0,6,8.044131
1.0,23,8.053756
0.0,37,8.069314
1.0,12,8.074443
1.0,25,8.084988
1.0,32,8.098392
1.0,44,8.116973
1.0,12,8.12203
1.0,23,8.131817
1.0,35,8.146565
1.0,38,8.162596
1.0,15,8.168824
1.0,23,8.178535
1.0,48,8.199283
0.0,17,8.206644
0.0,2,8.207477
1.0,23,8.217474
1.0,34,8.232682
0.0,30,8.245521
1.0,13,8.251012
0.0,14,8.256909
1.0,36,8.2721
1.0,44,8.29068
1.0,11,8.295289
1.0,23,8.305445
0.0,8,8.308845
1.0,40,8.326162
1.0,12,8.331132
1.0,31,8.344226
0.0,13,8.349705
1.0,41,8.366979
1.0,11,8.371615
1.0,25,8.382098
1.0,34,8.396448
1.0,45,8.41559
1.0,11,8.420266
1.0,23,8.429932
0.0,18,8.437642
1.0,44,8.456307
0.0,9,8.460122
1.0,30,8.472554
0.0,26,8.484148
1.0,41,8.501614
1.0,11,8.506214
1.0,34,8.520444
0.0,18,8.528206
0.0,20,8.536635
1.0,11,8.541255
1.0,26,8.552211
1.0,33,8.566562
1.0,38,8.582663
1.0,13,8.588097
0.0,21,8.596894
1.0,33,8.610869
0.0,38,8.627201
0.0,11,8.631768
1.0,28,8.643632
1.0,32,8.658378
0.0,35,8.673476
1.0,11,8.67819
1.0,23,8.687883
1.0,40,8.705123
0.0,6,8.707658
1.0,11,8.712423
1.0,106,8.757617
1.0,39,8.774028
1.0,47,8.794016
1.0,13,8.799541
1.0,26,8.810672
0.0,36,8.826102
1.0,42,8.843835
1.0,12,8.848906
1.0,28,8.860703
0.0,19,8.868947
0.0,4,8.870643
0.0,9,8.874383
1.0,27,8.885675
0.0,19,8.893439
0.0,20,8.902014
0.0,10,8.90622
1.0,109,8.952017
1.0,31,8.96499
1.0,42,8.98277
1.0,11,8.987411
0.0,19,8.99532
1.0,38,9.011286
0.0,6,9.013804
1.0,11,9.018508
1.0,23,9.028162
1.0,30,9.040985
1.0,47,9.06107
1.0,11,9.065918
1.0,26,9.076831
0.0,23,9.087351
1.0,45,9.106612
1.0,11,9.111238
0.0,8,9.11461
1.0,38,9.130578
0.0,36,9.145724
1.0,11,9.150375
1.0,25,9.160937
1.0,40,9.177928
1.0,40,9.194855
0.0,6,9.197689
1.0,25,9.20825
0.0,27,9.220172
1.0,44,9.238988
1.0,13,9.244434
1.0,25,9.254953
1.0,30,9.267539
0.0,59,9.292572
1.0,11,9.297168
1.0,25,9.307932
1.0,34,9.322595
1.0,45,9.341737
1.0,13,9.347131
1.0,25,9.3577
1.0,42,9.375282
1.0,42,9.393064
1.0,13,9.398569
1.0,23,9.408111
0.0,19,9.416133
0.0,33,9.430027
1.0,11,9.434714
1.0,25,9.445331
0.0,25,9.455814
1.0,49,9.476566
0.0,4,9.478247
0.0,12,9.483273
0.0,4,9.484987
0.0,8,9.488577
1.0,11,9.493277
1.0,33,9.509067
0.0,30,9.521792
0.0,27,9.533496
1.0,15,9.539767
1.0,27,9.551171
1.0,33,9.564969
0.0,8,9.568355
0.0,2,9.569173
1.0,25,9.579708
1.0,40,9.596515
1.0,48,9.616757
1.0,11,9.621455
0.0,11,9.626134
1.0,32,9.639591
1.0,42,9.657317
0.0,2,9.658235
1.0,23,9.667833
1.0,34,9.682161
1.0,45,9.701503
1.0,11,9.706129
0.0,14,9.712029
1.0,23,9.721911
0.0,4,9.723584
1.0,11,9.728187
0.0,6,9.730717
0.0,60,9.755932
0.0,8,9.759293
0.0,6,9.762008
1.0,24,9.772192
1.0,34,9.786529
1.0,44,9.805275
1.0,11,9.810027
0.0,6,9.812558
1.0,36,9.827849
0.0,35,9.842567
1.0,13,9.848047
0.0,19,9.856034
0.0,19,9.864033
1.0,38,9.880097
0.0,4,9.881789
0.0,4,9.883482
0.0,22,9.892753
0.0,37,9.908474
1.0,12,9.913537
0.0,14,9.919596
1.0,33,9.934293
0.0,37,9.950133
1.0,11,9.954738
1.0,23,9.964482
1.0,33,9.978362
0.0,10,9.982545
1.0,12,9.987592
1.0,26,9.998449
0.0,8,10.001803
1.0,39,10.018305
1.0,12,10.023301
1.0,25,10.033848
0.0,8,10.037294
1.0,46,10.056678
0.0,2,10.057558
1.0,24,10.067636
1.0,34,10.081967
1.0,43,10.100123
1.0,12,10.105166
1.0,25,10.115804
0.0,4,10.117489
1.0,48,10.137863
1.0,11,10.142492
1.0,27,10.153949
1.0,31,10.166988
0.0,25,10.177467
1.0,11,10.182049
0.0,12,10.187181
1.0,37,10.2029
1.0,41,10.220432
1.0,11,10.225085
0.0,14,10.230922
1.0,34,10.245294
0.0,31,10.258349
1.0,13,10.263834
1.0,27,10.275201
1.0,37,10.290643
1.0,48,10.311286
1.0,11,10.315933
0.0,26,10.327353
0.0,4,10.329061
1.0,41,10.346604
0.0,7,10.349531
1.0,23,10.360132
0.0,31,10.373274
1.0,46,10.392655
1.0,11,10.397382
1.0,25,10.407974
0.0,16,10.414665
1.0,42,10.432505
1.0,13,10.437967
1.0,25,10.448543
1.0,42,10.466188
1.0,47,10.485996
1.0,13,10.491502
1.0,23,10.50133
1.0,33,10.515208
1.0,41,10.532654
1.0,11,10.537254
1.0,23,10.547145
1.0,32,10.560663
0.0,8,10.564018
0.0,2,10.564868
1.0,27,10.576351
0.0,20,10.584749
0.0,17,10.591869
1.0,11,10.596518
1.0,25,10.607086
0.0,15,10.613366
1.0,47,10.633207
0.0,6,10.635708
1.0,31,10.64858
1.0,32,10.662006
0.0,9,10.665807
1.0,13,10.671221
1.0,24,10.681417
1.0,36,10.696474
0.0,42,10.714732
1.0,14,10.720639
1.0,23,10.730383
0.0,16,10.737178
1.0,40,10.754313
1.0,11,10.758949
1.0,27,10.770575
1.0,34,10.785608
1.0,51,10.8074
0.0,8,10.810779
0.0,9,10.814598
0.0,17,10.822032
1.0,48,10.842202
1.0,13,10.847618
1.0,25,10.858148
0.0,17,10.865366
1.0,39,10.881885
1.0,11,10.886511
1.0,23,10.896178
0.0,4,10.897843
1.0,47,10.917662
1.0,11,10.922309
1.0,23,10.932121
1.0,37,10.947782
1.0,41,10.965384
1.0,11,10.969958
1.0,29,10.982284
0.0,17,10.989498
0.0,13,10.995076
1.0,11,10.999669
0.0,12,11.004797
1.0,34,11.019115
1.0,40,11.035972
1.0,13,11.04138
1.0,24,11.051302
0.0,18,11.058892
0.0,6,11.061412
1.0,11,11.06614
1.0,24,11.076264
0.0,28,11.088016
1.0,40,11.104991
1.0,11,11.109611
1.0,23,11.119258
1.0,32,11.132794
1.0,41,11.150072
1.0,14,11.155956
1.0,23,11.165657
1.0,40,11.182834
1.0,42,11.201822
1.0,11,11.206933
1.0,23,11.21839
1.0,33,11.232405
0.0,19,11.24046
1.0,12,11.245518
0.0,4,11.247187
1.0,32,11.260596
1.0,45,11.279679
0.0,4,11.281366
1.0,29,11.293552
1.0,34,11.308188
0.0,30,11.321224
0.0,2,11.322079
0.0,10,11.326312
0.0,17,11.333527
0.0,6,11.33604
1.0,11,11.340623
1.0,24,11.35066
1.0,30,11.363376
0.0,21,11.372854
1.0,13,11.378249
0.0,19,11.386258
1.0,38,11.402261
0.0,14,11.408087
1.0,11,11.412738
0.0,10,11.416997
1.0,46,11.43627
1.0,49,11.456852
1.0,11,11.461651
1.0,25,11.472368
0.0,26,11.483543
1.0,42,11.501294
1.0,11,11.505894
1.0,25,11.516449
1.0,35,11.531117
1.0,42,11.548725
1.0,11,11.55331
1.0,40,11.570415
1.0,41,11.587528
1.0,38,11.603652
1.0,13,11.609051
1.0,23,11.619052
1.0,41,11.637011
1.0,42,11.654942
1.0,11,11.659581
0.0,18,11.667278
1.0,30,11.679932
1.0,43,11.698399
1.0,11,11.703064
1.0,27,11.714655
1.0,32,11.728106
1.0,38,11.744166
1.0,11,11.748759
1.0,25,11.759172
1.0,38,11.775069
1.0,44,11.793642
0.0,6,11.796153
1.0,26,11.807439
1.0,34,11.822054
1.0,46,11.841344
1.0,11,11.846021
0.0,18,11.85367
1.0,41,11.870724
1.0,42,11.888463
1.0,13,11.893918
1.0,34,11.908047
1.0,32,11.921503
1.0,42,11.939379
1.0,16,11.946099
0.0,14,11.951959
0.0,36,11.967083
1.0,42,11.984728
1.0,14,11.990584
1.0,27,12.002043
1.0,32,12.015488
0.0,13,12.020976
1.0,12,12.026182
0.0,14,12.032057
1.0,36,12.047485
0.0,8,12.051459
1.0,13,12.05718
1.0,27,12.06869
1.0,33,12.082607
0.0,9,12.086416
1.0,11,12.091018
1.0,28,12.102671
1.0,33,12.116648
1.0,42,12.134364
1.0,14,12.140089
1.0,24,12.150135
1.0,30,12.162823
1.0,38,12.178807
1.0,12,12.184025
0.0,6,12.186588
0.0,34,12.201246
1.0,45,12.22053
1.0,11,12.225168
1.0,30,12.237919
1.0,30,12.250573
0.0,8,12.253926
1.0,13,12.259438
1.0,27,12.270723
1.0,34,12.285031
0.0,16,12.291793
1.0,16,12.298554
1.0,29,12.311097
0.0,8,12.314559
1.0,45,12.333864
1.0,11,12.338489
1.0,26,12.349464
0.0,6,12.351978
1.0,42,12.370054
1.0,11,12.374718
1.0,39,12.391327
1.0,32,12.404771
1.0,42,12.422475
1.0,14,12.428328
1.0,25,12.438797
1.0,29,12.451174
1.0,49,12.472358
1.0,15,12.479796
1.0,24,12.490175
1.0,32,12.50379
0.0,12,12.508831
1.0,17,12.515987
0.0,18,12.523606
1.0,37,12.539289
0.0,30,12.552006
0.0,6,12.554536
0.0,6,12.557089
0.0,15,12.563393
0.0,32,12.577069
1.0,12,12.582089
1.0,23,12.59198
1.0,33,12.606038
0.0,25,12.616599
1.0,15,12.622877
1.0,23,12.632465
1.0,35,12.647187
0.0,39,12.663707
1.0,11,12.668378
1.0,27,12.679883
0.0,8,12.683329
0.0,6,12.685894
1.0,12,12.690824
1.0,26,12.702073
1.0,45,12.721638
1.0,41,12.739011
1.0,16,12.745592
1.0,25,12.756056
1.0,37,12.771739
1.0,40,12.78855
1.0,12,12.793655
1.0,25,12.804252
1.0,29,12.816825
0.0,13,12.822537
1.0,11,12.827088
1.0,25,12.837614
1.0,33,12.851566
0.0,34,12.865871
1.0,12,12.871021
1.0,23,12.880815
1.0,36,12.896222
0.0,6,12.898862
1.0,11,12.904138
1.0,25,12.914991
1.0,37,12.930646
1.0,44,12.949229
1.0,13,12.954674
0.0,21,12.963506
1.0,30,12.976178
1.0,41,12.993597
1.0,11,12.99822
1.0,23,13.008032
1.0,31,13.021169
0.0,33,13.035146
0.0,7,13.038117
1.0,23,13.047745
1.0,30,13.060588
1.0,42,13.078406
1.0,15,13.084717
0.0,4,13.086385
1.0,29,13.098562
1.0,41,13.11588
1.0,11,13.120572
0.0,23,13.130185
1.0,33,13.144298
1.0,41,13.161658
1.0,13,13.167076
1.0,25,13.177638
1.0,30,13.190282
1.0,46,13.210033
1.0,11,13.214942
0.0,8,13.218316
0.0,26,13.229439
0.0,22,13.23865
1.0,15,13.244843
1.0,23,13.254635
1.0,39,13.271001
0.0,6,13.273598
1.0,15,13.279868
1.0,24,13.290143
0.0,23,13.300085
1.0,43,13.319019
1.0,13,13.325192
1.0,28,13.33772
1.0,48,13.358042
0.0,23,13.367892
1.0,11,13.372713
1.0,57,13.396717
1.0,35,13.411413
1.0,38,13.42763
1.0,11,13.432223
1.0,25,13.442759
1.0,31,13.455896
1.0,39,13.472502
1.0,11,13.477234
1.0,24,13.487328
0.0,22,13.49658
1.0,38,13.512978
1.0,11,13.517565
1.0,29,13.529706
1.0,33,13.543834
1.0,42,13.561619
1.0,11,13.566267
1.0,23,13.5759
0.0,4,13.577651
0.0,32,13.591305
1.0,13,13.596793
1.0,28,13.608746
1.0,31,13.621763
1.0,43,13.640125
1.0,11,13.644755
1.0,26,13.655746
0.0,6,13.658321
1.0,45,13.677195
1.0,11,13.681797
0.0,8,13.68515
0.0,12,13.690233
0.0,4,13.691916
1.0,12,13.696928
1.0,23,13.707074
1.0,34,13.721739
1.0,44,13.740792
1.0,11,13.745383
1.0,27,13.757518
1.0,33,13.771576
1.0,42,13.789483
1.0,11,13.794066
1.0,25,13.804758
1.0,33,13.818812
1.0,42,13.836825
1.0,12,13.841897
1.0,25,13.852602
0.0,11,13.857203
1.0,46,13.876636
1.0,13,13.882024
1.0,29,13.894275
1.0,33,13.908298
0.0,32,13.921909
1.0,13,13.927535
0.0,14,13.93356
1.0,30,13.9463
1.0,42,13.964223
1.0,12,13.969522
1.0,23,13.979299
1.0,31,13.992441
1.0,42,14.010427
0.0,10,14.014625
1.0,25,14.025123
1.0,34,14.039465
1.0,42,14.057338
1.0,11,14.061964
1.0,29,14.074311
0.0,7,14.077316
1.0,43,14.095577
1.0,12,14.100668
1.0,27,14.112108
0.0,18,14.119721
1.0,50,14.140886
1.0,13,14.146334
1.0,25,14.157168
1.0,37,14.173094
0.0,32,14.18758
1.0,11,14.192246
1.0,25,14.203202
0.0,11,14.207823
1.0,45,14.226917
1.0,13,14.232726
0.0,19,14.24075
1.0,30,14.253351
0.0,9,14.257181
1.0,11,14.261815
1.0,24,14.272054
1.0,33,14.28589
1.0,42,14.303676
1.0,11,14.308633
1.0,27,14.320159
1.0,29,14.332583
1.0,43,14.351053
1.0,11,14.355666
0.0,8,14.359013
0.0,21,14.367821
1.0,41,14.385344
1.0,11,14.389944
1.0,29,14.4021
1.0,29,14.414348
1.0,40,14.431362
1.0,16,14.438075
1.0,27,14.449513
1.0,33,14.46351
1.0,45,14.482474
0.0,6,14.485046
1.0,25,14.495701
1.0,29,14.507862
1.0,43,14.526167
1.0,13,14.531644
1.0,28,14.543534
1.0,42,14.561193
1.0,38,14.577866
1.0,11,14.5825
1.0,27,14.593892
1.0,33,14.609053
0.0,21,14.618264
1.0,11,14.622864
1.0,26,14.633918
0.0,9,14.637817
0.0,11,14.642459
1.0,13,14.647867
1.0,28,14.659784
1.0,34,14.674131
1.0,42,14.692044
1.0,13,14.697482
1.0,27,14.709102
0.0,7,14.71207
1.0,43,14.730556
1.0,13,14.735942
1.0,23,14.745658
1.0,31,14.758897
1.0,40,14.775804
0.0,4,14.77751
0.0,18,14.785187
1.0,32,14.798706
1.0,44,14.817695
1.0,12,14.823045
1.0,27,14.834323
1.0,30,14.847027
1.0,39,14.863662
1.0,13,14.86911
1.0,25,14.879646
0.0,9,14.883471
1.0,45,14.902617
1.0,16,14.909297
1.0,28,14.921209
0.0,25,14.931734
0.0,11,14.936418
1.0,12,14.941494
1.0,25,14.952106
1.0,35,14.966884
0.0,32,14.980472
1.0,11,14.985127
1.0,25,14.995764
0.0,22,15.00537
1.0,42,15.02348
1.0,11,15.028183
1.0,25,15.039689
0.0,17,15.047089
0.0,38,15.063302
0.0,11,15.067937
1.0,23,15.077739
1.0,31,15.090877
0.0,32,15.104469
1.0,11,15.109146
1.0,25,15.119807
1.0,34,15.134074
0.0,6,15.136594
1.0,12,15.141616
1.0,25,15.152239
