episodes,steps,total reward
19,1000,0.0
29,2000,0.0
36,3000,0.0
40,4000,0.0
49,5000,0.0
59,6000,0.0
67,7000,0.0
71,8000,0.0
74,9000,0.0
76,10000,1.0
87,11000,0.0
93,12000,0.0
98,13000,1.0
106,14000,1.0
115,15000,2.0
121,16000,4.0
137,17000,4.0
155,18000,9.0
172,19000,11.0
190,20000,10.0
209,21000,9.0
224,22000,11.0
242,23000,8.0
261,24000,9.0
286,25000,7.0
302,26000,11.0
320,27000,8.0
339,28000,9.0
356,29000,11.0
377,30000,9.0
393,31000,10.0
410,32000,12.0
433,33000,10.0
454,34000,7.0
473,35000,10.0
489,36000,11.0
507,37000,10.0
530,38000,10.0
547,39000,11.0
563,40000,11.0
585,41000,9.0
604,42000,11.0
626,43000,6.0
644,44000,9.0
662,45000,11.0
682,46000,8.0
694,47000,7.0
715,48000,9.0
730,49000,10.0
749,50000,9.0
767,51000,9.0
787,52000,9.0
807,53000,8.0
826,54000,11.0
849,55000,11.0
864,56000,10.0
883,57000,10.0
905,58000,9.0
924,59000,8.0
942,60000,8.0
963,61000,7.0
979,62000,11.0
996,63000,11.0
1015,64000,10.0
1035,65000,11.0
1054,66000,9.0
1070,67000,11.0
1092,68000,9.0
1116,69000,8.0
1133,70000,10.0
1149,71000,12.0
1167,72000,10.0
1190,73000,9.0
1206,74000,9.0
1225,75000,10.0
1243,76000,11.0
1260,77000,11.0
1282,78000,6.0
1299,79000,10.0
1320,80000,8.0
1336,81000,12.0
1355,82000,8.0
1375,83000,10.0
1393,84000,9.0
1413,85000,9.0
1430,86000,11.0
1448,87000,11.0
1467,88000,11.0
1485,89000,8.0
1504,90000,12.0
1523,91000,10.0
1543,92000,12.0
1563,93000,7.0
1581,94000,8.0
1600,95000,10.0
1616,96000,12.0
1635,97000,9.0
1655,98000,8.0
1675,99000,9.0
1691,100000,11.0
