# {"t_start": 1640871772.5330882, "env_id": "Office-single-v0"} 
r,l,t
0.0,29,0.004874
0.0,42,0.011467
0.0,29,0.015689
0.0,8,0.01688
0.0,18,0.019403
0.0,60,0.030624
0.0,10,0.032106
0.0,32,0.036882
0.0,20,0.039753
0.0,30,0.044017
0.0,41,0.049795
0.0,37,0.055112
0.0,13,0.056993
0.0,32,0.061547
0.0,98,0.075542
0.0,46,0.081733
0.0,13,0.083626
0.0,127,0.101675
0.0,47,0.108413
0.0,26,0.112318
0.0,33,0.11704
0.0,86,0.129933
0.0,81,0.141765
0.0,23,0.145117
0.0,102,0.160052
0.0,120,0.177116
0.0,55,0.184999
0.0,114,0.200939
0.0,189,0.227571
0.0,94,0.240977
0.0,73,0.251295
0.0,184,0.277496
0.0,80,0.289084
0.0,164,0.312325
0.0,143,0.332659
0.0,200,0.360999
0.0,69,0.370939
0.0,76,0.38173
1.0,188,0.408251
0.0,341,0.45581
0.0,75,0.468598
0.0,462,0.547308
0.0,9,0.548752
0.0,188,0.575819
0.0,20,0.578754
0.0,28,0.582763
0.0,18,0.585335
0.0,95,0.598839
0.0,123,0.615138
0.0,39,0.620717
0.0,29,0.624872
0.0,126,0.643159
0.0,12,0.644895
0.0,187,0.670794
0.0,142,0.690461
0.0,270,0.728828
0.0,20,0.73169
0.0,38,0.737108
0.0,15,0.739274
0.0,320,0.784132
0.0,754,0.890516
0.0,40,0.896268
0.0,228,0.927938
0.0,118,0.944244
0.0,87,0.956609
0.0,12,0.958408
0.0,125,0.975987
0.0,103,0.99065
0.0,126,1.008324
0.0,135,1.027365
0.0,138,1.047006
0.0,36,1.052147
0.0,58,1.060443
0.0,57,1.068487
0.0,21,1.071493
0.0,196,1.099014
0.0,202,1.128049
0.0,28,1.131994
0.0,14,1.134001
0.0,82,1.145872
0.0,72,1.156371
1.0,189,1.183202
0.0,49,1.189962
0.0,399,1.245687
0.0,130,1.26409
1.0,291,1.305835
0.0,45,1.312092
0.0,67,1.321705
0.0,201,1.349589
0.0,41,1.355276
0.0,15,1.357369
0.0,55,1.364912
1.0,62,1.37363
1.0,153,1.394713
0.0,12,1.396421
0.0,9,1.397774
0.0,9,1.399075
1.0,79,1.410247
0.0,121,1.427214
1.0,222,1.459214
0.0,9,1.460548
0.0,11,1.462134
1.0,66,1.471894
0.0,58,1.480205
1.0,162,1.502961
0.0,33,1.507579
0.0,76,1.518377
1.0,128,1.536335
1.0,102,1.550797
0.0,97,1.5645
1.0,103,1.57876
0.0,20,1.581559
1.0,178,1.606662
1.0,101,1.62091
0.0,105,1.6357
1.0,203,1.665122
0.0,51,1.672253
0.0,162,1.695056
0.0,13,1.696811
0.0,27,1.700756
0.0,51,1.707951
0.0,68,1.717634
0.0,17,1.719955
1.0,67,1.729623
0.0,98,1.743532
0.0,85,1.755464
1.0,137,1.775089
1.0,86,1.787506
1.0,109,1.802927
1.0,116,1.819271
1.0,100,1.833295
0.0,25,1.836888
0.0,92,1.84995
1.0,63,1.858783
0.0,76,1.869437
1.0,119,1.886177
1.0,66,1.895391
0.0,20,1.89827
1.0,92,1.9115
0.0,26,1.915216
0.0,33,1.919883
1.0,71,1.929785
1.0,130,1.948023
1.0,46,1.95461
1.0,77,1.965627
0.0,2,1.965957
0.0,35,1.970529
0.0,44,1.976759
1.0,52,1.984098
1.0,78,1.995194
0.0,56,2.003235
1.0,91,2.016034
0.0,4,2.016647
