# {"t_start": 1640869642.5408685, "env_id": "Office-v0"} 
r,l,t
0.0,46,0.014354
0.0,2,0.015028
0.0,53,0.031661
0.0,14,0.035959
0.0,35,0.046695
0.0,29,0.055504
0.0,20,0.061658
0.0,39,0.073851
0.0,31,0.083325
0.0,67,0.103649
0.0,27,0.112099
0.0,41,0.12475
0.0,35,0.135615
0.0,83,0.16113
0.0,116,0.196359
0.0,48,0.210761
0.0,35,0.221393
0.0,101,0.251741
0.0,23,0.258728
0.0,146,0.302148
0.0,40,0.314376
0.0,86,0.340062
0.0,133,0.380154
0.0,81,0.404241
1.0,100,0.434328
0.0,198,0.494004
0.0,53,0.510093
0.0,18,0.515691
0.0,159,0.563712
0.0,90,0.590491
0.0,206,0.652496
0.0,48,0.666672
0.0,6,0.668538
1.0,258,0.746274
0.0,428,0.875906
0.0,21,0.882351
0.0,16,0.887182
0.0,76,0.910737
0.0,249,0.986978
0.0,37,0.998605
0.0,322,1.097196
0.0,22,1.10384
0.0,565,1.277069
0.0,6,1.279049
0.0,6,1.280878
0.0,229,1.349406
0.0,146,1.394367
0.0,447,1.530571
0.0,210,1.59521
0.0,52,1.611086
0.0,18,1.61664
0.0,20,1.622858
0.0,52,1.638864
0.0,29,1.647898
0.0,104,1.679874
0.0,701,1.893153
1.0,134,1.934717
0.0,13,1.93865
0.0,12,1.942494
0.0,182,1.998681
1.0,42,2.011667
0.0,29,2.020679
0.0,414,2.146751
0.0,16,2.151786
1.0,42,2.164584
0.0,55,2.180975
0.0,25,2.188776
1.0,245,2.264331
1.0,32,2.274287
0.0,18,2.279845
0.0,40,2.292162
0.0,59,2.310227
1.0,27,2.318623
0.0,168,2.370008
0.0,59,2.387989
0.0,463,2.531193
0.0,67,2.552468
1.0,266,2.634069
0.0,25,2.641727
0.0,169,2.693475
1.0,27,2.701835
0.0,151,2.747944
0.0,43,2.761312
1.0,212,2.827314
1.0,52,2.843388
0.0,17,2.848761
0.0,99,2.879335
0.0,8,2.881898
0.0,28,2.890725
0.0,2,2.891366
0.0,37,2.902687
0.0,53,2.919268
1.0,36,2.930372
0.0,9,2.933187
1.0,139,2.975722
0.0,57,2.993479
1.0,13,2.997515
1.0,78,3.021728
0.0,50,3.037249
1.0,87,3.065321
0.0,4,3.066603
1.0,194,3.12698
1.0,179,3.182562
0.0,51,3.198326
1.0,11,3.201698
0.0,24,3.209114
1.0,59,3.227257
1.0,153,3.27353
1.0,11,3.277002
0.0,132,3.318258
0.0,69,3.339789
1.0,178,3.394295
1.0,11,3.397739
0.0,115,3.433219
1.0,135,3.474818
1.0,111,3.509687
1.0,13,3.51381
1.0,71,3.535804
1.0,53,3.552
1.0,61,3.57109
1.0,12,3.574772
1.0,99,3.604849
1.0,74,3.627118
1.0,49,3.642343
1.0,11,3.64589
0.0,42,3.658977
1.0,104,3.690339
1.0,101,3.721886
1.0,11,3.725341
0.0,114,3.760534
1.0,72,3.782332
0.0,10,3.785534
1.0,11,3.789077
1.0,161,3.839327
0.0,39,3.851315
1.0,64,3.871363
1.0,11,3.874902
1.0,92,3.903856
1.0,74,3.927086
1.0,106,3.960068
1.0,13,3.964096
0.0,35,3.974931
0.0,16,3.979874
0.0,21,3.986455
1.0,11,3.989877
1.0,80,4.014629
0.0,16,4.019507
0.0,8,4.022284
1.0,11,4.025681
0.0,21,4.032238
1.0,216,4.099284
1.0,67,4.119512
1.0,13,4.123426
1.0,84,4.14923
1.0,49,4.164473
1.0,40,4.177175
0.0,4,4.1784
0.0,47,4.193135
1.0,51,4.209038
1.0,33,4.219391
1.0,11,4.222701
0.0,32,4.232468
1.0,43,4.245572
0.0,71,4.266864
1.0,11,4.270262
0.0,48,4.285072
1.0,119,4.321975
1.0,52,4.337875
1.0,11,4.341261
0.0,18,4.346691
1.0,48,4.36136
1.0,38,4.373158
1.0,11,4.376653
1.0,72,4.399151
1.0,33,4.40958
1.0,36,4.421008
1.0,14,4.425237
1.0,113,4.459605
1.0,53,4.476084
1.0,45,4.490272
1.0,13,4.494409
0.0,40,4.507105
1.0,73,4.529214
1.0,67,4.549693
1.0,11,4.553203
1.0,67,4.573656
0.0,24,4.581118
1.0,27,4.589687
1.0,15,4.594431
0.0,36,4.605352
1.0,49,4.620653
1.0,29,4.629937
1.0,15,4.634649
0.0,47,4.649221
0.0,44,4.663156
1.0,40,4.675665
1.0,11,4.679074
1.0,34,4.689257
1.0,49,4.704685
1.0,50,4.720379
1.0,11,4.724007
1.0,117,4.760805
1.0,52,4.776747
1.0,32,4.786663
1.0,15,4.791288
0.0,39,4.803326
1.0,42,4.816234
1.0,32,4.82618
0.0,9,4.829067
1.0,44,4.842755
1.0,47,4.857228
1.0,49,4.872652
1.0,11,4.876092
0.0,23,4.883481
0.0,10,4.88666
0.0,6,4.888613
1.0,11,4.892071
1.0,65,4.911725
0.0,9,4.914548
0.0,25,4.922261
0.0,7,4.924396
1.0,31,4.93385
1.0,52,4.950038
1.0,33,4.960515
1.0,11,4.96392
1.0,76,4.987064
1.0,58,5.004676
1.0,25,5.012445
1.0,16,5.017228
0.0,22,5.024167
1.0,50,5.039768
1.0,31,5.049311
1.0,11,5.05265
1.0,49,5.067786
1.0,43,5.081218
1.0,28,5.089843
0.0,7,5.092009
1.0,31,5.101443
0.0,44,5.11476
1.0,25,5.122755
1.0,15,5.127308
1.0,52,5.143238
1.0,59,5.161575
1.0,32,5.17189
1.0,12,5.175583
0.0,11,5.179012
1.0,37,5.190521
1.0,28,5.199113
1.0,15,5.203666
0.0,17,5.208932
0.0,37,5.220264
1.0,26,5.228339
1.0,11,5.231708
0.0,62,5.250826
1.0,40,5.263472
0.0,23,5.270931
1.0,17,5.276211
1.0,24,5.283494
0.0,30,5.292542
1.0,28,5.301502
1.0,15,5.306146
1.0,23,5.313225
1.0,30,5.322331
0.0,30,5.331434
1.0,15,5.336108
1.0,80,5.36077
0.0,9,5.363581
1.0,28,5.372247
1.0,13,5.376372
1.0,44,5.389911
1.0,40,5.402606
0.0,26,5.411044
1.0,15,5.415772
1.0,29,5.4251
1.0,34,5.435691
1.0,29,5.445211
1.0,13,5.449286
1.0,36,5.460691
1.0,34,5.47148
1.0,29,5.480541
1.0,13,5.484547
1.0,26,5.492765
1.0,33,5.503044
1.0,27,5.511444
1.0,11,5.514861
0.0,6,5.516725
0.0,17,5.521835
1.0,30,5.531572
0.0,2,5.532202
0.0,10,5.535298
0.0,23,5.542448
1.0,29,5.551442
1.0,13,5.555443
0.0,8,5.55802
1.0,49,5.5734
1.0,25,5.581446
1.0,11,5.584971
1.0,25,5.592757
0.0,15,5.597636
0.0,8,5.600182
1.0,11,5.603699
1.0,23,5.611148
1.0,29,5.620312
1.0,27,5.628632
1.0,11,5.63199
1.0,25,5.639638
1.0,91,5.667499
1.0,45,5.681687
1.0,12,5.685416
1.0,23,5.692466
1.0,66,5.71288
0.0,14,5.71717
1.0,12,5.720845
1.0,23,5.727933
1.0,62,5.747043
1.0,25,5.754843
1.0,11,5.758259
1.0,26,5.766348
1.0,44,5.779918
0.0,23,5.787085
1.0,11,5.790688
1.0,25,5.798419
1.0,35,5.809164
0.0,16,5.814089
1.0,15,5.818812
1.0,25,5.826748
1.0,42,5.839582
1.0,38,5.851293
1.0,11,5.854671
1.0,23,5.861819
0.0,17,5.867307
1.0,25,5.875407
1.0,13,5.879409
1.0,27,5.887631
1.0,43,5.900694
0.0,8,5.90327
1.0,11,5.906698
1.0,26,5.914555
1.0,32,5.924559
1.0,27,5.933408
1.0,13,5.937537
1.0,26,5.945825
1.0,37,5.957045
1.0,25,5.96472
1.0,12,5.968443
0.0,14,5.972746
1.0,34,5.983446
1.0,25,5.991193
1.0,11,5.994617
1.0,27,6.002968
1.0,33,6.01316
1.0,28,6.021966
1.0,12,6.02565
0.0,8,6.028159
1.0,48,6.042899
1.0,32,6.053107
1.0,13,6.057247
1.0,30,6.066473
1.0,45,6.080232
0.0,19,6.086216
1.0,11,6.089657
1.0,23,6.0967
1.0,30,6.106043
1.0,26,6.114131
1.0,12,6.11786
1.0,25,6.125518
0.0,12,6.129379
1.0,27,6.137824
1.0,11,6.14128
1.0,23,6.148441
1.0,27,6.156716
1.0,27,6.165725
1.0,13,6.169987
1.0,23,6.177543
1.0,57,6.195592
1.0,27,6.204175
1.0,14,6.208512
1.0,27,6.216735
0.0,14,6.221098
0.0,4,6.22237
1.0,13,6.226355
1.0,31,6.235847
1.0,37,6.247298
1.0,27,6.255773
1.0,11,6.259352
1.0,27,6.267726
1.0,31,6.277335
1.0,25,6.285265
1.0,13,6.289293
1.0,24,6.296695
1.0,58,6.31475
1.0,29,6.323873
1.0,11,6.327287
0.0,16,6.332173
0.0,19,6.338188
1.0,25,6.346022
1.0,18,6.351587
0.0,6,6.353468
1.0,31,6.363464
1.0,25,6.371338
1.0,11,6.374679
1.0,27,6.382714
1.0,29,6.391511
0.0,6,6.393534
1.0,11,6.396871
1.0,25,6.404552
1.0,30,6.413845
1.0,25,6.421715
1.0,18,6.427196
1.0,25,6.435138
0.0,4,6.436405
1.0,29,6.445535
1.0,13,6.449589
0.0,21,6.456182
1.0,31,6.466085
0.0,15,6.470746
1.0,11,6.474138
1.0,23,6.481257
1.0,33,6.491401
1.0,40,6.503911
1.0,11,6.507441
1.0,24,6.515012
0.0,31,6.524471
1.0,25,6.532233
1.0,11,6.535671
1.0,25,6.543581
1.0,35,6.554312
1.0,30,6.563699
1.0,13,6.567686
1.0,27,6.576092
0.0,18,6.581774
1.0,38,6.593543
1.0,11,6.597027
1.0,24,6.604421
1.0,29,6.613392
1.0,30,6.623062
1.0,12,6.626884
0.0,18,6.632652
1.0,31,6.642446
0.0,23,6.649486
0.0,2,6.650109
1.0,24,6.657652
0.0,8,6.660058
1.0,26,6.668138
1.0,13,6.672362
1.0,25,6.680072
1.0,29,6.689064
1.0,31,6.698795
1.0,13,6.702769
1.0,25,6.710545
1.0,33,6.721077
1.0,27,6.729806
1.0,11,6.733366
1.0,27,6.741882
0.0,9,6.744795
1.0,34,6.755714
1.0,11,6.759069
1.0,29,6.767901
1.0,29,6.777421
1.0,25,6.785516
0.0,13,6.789712
1.0,25,6.797597
