# {"t_start": 1641520949.8371274, "env_id": "Office-v0"} 
r,l,t
0.0,5,0.00193
0.0,68,0.023708
0.0,8,0.026179
0.5,43,0.0391
0.0,13,0.043002
0.0,41,0.055185
0.0,13,0.059089
0.0,47,0.073385
0.0,20,0.080024
0.0,34,0.090326
0.0,21,0.096571
0.0,124,0.133981
0.0,16,0.138823
0.0,42,0.1515
0.0,29,0.160306
0.5,42,0.172778
0.0,74,0.194871
0.0,84,0.220451
0.0,61,0.239102
0.0,51,0.25343
0.0,122,0.289546
0.0,43,0.302494
0.0,35,0.313265
0.0,118,0.35023
0.0,96,0.378777
0.0,9,0.381499
0.0,22,0.388122
0.0,68,0.407984
0.0,164,0.456813
0.0,7,0.459001
0.0,116,0.49347
0.0,183,0.547052
1.0,102,0.57734
0.0,23,0.584159
0.0,106,0.616698
0.0,12,0.620519
0.0,36,0.631466
1.0,224,0.69955
0.0,376,0.810731
0.0,40,0.822233
1.0,71,0.843413
0.0,283,0.927591
0.0,55,0.94525
0.5,4,0.946465
0.0,105,0.977923
0.0,111,1.01067
0.0,447,1.143431
0.5,8,1.145909
0.0,100,1.175574
0.0,28,1.18398
0.0,589,1.363456
0.5,4,1.36476
0.0,103,1.39536
0.0,83,1.419385
0.0,132,1.458668
0.5,17,1.463793
0.0,30,1.472727
0.0,48,1.486139
0.0,195,1.546526
0.5,4,1.547781
0.0,129,1.586474
0.0,41,1.598423
0.0,38,1.609824
0.5,8,1.61219
0.0,13,1.616158
0.0,26,1.623938
0.0,145,1.667425
0.5,4,1.668678
0.0,39,1.680365
0.0,72,1.70092
0.0,189,1.757817
0.5,6,1.759614
1.0,14,1.763766
0.0,187,1.820208
0.0,174,1.873901
0.5,154,1.919608
0.0,23,1.926459
0.0,151,1.970964
0.0,89,1.997554
0.5,6,1.999349
1.0,20,2.005255
1.0,166,2.054144
1.0,253,2.130528
0.5,4,2.132134
1.0,33,2.142503
0.0,75,2.165125
1.0,286,2.250959
0.5,8,2.253421
0.0,18,2.258735
0.0,198,2.317224
0.0,69,2.337405
0.5,4,2.338665
0.0,48,2.353063
0.0,14,2.357203
1.0,289,2.444597
0.5,4,2.445933
1.0,55,2.462253
0.0,15,2.466845
1.0,193,2.524554
0.5,6,2.526393
1.0,22,2.532887
1.0,103,2.563316
0.0,99,2.592191
0.5,8,2.594589
1.0,24,2.601742
0.0,123,2.63818
0.0,63,2.656688
0.5,4,2.657909
1.0,52,2.673335
0.0,115,2.707287
1.0,184,2.763873
0.5,28,2.772653
1.0,32,2.782328
0.0,113,2.816717
1.0,129,2.855491
0.5,11,2.858882
1.0,48,2.873182
0.0,12,2.876767
1.0,156,2.922863
0.5,4,2.924095
1.0,46,2.937719
1.0,99,2.967428
0.0,59,2.984662
0.5,7,2.986758
1.0,33,2.996632
1.0,92,3.025422
0.0,131,3.065426
0.5,4,3.066714
1.0,29,3.075948
1.0,220,3.141293
1.0,71,3.162301
