episodes,steps,total reward
21,1000,3.5
33,2000,0.0
43,3000,2.0
77,4000,16.5
168,5000,44.5
231,6000,31.5
345,7000,57.0
414,8000,34.0
492,9000,39.0
580,10000,43.5
734,11000,78.0
871,12000,67.5
1012,13000,72.0
1210,14000,99.5
1426,15000,108.0
1595,16000,84.5
1802,17000,104.0
1981,18000,89.5
2167,19000,93.0
2375,20000,104.0
2594,21000,109.5
2813,22000,109.5
3030,23000,108.0
3248,24000,109.5
3472,25000,111.5
3697,26000,112.5
3916,27000,109.5
4134,28000,109.0
4351,29000,109.0
4567,30000,107.0
4790,31000,111.5
5008,32000,109.0
5219,33000,105.5
5431,34000,106.0
5650,35000,109.5
5861,36000,105.5
6078,37000,108.5
6295,38000,108.5
6515,39000,110.0
6732,40000,109.0
6951,41000,109.0
7166,42000,108.0
7382,43000,107.5
7596,44000,107.0
7814,45000,109.0
8032,46000,108.5
8249,47000,109.0
8467,48000,109.0
8689,49000,110.5
8909,50000,109.5
9064,51000,77.5
9283,52000,108.5
9507,53000,112.0
9716,54000,104.5
9936,55000,109.5
10154,56000,109.0
10370,57000,107.5
10589,58000,109.0
10803,59000,107.0
11023,60000,110.0
11237,61000,107.5
11454,62000,108.0
11677,63000,111.5
11893,64000,108.5
12110,65000,108.5
12327,66000,108.0
12546,67000,109.5
12759,68000,106.5
12977,69000,109.0
13194,70000,108.5
13415,71000,110.5
13634,72000,110.0
13849,73000,107.0
14074,74000,112.5
14285,75000,105.5
14503,76000,109.0
14712,77000,104.5
14932,78000,110.5
15141,79000,104.0
15356,80000,107.5
15570,81000,107.0
15788,82000,109.0
16002,83000,107.0
16213,84000,105.5
16436,85000,111.5
16646,86000,105.5
16862,87000,107.5
17078,88000,108.0
17293,89000,107.5
17509,90000,108.5
17720,91000,105.0
17938,92000,108.5
18155,93000,108.5
18366,94000,106.0
18576,95000,105.0
18796,96000,110.0
19014,97000,109.0
19229,98000,107.5
19443,99000,106.5
19661,100000,109.0
