episodes,steps,total reward
22,1000,6.0
33,2000,1.0
151,3000,110.0
249,4000,95.0
321,5000,71.0
412,6000,89.0
510,7000,95.0
717,8000,206.0
890,9000,171.0
1112,10000,222.0
1325,11000,213.0
1543,12000,217.0
1757,13000,214.0
1975,14000,218.0
2195,15000,219.0
2417,16000,223.0
2632,17000,215.0
2852,18000,219.0
2998,19000,145.0
3210,20000,212.0
3425,21000,215.0
3641,22000,214.0
3854,23000,214.0
4069,24000,215.0
4288,25000,219.0
4507,26000,218.0
4723,27000,217.0
4934,28000,210.0
5151,29000,218.0
5366,30000,215.0
5583,31000,216.0
5805,32000,221.0
6018,33000,213.0
6233,34000,215.0
6447,35000,214.0
6663,36000,217.0
6880,37000,215.0
7100,38000,220.0
7313,39000,213.0
7528,40000,215.0
7740,41000,212.0
7959,42000,219.0
8181,43000,222.0
8394,44000,213.0
8610,45000,216.0
8827,46000,217.0
9038,47000,211.0
9253,48000,215.0
9469,49000,213.0
9686,50000,217.0
9910,51000,224.0
10126,52000,216.0
10342,53000,217.0
10560,54000,217.0
10773,55000,213.0
10985,56000,212.0
11210,57000,225.0
11428,58000,217.0
11642,59000,214.0
11866,60000,224.0
12085,61000,218.0
12299,62000,213.0
12510,63000,212.0
12724,64000,213.0
12937,65000,213.0
13148,66000,212.0
13372,67000,222.0
13589,68000,217.0
13810,69000,221.0
14023,70000,213.0
14239,71000,216.0
14456,72000,216.0
14676,73000,219.0
14890,74000,214.0
15106,75000,216.0
15328,76000,220.0
15547,77000,219.0
15766,78000,219.0
15980,79000,214.0
16198,80000,218.0
16416,81000,218.0
16632,82000,216.0
16848,83000,216.0
17058,84000,210.0
17272,85000,214.0
17486,86000,212.0
17693,87000,208.0
17910,88000,216.0
18130,89000,221.0
18349,90000,218.0
18566,91000,217.0
18784,92000,219.0
19000,93000,215.0
19217,94000,218.0
19432,95000,215.0
19653,96000,220.0
19870,97000,217.0
20085,98000,215.0
20298,99000,213.0
20518,100000,220.0
