episodes,steps,total reward
18,1000,0.0
28,2000,0.0
32,3000,0.0
37,4000,1.0
46,5000,2.0
56,6000,0.0
66,7000,3.0
75,8000,3.0
86,9000,5.0
99,10000,5.0
107,11000,3.0
125,12000,12.0
144,13000,11.0
169,14000,20.0
198,15000,21.0
236,16000,30.0
270,17000,31.0
313,18000,36.0
357,19000,38.0
402,20000,35.0
453,21000,38.0
499,22000,39.0
550,23000,40.0
599,24000,36.0
645,25000,40.0
695,26000,41.0
741,27000,45.0
790,28000,43.0
835,29000,43.0
884,30000,41.0
932,31000,43.0
985,32000,41.0
1034,33000,39.0
1085,34000,42.0
1133,35000,39.0
1183,36000,39.0
1231,37000,41.0
1280,38000,44.0
1334,39000,41.0
1385,40000,37.0
1438,41000,41.0
1493,42000,39.0
1543,43000,38.0
1595,44000,40.0
1643,45000,42.0
1693,46000,43.0
1742,47000,42.0
1789,48000,39.0
1842,49000,39.0
1893,50000,36.0
1943,51000,40.0
1992,52000,41.0
2040,53000,40.0
2086,54000,42.0
2135,55000,40.0
2186,56000,43.0
2234,57000,38.0
2283,58000,43.0
2336,59000,40.0
2386,60000,40.0
2435,61000,42.0
2489,62000,43.0
2538,63000,41.0
2590,64000,39.0
2638,65000,38.0
2689,66000,41.0
2739,67000,42.0
2785,68000,43.0
2838,69000,43.0
2891,70000,41.0
2942,71000,42.0
2990,72000,44.0
3037,73000,39.0
3088,74000,39.0
3137,75000,41.0
3185,76000,39.0
3234,77000,41.0
3281,78000,41.0
3330,79000,40.0
3379,80000,41.0
3429,81000,43.0
3486,82000,38.0
3535,83000,41.0
3585,84000,45.0
3634,85000,43.0
3683,86000,40.0
3734,87000,42.0
3787,88000,38.0
3840,89000,40.0
3894,90000,37.0
3943,91000,41.0
3991,92000,44.0
4039,93000,39.0
4090,94000,41.0
4138,95000,42.0
4186,96000,45.0
4234,97000,39.0
4281,98000,42.0
4335,99000,37.0
4383,100000,38.0
