# {"t_start": 1641612918.8616045, "env_id": "Office-single-v0"} 
r,l,t
0.0,19,0.002224
0.0,7,0.002933
0.0,101,0.012471
0.0,7,0.013226
0.0,4,0.013657
0.0,23,0.015997
0.0,34,0.019551
0.0,22,0.021727
0.0,41,0.025707
0.0,101,0.035424
0.0,35,0.03875
0.0,77,0.046212
0.0,36,0.049702
0.0,118,0.060871
0.0,28,0.063578
0.0,82,0.071573
0.0,94,0.080232
0.0,62,0.086134
0.0,104,0.09595
0.0,129,0.108457
0.0,12,0.109683
0.0,247,0.133437
0.0,120,0.145153
0.0,101,0.15471
0.0,220,0.175445
0.0,20,0.177453
0.0,123,0.189739
0.0,145,0.203988
0.0,97,0.213635
0.0,523,0.264032
0.0,11,0.265215
0.0,320,0.296182
0.0,118,0.307827
0.0,235,0.330568
0.0,77,0.337906
0.0,39,0.341703
0.0,56,0.347074
0.0,34,0.350317
0.0,39,0.354104
1.0,536,0.40574
0.0,569,0.461087
0.0,255,0.48589
0.0,6,0.486564
1.0,88,0.49507
0.0,26,0.49759
0.0,9,0.498516
0.0,97,0.508078
1.0,713,0.576825
0.0,50,0.581864
0.0,164,0.597942
0.0,99,0.60761
1.0,87,0.616139
1.0,62,0.62241
0.0,79,0.630087
0.0,76,0.637505
0.0,299,0.666068
0.0,484,0.714178
1.0,49,0.719105
0.0,11,0.720154
0.0,215,0.741078
1.0,63,0.747206
0.0,59,0.752911
0.0,58,0.75849
0.0,52,0.763464
0.0,4,0.763883
1.0,64,0.769969
1.0,59,0.775544
1.0,332,0.808109
0.0,12,0.809331
0.0,13,0.810612
0.0,234,0.833421
0.0,146,0.84761
1.0,36,0.851119
1.0,68,0.857782
1.0,58,0.863461
0.0,33,0.866587
0.0,267,0.893124
0.0,45,0.897564
1.0,38,0.901428
0.0,31,0.904419
1.0,55,0.909822
1.0,31,0.912817
1.0,184,0.930821
0.0,22,0.932956
0.0,28,0.935608
1.0,30,0.938553
0.0,13,0.939869
0.0,17,0.94153
1.0,43,0.945721
0.0,13,0.946984
0.0,60,0.952801
1.0,37,0.956428
1.0,82,0.964361
1.0,22,0.96651
1.0,291,0.995224
1.0,29,0.998065
1.0,241,1.021612
1.0,23,1.023925
1.0,25,1.026343
1.0,29,1.029174
1.0,57,1.034714
0.0,129,1.047022
0.0,33,1.050204
1.0,24,1.052609
1.0,30,1.055527
1.0,19,1.057408
1.0,25,1.059812
1.0,21,1.061883
0.0,62,1.067771
0.0,6,1.068417
0.0,14,1.0699
1.0,41,1.073867
1.0,17,1.075535
1.0,142,1.08932
0.0,9,1.090328
0.0,22,1.092553
1.0,187,1.110962
1.0,19,1.112835
1.0,24,1.115291
1.0,27,1.118021
1.0,25,1.120409
1.0,25,1.12284
1.0,22,1.125038
0.0,11,1.126131
0.0,110,1.136814
0.0,6,1.137471
1.0,17,1.139135
1.0,21,1.141138
1.0,17,1.142821
1.0,19,1.144688
1.0,17,1.146372
1.0,21,1.148433
1.0,27,1.150984
1.0,18,1.152793
1.0,22,1.154921
1.0,21,1.156941
1.0,17,1.158624
1.0,17,1.160309
1.0,18,1.162057
0.0,10,1.163038
0.0,8,1.163813
1.0,17,1.165496
1.0,20,1.167537
0.0,11,1.168858
0.0,11,1.169964
1.0,19,1.171794
0.0,20,1.173737
1.0,17,1.175462
1.0,24,1.177782
1.0,24,1.180189
1.0,18,1.181951
1.0,18,1.183759
0.0,6,1.184374
0.0,6,1.184982
1.0,18,1.186726
1.0,21,1.189036
1.0,19,1.190948
0.0,6,1.191562
1.0,17,1.193248
1.0,17,1.195036
0.0,6,1.195712
0.0,13,1.196976
1.0,21,1.199053
1.0,19,1.200954
1.0,17,1.202607
1.0,18,1.204473
1.0,17,1.206201
1.0,19,1.208113
1.0,17,1.209912
1.0,17,1.211592
1.0,18,1.213472
1.0,17,1.215263
1.0,17,1.216937
1.0,21,1.218982
1.0,17,1.220693
1.0,17,1.222406
1.0,17,1.224069
0.0,9,1.224958
0.0,4,1.225369
1.0,20,1.227305
1.0,17,1.228961
1.0,17,1.230652
1.0,18,1.232419
0.0,11,1.233502
1.0,17,1.235159
1.0,17,1.236866
1.0,17,1.238541
1.0,21,1.24061
1.0,17,1.242393
0.0,12,1.243554
1.0,20,1.245546
1.0,33,1.248707
1.0,25,1.251087
0.0,15,1.252568
1.0,26,1.255034
1.0,17,1.256722
1.0,22,1.258855
1.0,17,1.260561
0.0,13,1.261804
1.0,28,1.264471
1.0,17,1.266148
0.0,17,1.267994
1.0,20,1.269966
1.0,18,1.271726
1.0,17,1.273483
1.0,17,1.275193
1.0,17,1.276875
1.0,19,1.278818
1.0,17,1.280588
1.0,17,1.282256
1.0,17,1.284144
1.0,17,1.285918
1.0,19,1.287766
1.0,19,1.289649
1.0,21,1.291723
1.0,18,1.293484
1.0,21,1.295607
1.0,17,1.297261
1.0,26,1.299778
1.0,19,1.301645
1.0,17,1.303347
1.0,19,1.305331
1.0,19,1.307236
1.0,17,1.309001
1.0,21,1.311113
1.0,17,1.312819
1.0,19,1.314668
1.0,21,1.316742
1.0,17,1.318457
1.0,19,1.320308
1.0,22,1.322448
1.0,18,1.324221
0.0,8,1.325044
1.0,19,1.326905
1.0,18,1.328706
1.0,17,1.330386
0.0,9,1.331267
0.0,9,1.332172
1.0,19,1.334028
1.0,19,1.335991
1.0,19,1.337871
1.0,18,1.339639
1.0,17,1.341314
1.0,17,1.342984
1.0,25,1.345398
0.0,9,1.346292
1.0,19,1.348144
1.0,17,1.349818
0.0,11,1.350909
1.0,19,1.35281
0.0,9,1.35371
1.0,19,1.355637
1.0,21,1.35766
1.0,17,1.359371
1.0,17,1.361053
0.0,6,1.361645
1.0,17,1.363317
1.0,18,1.36508
1.0,17,1.366752
1.0,19,1.368814
0.0,8,1.369587
1.0,19,1.371446
1.0,17,1.373119
0.0,6,1.373713
0.0,8,1.374501
1.0,17,1.376206
1.0,21,1.378355
1.0,20,1.380434
1.0,20,1.382469
1.0,21,1.384536
1.0,21,1.386583
1.0,17,1.388258
0.0,9,1.389153
0.0,13,1.390478
1.0,20,1.392474
1.0,21,1.394579
1.0,17,1.396311
1.0,18,1.398114
1.0,19,1.399957
1.0,19,1.402011
1.0,22,1.404137
1.0,18,1.406085
1.0,19,1.408104
1.0,20,1.410071
1.0,23,1.41233
1.0,17,1.414051
1.0,17,1.415797
0.0,93,1.424818
1.0,17,1.426499
1.0,17,1.428169
0.0,9,1.429091
0.0,9,1.429994
1.0,25,1.432476
0.0,11,1.433546
1.0,19,1.435399
1.0,17,1.437113
1.0,17,1.438782
1.0,17,1.440462
1.0,20,1.442397
1.0,17,1.444115
1.0,17,1.445799
1.0,21,1.447825
1.0,17,1.449495
1.0,25,1.451927
1.0,18,1.453691
0.0,9,1.454679
1.0,19,1.456533
1.0,19,1.458527
1.0,18,1.460558
1.0,31,1.463534
0.0,14,1.464932
1.0,19,1.466873
1.0,17,1.468872
1.0,19,1.470695
1.0,19,1.472553
1.0,30,1.475425
1.0,18,1.477161
1.0,17,1.478932
0.0,11,1.480156
1.0,17,1.481878
1.0,183,1.499761
1.0,19,1.501668
1.0,19,1.503525
0.0,16,1.505117
1.0,23,1.50757
1.0,21,1.509615
1.0,19,1.511452
1.0,17,1.513189
1.0,17,1.514855
1.0,17,1.51657
1.0,26,1.519075
1.0,21,1.521221
1.0,17,1.522874
1.0,18,1.524696
1.0,21,1.526744
1.0,20,1.528759
1.0,19,1.530593
1.0,19,1.532526
1.0,17,1.534229
1.0,17,1.535938
1.0,20,1.537902
1.0,17,1.539567
1.0,21,1.541594
1.0,19,1.54349
0.0,10,1.544518
1.0,19,1.54636
0.0,11,1.547421
1.0,17,1.549088
1.0,17,1.550801
1.0,17,1.552468
0.0,8,1.553267
1.0,22,1.555356
1.0,17,1.557032
0.0,9,1.557962
1.0,17,1.559631
1.0,23,1.561849
1.0,17,1.563524
0.0,9,1.564419
1.0,17,1.566133
1.0,20,1.568313
1.0,19,1.570163
1.0,19,1.572026
1.0,21,1.574177
0.0,8,1.574985
1.0,17,1.576658
0.0,8,1.577514
1.0,19,1.579372
1.0,17,1.581085
1.0,18,1.582882
1.0,20,1.584811
1.0,17,1.586496
1.0,17,1.588286
1.0,20,1.590238
1.0,22,1.592371
1.0,17,1.594153
0.0,6,1.594817
0.0,56,1.600573
0.0,4,1.601002
1.0,17,1.602681
1.0,21,1.604842
0.0,6,1.605457
1.0,17,1.607134
1.0,19,1.608983
0.0,8,1.609784
0.0,11,1.610875
1.0,20,1.612853
1.0,18,1.614599
1.0,17,1.616278
1.0,19,1.618157
0.0,14,1.619631
1.0,19,1.621505
1.0,17,1.623185
0.0,8,1.623955
1.0,18,1.625718
0.0,8,1.626521
1.0,22,1.628675
1.0,21,1.630704
1.0,17,1.63237
1.0,18,1.634111
1.0,17,1.635813
0.0,17,1.637461
1.0,17,1.63913
1.0,23,1.641309
1.0,17,1.643026
1.0,19,1.64486
1.0,17,1.646539
1.0,19,1.64839
1.0,20,1.650328
1.0,17,1.652037
1.0,19,1.653907
1.0,27,1.656485
1.0,19,1.658437
1.0,21,1.660478
1.0,24,1.662777
1.0,17,1.664438
1.0,17,1.666336
1.0,19,1.6682
0.0,15,1.669664
0.0,11,1.670714
1.0,23,1.67294
0.0,4,1.673355
1.0,17,1.675068
1.0,21,1.677184
1.0,17,1.678864
1.0,17,1.680529
1.0,17,1.682237
1.0,19,1.684082
1.0,17,1.685939
1.0,22,1.688121
1.0,21,1.690239
1.0,22,1.692421
1.0,21,1.694512
1.0,19,1.696421
1.0,17,1.698164
1.0,19,1.700017
0.0,48,1.704647
0.0,17,1.706547
1.0,17,1.708279
1.0,17,1.709965
0.0,9,1.710856
1.0,17,1.712524
1.0,17,1.714224
1.0,19,1.716071
0.0,4,1.716476
1.0,18,1.718212
1.0,17,1.719872
1.0,17,1.72158
1.0,19,1.723423
1.0,19,1.725279
1.0,19,1.727131
1.0,18,1.728918
1.0,23,1.731128
1.0,21,1.733328
1.0,18,1.735096
1.0,19,1.736985
1.0,19,1.738848
1.0,19,1.740691
1.0,19,1.742541
1.0,21,1.744615
1.0,17,1.746297
1.0,19,1.748153
1.0,24,1.750452
1.0,19,1.752351
1.0,19,1.754216
0.0,13,1.755497
1.0,25,1.757993
1.0,21,1.760019
1.0,20,1.761966
1.0,19,1.763822
1.0,18,1.765784
1.0,22,1.767894
1.0,24,1.77016
1.0,17,1.771906
1.0,17,1.773611
1.0,19,1.775466
1.0,28,1.778231
1.0,19,1.780076
1.0,19,1.781951
1.0,23,1.784183
1.0,19,1.786044
1.0,148,1.800716
1.0,19,1.802561
1.0,18,1.804353
1.0,18,1.806119
0.0,23,1.808353
1.0,23,1.810578
0.0,8,1.811352
1.0,18,1.813127
0.0,4,1.81354
1.0,19,1.81539
1.0,21,1.817458
1.0,18,1.819256
1.0,17,1.820946
0.0,9,1.82183
1.0,17,1.823502
1.0,17,1.825186
1.0,17,1.826882
1.0,19,1.828779
1.0,19,1.830644
1.0,17,1.832323
1.0,25,1.834763
1.0,20,1.836694
1.0,17,1.838382
1.0,18,1.840148
1.0,19,1.842057
1.0,18,1.843833
1.0,19,1.845708
1.0,23,1.847995
1.0,21,1.850063
1.0,19,1.851924
