# {"t_start": 1641614883.9161103, "env_id": "Office-v0"} 
r,l,t
0.0,2,0.00085
0.0,12,0.0047
0.0,69,0.026641
0.0,13,0.031122
0.0,51,0.046564
0.0,16,0.051391
0.0,12,0.055031
0.0,20,0.061382
0.0,34,0.071645
0.0,26,0.079584
0.0,128,0.118652
0.0,40,0.130972
0.0,58,0.148695
0.0,31,0.158085
0.0,31,0.167653
0.0,4,0.168941
0.0,84,0.194551
0.0,157,0.246642
0.0,14,0.251074
0.0,90,0.278425
1.0,82,0.303376
0.0,4,0.304619
0.0,97,0.335692
0.0,111,0.370705
0.0,102,0.401862
0.0,64,0.421079
0.0,85,0.447472
0.0,21,0.454803
1.0,192,0.513464
0.0,20,0.519649
0.0,57,0.537192
0.0,83,0.562858
0.0,4,0.564128
0.0,204,0.626065
0.0,14,0.630425
0.0,121,0.670993
0.0,38,0.682769
0.0,158,0.730355
0.0,59,0.748552
1.0,99,0.778862
0.0,408,0.903636
0.0,90,0.931453
0.0,225,1.003373
0.0,7,1.005605
0.0,269,1.088817
0.0,343,1.192722
0.0,121,1.229958
0.0,512,1.3878
0.0,1000,1.697122
0.0,93,1.725883
0.0,330,1.825992
0.0,80,1.85061
0.0,2,1.851262
0.0,48,1.865563
0.0,173,1.920398
0.0,55,1.936926
1.0,64,1.956648
0.0,75,1.979537
0.0,133,2.020346
0.0,42,2.033312
0.0,20,2.039463
0.0,121,2.076055
0.0,40,2.08839
0.0,278,2.173538
1.0,25,2.182067
0.0,232,2.254077
0.0,269,2.336386
1.0,508,2.493864
1.0,35,2.505191
0.0,120,2.542688
0.0,44,2.556357
0.0,401,2.678359
0.0,22,2.685192
1.0,198,2.74516
1.0,269,2.831094
0.0,466,2.973803
1.0,29,2.982812
1.0,128,3.022096
0.0,7,3.024288
1.0,106,3.056939
1.0,42,3.07054
0.0,27,3.079072
0.0,192,3.140263
0.0,22,3.147117
1.0,49,3.162125
0.0,4,3.163414
0.0,108,3.19568
0.0,121,3.232894
0.0,11,3.236314
0.0,52,3.252354
0.0,26,3.260298
0.0,220,3.32743
1.0,15,3.332027
0.0,46,3.346276
1.0,104,3.378189
1.0,33,3.388449
1.0,30,3.397631
0.0,54,3.415187
0.0,11,3.418626
0.0,151,3.465942
1.0,11,3.46939
1.0,70,3.490742
1.0,144,3.534918
0.0,188,3.592025
1.0,11,3.595424
1.0,191,3.654181
0.0,26,3.662117
1.0,115,3.698594
0.0,9,3.701376
0.0,51,3.717352
1.0,83,3.743733
0.0,12,3.748185
1.0,11,3.752314
1.0,69,3.773581
0.0,54,3.79022
1.0,32,3.800159
1.0,13,3.804172
1.0,94,3.833154
0.0,27,3.841306
0.0,19,3.84722
1.0,12,3.850922
