episodes,steps,total reward
20,1000,0.0
34,2000,0.0
37,3000,0.0
41,4000,0.0
45,5000,0.0
53,6000,0.0
59,7000,0.0
64,8000,1.0
65,9000,1.0
94,10000,19.0
127,11000,23.0
156,12000,21.0
190,13000,21.0
222,14000,25.0
253,15000,23.0
286,16000,20.0
320,17000,22.0
355,18000,20.0
388,19000,22.0
419,20000,22.0
453,21000,25.0
489,22000,23.0
523,23000,25.0
555,24000,21.0
586,25000,24.0
619,26000,22.0
655,27000,22.0
686,28000,21.0
723,29000,22.0
755,30000,19.0
788,31000,22.0
821,32000,25.0
855,33000,20.0
890,34000,25.0
922,35000,23.0
955,36000,22.0
987,37000,22.0
1019,38000,25.0
1048,39000,26.0
1083,40000,21.0
1118,41000,22.0
1152,42000,22.0
1184,43000,21.0
1217,44000,24.0
1252,45000,21.0
1281,46000,25.0
1314,47000,22.0
1346,48000,23.0
1378,49000,22.0
1410,50000,20.0
1440,51000,26.0
1475,52000,20.0
1508,53000,20.0
1542,54000,23.0
1574,55000,23.0
1605,56000,25.0
1639,57000,25.0
1672,58000,23.0
1705,59000,22.0
1738,60000,24.0
1775,61000,21.0
1807,62000,24.0
1839,63000,24.0
1874,64000,21.0
1909,65000,24.0
1940,66000,20.0
1971,67000,22.0
2003,68000,23.0
2040,69000,23.0
2073,70000,23.0
2103,71000,23.0
2135,72000,22.0
2166,73000,22.0
2198,74000,22.0
2230,75000,20.0
2266,76000,21.0
2298,77000,21.0
2332,78000,21.0
2367,79000,25.0
2401,80000,24.0
2436,81000,24.0
2468,82000,22.0
2504,83000,23.0
2538,84000,23.0
2572,85000,21.0
2611,86000,21.0
2641,87000,26.0
2674,88000,22.0
2707,89000,22.0
2743,90000,19.0
2774,91000,26.0
2806,92000,25.0
2837,93000,21.0
2874,94000,20.0
2904,95000,23.0
2935,96000,25.0
2965,97000,23.0
2997,98000,25.0
3031,99000,21.0
3065,100000,21.0
