episodes,steps,total reward
23,1000,0.0
33,2000,0.0
40,3000,0.0
43,4000,0.0
48,5000,0.0
59,6000,0.0
66,7000,1.0
71,8000,1.0
77,9000,4.0
85,10000,3.0
94,11000,6.0
104,12000,4.0
130,13000,16.0
164,14000,24.0
204,15000,32.0
241,16000,27.0
282,17000,32.0
320,18000,30.0
358,19000,32.0
394,20000,34.0
432,21000,27.0
473,22000,30.0
499,23000,20.0
538,24000,33.0
580,25000,32.0
621,26000,31.0
662,27000,30.0
701,28000,32.0
738,29000,32.0
778,30000,34.0
819,31000,32.0
863,32000,29.0
901,33000,34.0
944,34000,32.0
985,35000,31.0
1023,36000,32.0
1062,37000,34.0
1101,38000,31.0
1138,39000,32.0
1178,40000,32.0
1218,41000,33.0
1256,42000,32.0
1296,43000,33.0
1337,44000,28.0
1377,45000,32.0
1418,46000,32.0
1457,47000,28.0
1497,48000,32.0
1534,49000,32.0
1576,50000,30.0
1618,51000,29.0
1659,52000,31.0
1700,53000,32.0
1740,54000,32.0
1777,55000,35.0
1818,56000,31.0
1859,57000,31.0
1898,58000,32.0
1938,59000,31.0
1979,60000,33.0
2017,61000,32.0
2056,62000,33.0
2099,63000,31.0
2141,64000,32.0
2182,65000,31.0
2219,66000,35.0
2263,67000,31.0
2307,68000,29.0
2349,69000,30.0
2388,70000,34.0
2427,71000,33.0
2467,72000,33.0
2511,73000,30.0
2550,74000,34.0
2589,75000,33.0
2630,76000,34.0
2671,77000,30.0
2712,78000,31.0
2752,79000,29.0
2791,80000,29.0
2830,81000,32.0
2869,82000,33.0
2907,83000,31.0
2946,84000,32.0
2985,85000,33.0
3028,86000,33.0
3070,87000,28.0
3110,88000,32.0
3150,89000,33.0
3190,90000,32.0
3229,91000,35.0
3273,92000,29.0
3312,93000,34.0
3352,94000,32.0
3390,95000,37.0
3430,96000,32.0
3470,97000,31.0
3511,98000,31.0
3552,99000,30.0
3597,100000,29.0
