episodes,steps,total reward
31,1000,0.0
46,2000,0.0
60,3000,0.0
72,4000,0.0
80,5000,0.0
85,6000,0.0
90,7000,0.0
94,8000,0.0
110,9000,0.0
122,10000,0.0
131,11000,0.0
139,12000,0.0
149,13000,0.0
160,14000,0.0
164,15000,0.0
171,16000,0.0
180,17000,0.0
185,18000,0.0
186,19000,0.0
195,20000,0.0
208,21000,0.0
215,22000,0.0
218,23000,0.0
231,24000,0.0
237,25000,0.0
243,26000,0.0
253,27000,0.0
259,28000,0.0
267,29000,0.0
276,30000,0.0
283,31000,0.0
291,32000,0.0
298,33000,0.0
306,34000,0.0
315,35000,0.0
321,36000,0.0
330,37000,0.0
335,38000,0.0
342,39000,0.0
343,40000,0.0
349,41000,0.0
351,42000,0.0
364,43000,0.0
375,44000,0.0
385,45000,0.0
393,46000,0.0
397,47000,0.0
406,48000,0.0
420,49000,0.0
429,50000,0.0
436,51000,0.0
444,52000,0.0
451,53000,0.0
459,54000,0.0
464,55000,0.0
471,56000,0.0
477,57000,0.0
482,58000,0.0
489,59000,0.0
494,60000,0.0
499,61000,0.0
505,62000,0.0
513,63000,0.0
516,64000,0.0
528,65000,0.0
533,66000,0.0
541,67000,0.0
549,68000,0.0
553,69000,0.0
560,70000,0.0
570,71000,0.0
578,72000,0.0
585,73000,0.0
600,74000,0.0
607,75000,0.0
608,76000,0.0
614,77000,0.0
620,78000,0.0
625,79000,0.0
631,80000,0.0
636,81000,0.0
645,82000,0.0
653,83000,0.0
662,84000,0.0
666,85000,0.0
676,86000,0.0
689,87000,0.0
693,88000,0.0
702,89000,0.0
713,90000,0.0
718,91000,0.0
725,92000,0.0
731,93000,0.0
737,94000,0.0
741,95000,0.0
752,96000,0.0
767,97000,0.0
771,98000,0.0
778,99000,0.0
788,100000,1.0
