episodes,steps,total reward
25,1000,0.0
38,2000,0.0
47,3000,0.0
62,4000,0.0
70,5000,0.0
75,6000,0.0
77,7000,0.0
90,8000,0.0
98,9000,0.0
111,10000,0.0
124,11000,0.0
131,12000,0.0
143,13000,0.0
153,14000,0.0
161,15000,0.0
166,16000,0.0
172,17000,0.0
179,18000,0.0
186,19000,0.0
190,20000,0.0
198,21000,0.0
212,22000,0.0
216,23000,0.0
228,24000,0.0
233,25000,1.0
241,26000,1.0
244,27000,0.0
250,28000,0.0
256,29000,0.0
259,30000,0.0
264,31000,0.0
266,32000,0.0
276,33000,0.0
284,34000,0.0
293,35000,1.0
299,36000,0.0
302,37000,0.0
311,38000,2.0
321,39000,0.0
326,40000,0.0
331,41000,0.0
335,42000,1.0
343,43000,0.0
347,44000,1.0
355,45000,0.0
361,46000,0.0
364,47000,1.0
371,48000,1.0
379,49000,0.0
382,50000,1.0
384,51000,1.0
386,52000,0.0
390,53000,1.0
396,54000,3.0
402,55000,1.0
409,56000,0.0
416,57000,2.0
425,58000,0.0
434,59000,1.0
440,60000,3.0
451,61000,1.0
457,62000,3.0
464,63000,2.0
469,64000,1.0
479,65000,1.0
492,66000,3.0
501,67000,1.0
507,68000,2.0
515,69000,2.0
529,70000,4.0
538,71000,1.0
550,72000,2.0
559,73000,1.0
570,74000,2.0
572,75000,1.0
573,76000,0.0
583,77000,2.0
594,78000,2.0
606,79000,3.0
617,80000,5.0
630,81000,5.0
639,82000,4.0
656,83000,6.0
661,84000,2.0
678,85000,9.0
688,86000,4.0
693,87000,3.0
702,88000,4.0
707,89000,2.0
719,90000,4.0
731,91000,5.0
745,92000,8.0
762,93000,13.0
777,94000,7.0
798,95000,11.0
810,96000,7.0
831,97000,12.0
859,98000,18.0
881,99000,15.0
909,100000,17.0
