# {"t_start": 1641643244.127517, "env_id": "Office-single-v0"} 
r,l,t
0.0,54,0.002847
0.0,49,0.004893
0.0,5,0.005153
0.0,19,0.005972
0.0,39,0.008011
0.0,11,0.008615
0.0,50,0.011002
0.0,59,0.013247
0.0,27,0.014177
0.0,29,0.015145
0.0,24,0.015932
0.0,10,0.016289
0.0,17,0.016862
0.0,51,0.018587
0.0,4,0.018744
0.0,55,0.020381
0.0,17,0.020908
0.0,11,0.02127
0.0,14,0.021713
0.0,55,0.023397
0.0,63,0.025211
0.0,23,0.025936
0.0,76,0.028109
0.0,29,0.028956
0.0,29,0.029906
0.0,41,0.031098
0.0,17,0.031608
0.0,80,0.033921
0.0,51,0.03568
0.0,70,0.037901
0.0,40,0.039402
0.0,106,0.043279
0.0,77,0.045505
0.0,232,0.052285
0.0,73,0.054364
0.0,119,0.057766
0.0,146,0.061944
0.0,54,0.063503
0.0,70,0.065542
0.0,86,0.06866
0.0,102,0.072066
0.0,39,0.073516
0.0,78,0.076696
0.0,176,0.081761
0.0,11,0.082109
0.0,133,0.086211
0.0,132,0.090184
0.0,19,0.090796
0.0,36,0.091887
0.0,97,0.094706
0.0,38,0.095797
0.0,48,0.097167
0.0,141,0.102083
0.0,38,0.103346
0.0,125,0.107084
0.0,43,0.108308
0.0,124,0.111772
0.0,41,0.11296
0.0,62,0.114861
0.0,73,0.116997
0.0,437,0.129754
0.0,30,0.130801
0.0,96,0.133561
0.0,83,0.136213
0.0,41,0.137491
0.0,153,0.141895
0.0,21,0.142556
0.0,25,0.143277
0.0,83,0.145695
0.0,72,0.147787
0.0,25,0.148514
0.0,22,0.14917
0.0,374,0.159956
0.0,42,0.161407
0.0,53,0.162942
0.0,121,0.166461
0.0,63,0.168316
0.0,248,0.17565
0.0,123,0.179623
0.0,81,0.181967
0.0,257,0.189467
0.0,2,0.189565
0.0,25,0.190342
0.0,42,0.191858
0.0,101,0.194878
0.0,24,0.195606
0.0,17,0.196123
0.0,21,0.196756
0.0,132,0.200587
0.0,18,0.201139
0.0,28,0.201959
0.0,258,0.209264
0.0,15,0.209719
0.0,296,0.218721
0.0,386,0.230206
0.0,5,0.230411
0.0,15,0.23087
0.0,24,0.231606
0.0,46,0.233047
0.0,238,0.239815
0.0,24,0.240537
0.0,170,0.245461
0.0,89,0.248189
0.0,386,0.259495
0.0,321,0.268749
0.0,52,0.270383
0.0,257,0.277959
0.0,50,0.279446
0.0,385,0.291054
0.0,144,0.295186
0.0,7,0.295422
0.0,114,0.298742
0.0,68,0.300721
0.0,387,0.311941
0.0,13,0.312351
0.0,37,0.313745
0.0,535,0.329268
0.0,85,0.331747
0.0,5,0.331927
0.0,200,0.33782
0.0,17,0.338408
0.0,176,0.343531
0.0,112,0.347217
0.0,57,0.348916
0.0,21,0.349556
0.0,6,0.34976
0.0,43,0.351066
0.0,273,0.358864
0.0,80,0.361207
0.0,190,0.366952
0.0,73,0.369089
0.0,165,0.373877
0.0,25,0.374943
0.0,18,0.37551
0.0,25,0.376255
