episodes,steps,total reward
36,1000,0.0
57,2000,2.0
78,3000,2.0
96,4000,1.0
108,5000,2.0
121,6000,1.0
131,7000,2.0
144,8000,3.0
154,9000,5.0
170,10000,4.0
183,11000,2.0
200,12000,2.0
218,13000,5.0
236,14000,2.0
251,15000,4.0
269,16000,5.0
285,17000,5.0
298,18000,4.0
299,19000,0.0
315,20000,7.0
326,21000,5.0
331,22000,1.0
343,23000,5.0
358,24000,3.0
363,25000,4.0
378,26000,4.0
394,27000,4.0
407,28000,4.0
422,29000,5.0
433,30000,2.0
442,31000,4.0
458,32000,7.0
471,33000,4.0
490,34000,9.0
503,35000,6.0
516,36000,3.0
526,37000,4.0
545,38000,8.0
558,39000,4.0
573,40000,8.0
590,41000,7.0
602,42000,5.0
614,43000,7.0
627,44000,7.0
642,45000,6.0
655,46000,6.0
674,47000,9.0
690,48000,8.0
703,49000,5.0
719,50000,8.0
738,51000,12.0
751,52000,7.0
766,53000,5.0
778,54000,7.0
791,55000,6.0
811,56000,9.0
821,57000,4.0
838,58000,8.0
847,59000,5.0
855,60000,3.0
863,61000,4.0
877,62000,8.0
891,63000,10.0
903,64000,6.0
926,65000,10.0
946,66000,9.0
967,67000,10.0
971,68000,3.0
991,69000,10.0
1006,70000,7.0
1026,71000,11.0
1045,72000,9.0
1059,73000,10.0
1079,74000,9.0
1095,75000,9.0
1114,76000,13.0
1131,77000,12.0
1155,78000,11.0
1175,79000,11.0
1195,80000,11.0
1215,81000,11.0
1235,82000,12.0
1254,83000,13.0
1282,84000,13.0
1307,85000,12.0
1321,86000,9.0
1343,87000,14.0
1367,88000,14.0
1375,89000,4.0
1393,90000,12.0
1415,91000,17.0
1451,92000,18.0
1475,93000,16.0
1490,94000,10.0
1510,95000,13.0
1529,96000,12.0
1543,97000,10.0
1547,98000,3.0
1563,99000,9.0
1587,100000,15.0
