episodes,steps,total reward
27,1000,0.0
42,2000,0.0
53,3000,0.0
65,4000,0.0
76,5000,0.0
78,6000,0.0
82,7000,0.0
91,8000,0.0
105,9000,0.0
111,10000,0.0
121,11000,0.0
127,12000,0.0
135,13000,0.0
142,14000,0.0
151,15000,0.0
155,16000,0.0
165,17000,0.0
169,18000,0.0
178,19000,0.0
187,20000,0.0
191,21000,0.0
198,22000,1.0
205,23000,0.0
217,24000,0.0
231,25000,0.0
237,26000,0.0
244,27000,0.0
248,28000,0.0
253,29000,0.0
262,30000,1.0
268,31000,1.0
274,32000,0.0
286,33000,0.0
290,34000,0.0
293,35000,0.0
299,36000,0.0
304,37000,0.0
314,38000,1.0
322,39000,0.0
330,40000,1.0
335,41000,1.0
342,42000,0.0
347,43000,0.0
349,44000,0.0
358,45000,1.0
363,46000,1.0
369,47000,1.0
380,48000,0.0
382,49000,0.0
389,50000,3.0
396,51000,1.0
402,52000,1.0
411,53000,2.0
420,54000,2.0
428,55000,1.0
439,56000,3.0
445,57000,1.0
459,58000,3.0
472,59000,2.0
478,60000,0.0
480,61000,1.0
491,62000,1.0
505,63000,1.0
515,64000,3.0
520,65000,2.0
533,66000,2.0
536,67000,1.0
542,68000,2.0
548,69000,1.0
557,70000,2.0
565,71000,3.0
569,72000,3.0
573,73000,1.0
581,74000,2.0
584,75000,1.0
593,76000,3.0
607,77000,1.0
616,78000,2.0
625,79000,3.0
632,80000,2.0
642,81000,5.0
651,82000,5.0
662,83000,3.0
671,84000,1.0
684,85000,3.0
692,86000,4.0
703,87000,4.0
720,88000,7.0
733,89000,7.0
748,90000,9.0
773,91000,17.0
790,92000,11.0
805,93000,12.0
831,94000,14.0
856,95000,16.0
865,96000,8.0
890,97000,18.0
916,98000,19.0
934,99000,11.0
958,100000,17.0
