episodes,steps,total reward
26,1000,5.5
39,2000,3.5
53,3000,3.5
59,4000,2.0
71,5000,3.0
86,6000,5.5
103,7000,6.0
123,8000,5.5
136,9000,5.0
153,10000,5.0
216,11000,31.0
290,12000,36.5
384,13000,45.5
512,14000,63.5
574,15000,30.5
644,16000,35.5
782,17000,68.0
989,18000,104.0
1201,19000,105.5
1424,20000,111.5
1636,21000,106.0
1850,22000,106.5
2072,23000,110.0
2285,24000,106.5
2501,25000,108.0
2720,26000,109.5
2932,27000,105.5
3147,28000,107.5
3361,29000,107.0
3571,30000,105.0
3782,31000,105.0
4002,32000,110.0
4216,33000,107.5
4434,34000,108.5
4656,35000,111.0
4871,36000,107.5
5091,37000,110.0
5296,38000,102.5
5514,39000,109.5
5732,40000,108.5
5948,41000,108.0
6166,42000,109.0
6379,43000,106.5
6594,44000,107.5
6794,45000,100.0
7008,46000,108.0
7228,47000,110.0
7446,48000,108.5
7663,49000,108.5
7880,50000,108.5
8090,51000,105.0
8302,52000,106.0
8520,53000,109.0
8734,54000,106.5
8949,55000,107.5
9161,56000,106.0
9370,57000,104.5
9582,58000,106.5
9793,59000,104.5
9996,60000,101.5
10210,61000,107.5
10432,62000,111.0
10645,63000,106.0
10862,64000,108.5
11081,65000,109.5
11303,66000,111.0
11520,67000,108.5
11741,68000,110.5
11925,69000,92.0
12147,70000,110.5
12360,71000,107.0
12579,72000,109.5
12797,73000,108.5
13010,74000,106.5
13233,75000,111.0
13446,76000,107.0
13668,77000,111.0
13882,78000,106.5
14094,79000,106.0
14307,80000,106.5
14513,81000,103.5
14726,82000,107.0
14933,83000,103.5
15142,84000,103.5
15356,85000,107.0
15572,86000,108.0
15784,87000,106.0
16000,88000,108.5
16210,89000,104.5
16428,90000,109.0
16638,91000,105.0
16858,92000,110.5
17072,93000,106.5
17287,94000,107.5
17501,95000,106.5
17723,96000,111.0
17940,97000,108.5
18154,98000,107.0
18373,99000,110.0
18590,100000,108.0
