# {"t_start": 1641525537.4800158, "env_id": "Office-v0"} 
r,l,t
0.0,55,0.002131
0.0,28,0.003137
0.0,40,0.004554
0.0,6,0.004801
0.0,26,0.005706
0.0,18,0.006412
0.0,45,0.007959
0.5,18,0.008629
0.0,23,0.009423
0.0,30,0.010472
0.0,31,0.011698
0.0,22,0.012435
0.0,13,0.012878
0.0,11,0.013259
0.0,7,0.013512
0.0,5,0.013695
0.0,19,0.014376
0.0,28,0.015274
0.0,23,0.016016
0.0,10,0.016413
0.0,13,0.016883
0.0,31,0.017881
0.0,22,0.018604
0.5,61,0.020449
0.0,10,0.020772
0.0,20,0.021394
0.0,15,0.021948
0.5,30,0.022865
0.0,29,0.023758
0.0,54,0.025398
0.0,46,0.026794
0.0,15,0.027287
0.0,6,0.027495
0.0,23,0.028212
0.0,71,0.030368
0.5,14,0.030812
0.0,103,0.034089
0.0,12,0.034488
0.0,9,0.034785
0.0,24,0.035522
0.0,14,0.035971
0.0,45,0.037348
0.0,95,0.040316
0.0,24,0.041053
1.0,88,0.044019
0.0,21,0.044666
0.0,13,0.045085
0.5,85,0.047673
0.0,9,0.047981
0.0,24,0.048759
0.0,17,0.049304
0.0,16,0.049819
0.0,58,0.051595
0.0,30,0.05253
0.0,43,0.054058
0.5,26,0.054888
1.0,52,0.056497
0.0,18,0.057051
0.0,36,0.058198
0.0,51,0.059765
0.0,62,0.06166
0.0,58,0.063417
0.0,81,0.066153
0.0,27,0.066986
0.0,51,0.068542
0.0,40,0.069819
0.0,23,0.070544
0.0,37,0.071672
0.0,37,0.072975
0.0,8,0.073256
0.0,105,0.076668
0.0,34,0.07774
0.0,24,0.078568
0.0,37,0.079703
0.0,63,0.081592
0.0,41,0.082858
0.0,68,0.084926
0.0,23,0.085653
0.0,70,0.088252
0.5,20,0.088897
0.0,14,0.089379
0.0,56,0.091303
0.0,44,0.092657
0.0,42,0.093959
0.0,128,0.098068
0.0,65,0.10004
0.0,76,0.102408
0.5,54,0.104215
1.0,23,0.104951
0.0,107,0.108324
0.0,29,0.109274
0.0,57,0.111319
1.0,55,0.113029
0.0,105,0.116335
0.0,10,0.116669
0.0,60,0.118501
0.0,32,0.119499
0.0,38,0.120661
0.0,57,0.122417
0.0,88,0.125099
0.0,42,0.12639
0.0,25,0.127171
0.0,44,0.128537
0.0,30,0.129675
1.0,25,0.130512
0.0,39,0.131714
0.0,19,0.132312
0.0,115,0.136126
0.0,48,0.137605
0.0,125,0.141425
0.0,96,0.144373
0.5,56,0.146104
0.0,107,0.149582
0.0,98,0.152738
0.0,46,0.15416
0.0,64,0.15611
1.0,40,0.157348
0.0,88,0.160048
0.0,99,0.163302
0.5,34,0.164367
1.0,22,0.165147
0.0,8,0.165476
