# {"t_start": 1641534229.4624777, "env_id": "Office-single-v0"} 
r,l,t
0.0,41,0.002168
0.5,14,0.002856
0.5,8,0.003269
0.0,2,0.003442
0.5,27,0.004587
0.0,7,0.004919
0.0,33,0.006247
0.5,59,0.008634
0.0,11,0.009101
0.5,47,0.010805
0.0,42,0.012361
0.0,16,0.012953
0.0,6,0.013164
0.0,17,0.0137
0.5,35,0.014882
0.5,17,0.015468
0.0,20,0.016099
0.5,49,0.017599
0.0,25,0.018566
0.5,53,0.020312
0.0,56,0.022009
0.0,14,0.022467
0.0,22,0.023151
0.0,20,0.023824
0.5,43,0.025157
0.0,98,0.028231
0.0,22,0.028929
0.0,46,0.030332
0.0,29,0.031235
0.0,137,0.035916
0.5,21,0.036812
0.5,80,0.04026
0.0,49,0.041755
0.0,83,0.04426
0.5,23,0.044986
0.0,37,0.046128
0.0,106,0.049292
0.0,51,0.050864
0.0,14,0.051323
0.0,47,0.05276
0.5,45,0.054168
0.5,38,0.055377
0.5,8,0.055652
0.0,78,0.05834
0.0,87,0.061105
0.0,59,0.062913
0.0,106,0.066134
0.5,38,0.067369
0.0,42,0.068868
0.5,34,0.069958
0.5,64,0.071981
0.0,29,0.072878
0.0,51,0.074446
0.0,123,0.078234
0.0,114,0.081842
0.0,155,0.086602
0.0,63,0.088633
0.5,37,0.089782
0.0,16,0.090304
0.5,48,0.091811
0.0,39,0.09306
0.5,46,0.094693
0.0,168,0.10011
0.0,69,0.102257
0.0,187,0.108129
0.5,43,0.109473
0.5,67,0.111601
0.0,18,0.112182
0.5,73,0.11445
0.0,258,0.12263
0.0,270,0.131094
0.0,56,0.133074
0.0,69,0.135242
0.5,17,0.135807
0.5,115,0.139543
0.0,16,0.140078
0.5,37,0.141285
0.0,47,0.142789
0.0,68,0.144982
0.0,69,0.147104
0.0,65,0.149195
0.5,64,0.151175
0.0,59,0.152984
0.0,66,0.155064
0.5,65,0.157126
0.0,69,0.159359
0.0,32,0.160362
0.0,70,0.162695
0.5,91,0.165716
0.0,2,0.165816
0.0,45,0.167246
0.0,22,0.167993
0.5,18,0.168574
0.0,24,0.169372
0.5,7,0.169621
0.0,152,0.174289
0.5,58,0.176091
0.5,127,0.180017
0.0,45,0.181452
0.0,143,0.185898
0.5,18,0.186485
0.5,15,0.186977
0.5,33,0.188082
0.5,8,0.188385
0.0,208,0.19489
0.0,1000,0.226143
0.0,59,0.228314
