episodes,steps,total reward
36,1000,2.5
55,2000,3.0
77,3000,2.5
94,4000,1.5
107,5000,1.5
124,6000,3.5
137,7000,1.0
161,8000,6.5
170,9000,2.5
185,10000,4.0
200,11000,4.0
213,12000,4.5
226,13000,4.0
245,14000,5.0
262,15000,6.0
281,16000,6.5
294,17000,4.0
310,18000,6.0
322,19000,3.5
333,20000,5.5
345,21000,5.0
361,22000,5.0
375,23000,6.5
389,24000,5.5
399,25000,2.0
409,26000,4.0
418,27000,3.5
431,28000,7.0
443,29000,6.0
462,30000,6.0
474,31000,8.5
488,32000,7.0
504,33000,9.0
518,34000,9.0
534,35000,9.0
551,36000,8.0
563,37000,5.5
578,38000,9.5
593,39000,8.5
611,40000,10.5
623,41000,5.0
639,42000,5.0
651,43000,5.5
671,44000,11.0
687,45000,6.5
707,46000,8.0
712,47000,1.0
734,48000,10.0
755,49000,12.5
770,50000,8.5
781,51000,6.5
801,52000,12.0
815,53000,8.5
831,54000,9.5
847,55000,4.5
858,56000,6.5
887,57000,17.0
899,58000,6.0
911,59000,7.5
938,60000,15.0
954,61000,9.0
963,62000,7.5
986,63000,12.5
1006,64000,10.0
1027,65000,13.0
1058,66000,19.5
1090,67000,23.5
1137,68000,30.0
1177,69000,26.0
1210,70000,26.0
1250,71000,32.0
1301,72000,36.0
1340,73000,27.0
1385,74000,31.0
1438,75000,38.5
1499,76000,42.5
1550,77000,37.5
1612,78000,42.0
1646,79000,26.5
1706,80000,46.5
1758,81000,37.0
1817,82000,42.5
1872,83000,43.0
1937,84000,45.0
1999,85000,46.0
2058,86000,42.0
2122,87000,47.0
2183,88000,38.0
2245,89000,48.0
2310,90000,48.0
2369,91000,41.5
2434,92000,45.0
2486,93000,41.5
2541,94000,40.0
2606,95000,48.0
2666,96000,44.5
2729,97000,45.0
2788,98000,43.5
2850,99000,48.5
2914,100000,49.0
