# {"t_start": 1641613130.4794269, "env_id": "Office-v0"} 
r,l,t
0.0,2,0.000283
0.0,21,0.001057
0.0,52,0.00273
0.0,2,0.002838
0.0,68,0.004846
0.0,50,0.006367
0.0,4,0.00653
0.0,37,0.007933
0.0,20,0.008719
0.0,7,0.009033
0.0,48,0.011038
0.0,19,0.011825
0.0,4,0.012029
0.0,18,0.012745
0.0,16,0.013287
0.0,6,0.013506
0.0,53,0.015113
0.0,18,0.015659
0.0,13,0.016064
0.0,75,0.018274
0.0,17,0.018808
0.0,29,0.019681
0.0,102,0.022655
0.0,19,0.023244
1.0,48,0.024694
0.0,15,0.025163
0.0,6,0.025369
0.0,7,0.025606
0.0,7,0.025847
0.0,38,0.026991
0.0,25,0.02775
0.0,41,0.028958
0.0,27,0.029906
0.0,88,0.03286
0.0,51,0.034584
0.0,14,0.035028
0.0,69,0.037039
0.0,37,0.038499
0.0,11,0.038952
0.0,14,0.039531
0.0,23,0.040282
0.0,59,0.042017
0.0,25,0.042772
0.0,43,0.044054
0.0,45,0.045509
0.0,33,0.046512
0.0,21,0.047153
0.0,13,0.047556
0.0,21,0.048207
0.0,38,0.049431
0.0,75,0.051839
0.0,26,0.052629
0.0,12,0.05301
0.0,55,0.054665
0.0,133,0.058583
0.0,4,0.058741
0.0,35,0.059815
0.0,104,0.062871
0.0,28,0.063713
0.0,69,0.066124
0.0,11,0.066482
0.0,43,0.067749
0.0,9,0.068315
0.0,28,0.069415
0.0,80,0.072172
0.0,76,0.075116
0.0,82,0.078108
0.0,31,0.07916
0.0,44,0.080459
0.0,191,0.086097
0.0,129,0.090524
0.0,102,0.093548
1.0,42,0.094819
0.0,167,0.100385
0.0,9,0.100789
0.0,4,0.100958
0.0,75,0.103211
0.0,42,0.10448
0.0,73,0.106637
0.0,42,0.107889
1.0,75,0.110109
0.0,25,0.110866
0.0,29,0.11175
0.0,23,0.112446
0.0,4,0.112592
0.0,101,0.115649
0.0,30,0.116606
0.0,16,0.11716
0.0,64,0.119073
0.0,98,0.121957
0.0,41,0.123214
0.0,20,0.123823
1.0,73,0.126028
0.0,44,0.127369
0.0,137,0.132101
0.0,87,0.134806
0.0,55,0.136541
0.0,79,0.138922
0.0,28,0.139777
0.0,32,0.140744
0.0,77,0.142997
0.0,106,0.146088
0.0,24,0.146831
0.0,17,0.14735
0.0,43,0.148625
0.0,68,0.15061
0.0,33,0.151605
0.0,50,0.153072
0.0,8,0.153327
0.0,7,0.153558
0.0,117,0.157005
0.0,111,0.160661
1.0,33,0.161973
0.0,106,0.16524
0.0,75,0.167445
0.0,136,0.171491
1.0,81,0.174095
0.0,16,0.174632
0.0,30,0.175584
0.0,34,0.176594
0.0,18,0.177133
0.0,132,0.181024
0.0,43,0.182312
0.0,44,0.183641
0.0,34,0.184648
0.0,117,0.188026
0.0,6,0.188237
0.0,59,0.190199
0.0,71,0.192767
1.0,169,0.198075
0.0,44,0.199507
0.0,50,0.201077
1.0,111,0.204375
0.0,49,0.205845
0.0,77,0.208286
0.0,28,0.209131
1.0,41,0.210452
0.0,135,0.214488
0.0,92,0.217187
0.0,29,0.218091
1.0,25,0.218856
0.0,90,0.221952
0.0,52,0.223526
0.0,43,0.224796
1.0,63,0.226664
0.0,13,0.22708
0.0,67,0.229036
0.0,62,0.230871
0.0,69,0.233057
0.0,172,0.238195
0.0,48,0.239638
0.0,132,0.243512
1.0,21,0.244167
0.0,126,0.247844
0.0,212,0.254497
0.0,119,0.257998
0.0,88,0.260625
1.0,123,0.264243
0.0,49,0.265717
0.0,67,0.267714
0.0,66,0.269734
0.0,26,0.270641
0.0,29,0.271528
0.0,67,0.273511
0.0,12,0.273895
0.0,18,0.274497
0.0,46,0.275961
0.0,71,0.278118
1.0,58,0.279835
1.0,201,0.286594
0.0,75,0.288875
0.0,107,0.292237
0.0,25,0.293006
1.0,142,0.29724
0.0,126,0.300953
1.0,134,0.30493
1.0,71,0.307049
0.0,8,0.307318
0.0,86,0.309854
0.0,116,0.313862
0.0,33,0.314942
1.0,174,0.32002
0.0,80,0.322407
0.0,68,0.324462
0.0,59,0.326208
0.0,2,0.3263
0.0,51,0.327981
0.0,156,0.332577
0.0,14,0.333024
0.0,29,0.333891
0.0,22,0.334554
0.0,86,0.337059
1.0,20,0.33767
1.0,216,0.344436
0.0,98,0.347842
1.0,102,0.350987
1.0,44,0.352357
0.0,121,0.355881
0.0,41,0.357121
0.0,56,0.358798
0.0,39,0.359967
0.0,117,0.363561
0.0,137,0.367564
0.0,38,0.368717
1.0,42,0.369986
0.0,90,0.37262
0.0,110,0.376133
0.0,186,0.381602
1.0,76,0.383904
0.0,33,0.384926
0.0,51,0.386471
0.0,40,0.387672
0.0,67,0.389762
1.0,232,0.396576
0.0,58,0.398367
0.0,30,0.399284
1.0,15,0.399759
0.0,190,0.406132
0.0,52,0.407808
0.0,47,0.409224
1.0,43,0.41055
0.0,36,0.411618
0.0,7,0.411858
0.0,30,0.412761
0.0,17,0.413275
0.0,37,0.414394
0.0,167,0.419302
0.0,30,0.420214
1.0,33,0.42127
1.0,193,0.427073
0.0,61,0.428921
0.0,134,0.433222
0.0,65,0.435468
0.0,26,0.436262
0.0,186,0.441845
0.0,104,0.445201
1.0,18,0.445778
0.0,17,0.446313
0.0,23,0.447019
0.0,52,0.448554
1.0,15,0.449048
1.0,139,0.453168
0.0,227,0.459876
0.0,67,0.462115
1.0,33,0.463253
0.0,9,0.463608
0.0,6,0.463846
0.0,52,0.46559
1.0,22,0.466559
1.0,203,0.472623
0.0,69,0.474675
0.0,79,0.47702
1.0,36,0.478114
1.0,99,0.481043
0.0,36,0.482144
0.0,164,0.486949
1.0,17,0.487515
1.0,125,0.491285
0.0,75,0.493809
0.0,12,0.494197
1.0,41,0.495483
1.0,205,0.501954
0.0,53,0.503674
1.0,85,0.506212
1.0,26,0.507021
0.0,9,0.507319
0.0,36,0.508394
0.0,136,0.512394
1.0,39,0.513578
1.0,154,0.518209
0.0,63,0.520124
0.0,609,0.538959
1.0,22,0.539664
0.0,127,0.543625
0.0,196,0.549453
0.0,16,0.549959
0.0,17,0.550497
0.0,31,0.551431
1.0,189,0.55737
0.0,103,0.560849
0.0,4,0.561006
1.0,165,0.565865
0.0,20,0.566512
0.0,616,0.584965
1.0,20,0.585603
0.0,13,0.586023
0.0,5,0.586204
1.0,59,0.588017
1.0,16,0.588759
0.0,4,0.588914
0.0,37,0.590021
0.0,47,0.591488
0.0,14,0.591927
1.0,88,0.594616
0.0,99,0.597731
0.0,324,0.607357
0.0,17,0.60789
1.0,102,0.610949
0.0,179,0.61665
0.0,21,0.617308
1.0,66,0.619447
0.0,21,0.620117
0.0,90,0.622782
0.0,672,0.642741
1.0,14,0.643213
0.0,160,0.648411
0.0,52,0.65019
0.0,36,0.651361
1.0,21,0.652186
0.0,13,0.652645
0.0,144,0.65715
0.0,13,0.65757
1.0,19,0.658162
0.0,56,0.659852
0.0,236,0.666878
1.0,98,0.669836
1.0,15,0.670317
0.0,128,0.674108
0.0,52,0.675666
0.0,6,0.675877
0.0,131,0.68007
1.0,85,0.682801
0.0,31,0.683748
0.0,134,0.68769
1.0,25,0.688453
0.0,56,0.690379
0.0,78,0.69285
0.0,51,0.694393
1.0,18,0.694964
1.0,131,0.698857
0.0,136,0.702924
0.0,180,0.708568
1.0,19,0.709182
0.0,89,0.71242
0.0,190,0.718082
0.0,19,0.718685
1.0,14,0.719147
0.0,29,0.720051
0.0,12,0.720433
0.0,7,0.720664
1.0,19,0.721278
0.0,15,0.72175
0.0,41,0.723023
1.0,70,0.725124
0.0,12,0.725514
0.0,78,0.727813
0.0,14,0.72828
0.0,11,0.72864
1.0,32,0.729739
0.0,13,0.730152
1.0,130,0.734004
1.0,113,0.737428
1.0,11,0.737913
0.0,64,0.739984
1.0,198,0.746133
0.0,337,0.756297
1.0,13,0.756726
1.0,102,0.759776
0.0,2,0.759872
0.0,35,0.760924
0.0,7,0.761158
0.0,7,0.761395
1.0,191,0.767115
0.0,27,0.76803
1.0,33,0.769295
0.0,4,0.769452
0.0,10,0.769786
0.0,57,0.771554
1.0,13,0.771995
1.0,114,0.775615
0.0,15,0.776083
0.0,41,0.777313
1.0,11,0.777674
1.0,126,0.781469
0.0,6,0.781687
0.0,82,0.784249
1.0,11,0.784698
0.0,4,0.78485
0.0,50,0.78637
0.0,95,0.789213
1.0,16,0.789726
0.0,70,0.791819
0.0,102,0.794824
0.0,187,0.800649
1.0,27,0.801496
0.0,92,0.804392
0.0,213,0.811047
0.0,67,0.813092
1.0,15,0.813568
1.0,120,0.817097
0.0,56,0.818813
0.0,40,0.820051
1.0,11,0.820411
1.0,161,0.825195
0.0,191,0.831158
0.0,56,0.832872
1.0,11,0.833242
1.0,64,0.835198
0.0,139,0.839541
0.0,65,0.841643
1.0,42,0.843089
0.0,11,0.84345
0.0,253,0.851119
0.0,64,0.853065
1.0,15,0.853531
0.0,118,0.857035
0.0,27,0.857885
0.0,9,0.858197
1.0,31,0.85914
1.0,120,0.863251
1.0,166,0.868408
0.0,74,0.870644
1.0,11,0.871027
0.0,31,0.871956
0.0,17,0.872481
0.0,82,0.874959
1.0,11,0.875324
0.0,29,0.87622
0.0,208,0.882763
0.0,279,0.891066
1.0,13,0.891627
0.0,62,0.893631
0.0,341,0.904126
0.0,15,0.904608
1.0,13,0.905041
1.0,95,0.907869
0.0,75,0.910112
1.0,77,0.912407
1.0,14,0.912869
0.0,18,0.913438
0.0,201,0.919531
0.0,19,0.920116
1.0,13,0.92053
1.0,157,0.925536
1.0,151,0.930312
1.0,67,0.93235
1.0,11,0.932744
1.0,84,0.935238
1.0,272,0.943484
0.0,24,0.944252
1.0,11,0.94461
1.0,60,0.946392
1.0,144,0.950705
0.0,8,0.950995
1.0,11,0.95136
1.0,125,0.955366
1.0,166,0.960813
1.0,518,0.97618
1.0,11,0.976556
0.0,27,0.97738
0.0,80,0.979785
0.0,23,0.980527
1.0,11,0.980896
1.0,126,0.984918
0.0,15,0.985403
0.0,310,0.99524
1.0,12,0.995638
1.0,70,0.997776
0.0,102,1.000808
1.0,59,1.00258
1.0,11,1.002956
0.0,98,1.005895
0.0,75,1.008118
0.0,101,1.011174
1.0,13,1.011617
0.0,54,1.01327
0.0,37,1.014638
0.0,63,1.016548
1.0,13,1.016968
1.0,53,1.018563
