episodes,steps,total reward
34,1000,0.0
61,2000,2.0
81,3000,1.0
96,4000,3.0
118,5000,1.0
135,6000,2.0
149,7000,2.0
166,8000,1.0
183,9000,4.0
195,10000,5.0
209,11000,3.0
225,12000,5.0
241,13000,6.0
259,14000,4.0
273,15000,4.0
283,16000,3.0
302,17000,4.0
314,18000,5.0
325,19000,5.0
337,20000,5.0
347,21000,5.0
358,22000,3.0
370,23000,5.0
385,24000,5.0
395,25000,4.0
414,26000,6.0
426,27000,6.0
443,28000,7.0
457,29000,5.0
467,30000,4.0
487,31000,7.0
491,32000,3.0
503,33000,4.0
511,34000,3.0
523,35000,6.0
542,36000,9.0
554,37000,6.0
569,38000,7.0
585,39000,7.0
599,40000,6.0
602,41000,2.0
622,42000,9.0
643,43000,11.0
662,44000,11.0
675,45000,8.0
691,46000,8.0
715,47000,13.0
727,48000,6.0
743,49000,8.0
766,50000,11.0
778,51000,8.0
794,52000,10.0
813,53000,9.0
826,54000,7.0
846,55000,12.0
862,56000,11.0
875,57000,4.0
895,58000,12.0
914,59000,11.0
932,60000,12.0
951,61000,13.0
967,62000,9.0
982,63000,8.0
1006,64000,16.0
1018,65000,6.0
1043,66000,14.0
1070,67000,17.0
1102,68000,23.0
1140,69000,22.0
1182,70000,34.0
1223,71000,32.0
1258,72000,26.0
1300,73000,31.0
1328,74000,20.0
1369,75000,31.0
1406,76000,28.0
1439,77000,23.0
1487,78000,39.0
1540,79000,42.0
1593,80000,42.0
1606,81000,11.0
1641,82000,28.0
1691,83000,38.0
1741,84000,43.0
1794,85000,43.0
1846,86000,42.0
1897,87000,45.0
1950,88000,38.0
2002,89000,43.0
2051,90000,46.0
2103,91000,41.0
2156,92000,45.0
2209,93000,41.0
2254,94000,36.0
2311,95000,43.0
2355,96000,41.0
2404,97000,42.0
2457,98000,41.0
2507,99000,39.0
2555,100000,37.0
