episodes,steps,total reward
25,1000,0.0
43,2000,1.0
62,3000,0.0
75,4000,2.0
83,5000,3.0
95,6000,0.0
101,7000,1.0
108,8000,2.0
117,9000,4.0
125,10000,2.0
143,11000,3.0
151,12000,3.0
162,13000,3.0
169,14000,2.0
178,15000,2.0
191,16000,5.0
204,17000,4.0
208,18000,0.0
210,19000,0.0
225,20000,8.0
238,21000,8.0
250,22000,7.0
276,23000,19.0
305,24000,23.0
341,25000,26.0
383,26000,39.0
411,27000,22.0
464,28000,45.0
518,29000,47.0
567,30000,44.0
623,31000,46.0
682,32000,47.0
739,33000,48.0
796,34000,48.0
853,35000,44.0
911,36000,49.0
966,37000,47.0
1025,38000,49.0
1081,39000,48.0
1138,40000,50.0
1192,41000,50.0
1248,42000,47.0
1304,43000,47.0
1361,44000,47.0
1418,45000,49.0
1475,46000,45.0
1533,47000,49.0
1589,48000,49.0
1645,49000,51.0
1702,50000,48.0
1756,51000,49.0
1814,52000,46.0
1872,53000,51.0
1930,54000,47.0
1969,55000,30.0
2023,56000,48.0
2081,57000,48.0
2138,58000,51.0
2198,59000,47.0
2252,60000,51.0
2308,61000,51.0
2364,62000,51.0
2422,63000,47.0
2480,64000,50.0
2538,65000,46.0
2594,66000,49.0
2649,67000,49.0
2707,68000,48.0
2765,69000,46.0
2821,70000,51.0
2873,71000,47.0
2931,72000,49.0
2990,73000,46.0
3047,74000,48.0
3103,75000,47.0
3163,76000,45.0
3220,77000,49.0
3275,78000,50.0
3332,79000,45.0
3385,80000,50.0
3444,81000,49.0
3501,82000,48.0
3557,83000,44.0
3613,84000,49.0
3672,85000,46.0
3729,86000,46.0
3780,87000,44.0
3838,88000,49.0
3897,89000,44.0
3956,90000,49.0
4013,91000,49.0
4069,92000,47.0
4125,93000,50.0
4183,94000,49.0
4241,95000,50.0
4299,96000,47.0
4354,97000,45.0
4409,98000,46.0
4464,99000,45.0
4521,100000,49.0
