episodes,steps,total reward
27,1000,0.0
41,2000,0.0
53,3000,0.0
67,4000,0.0
70,5000,0.0
81,6000,0.0
90,7000,0.0
96,8000,0.0
102,9000,0.0
108,10000,0.0
116,11000,0.0
127,12000,0.0
135,13000,0.0
142,14000,0.0
151,15000,0.0
158,16000,1.0
172,17000,0.0
181,18000,2.0
194,19000,0.0
196,20000,0.0
201,21000,0.0
203,22000,0.0
206,23000,0.0
213,24000,1.0
222,25000,1.0
237,26000,1.0
256,27000,1.0
265,28000,1.0
270,29000,0.0
281,30000,1.0
289,31000,0.0
297,32000,0.0
302,33000,0.0
311,34000,0.0
320,35000,2.0
331,36000,0.0
336,37000,0.0
341,38000,1.0
350,39000,1.0
354,40000,1.0
357,41000,1.0
359,42000,1.0
362,43000,0.0
371,44000,4.0
378,45000,2.0
387,46000,1.0
395,47000,3.0
405,48000,2.0
418,49000,2.0
427,50000,2.0
436,51000,3.0
447,52000,2.0
458,53000,3.0
466,54000,2.0
475,55000,3.0
482,56000,4.0
492,57000,4.0
496,58000,2.0
517,59000,7.0
535,60000,7.0
555,61000,15.0
570,62000,12.0
601,63000,25.0
634,64000,26.0
649,65000,12.0
691,66000,28.0
726,67000,24.0
738,68000,6.0
765,69000,19.0
797,70000,25.0
837,71000,28.0
876,72000,32.0
911,73000,29.0
949,74000,32.0
987,75000,30.0
1016,76000,18.0
1055,77000,30.0
1095,78000,31.0
1136,79000,33.0
1173,80000,34.0
1210,81000,33.0
1252,82000,32.0
1292,83000,32.0
1330,84000,33.0
1370,85000,33.0
1409,86000,32.0
1449,87000,31.0
1487,88000,29.0
1523,89000,22.0
1560,90000,30.0
1600,91000,29.0
1639,92000,32.0
1682,93000,32.0
1719,94000,28.0
1759,95000,29.0
1796,96000,31.0
1836,97000,34.0
1878,98000,28.0
1920,99000,28.0
1960,100000,29.0
