# {"t_start": 1641616581.2468758, "env_id": "Office-single-v0"} 
r,l,t
0.0,35,0.001691
0.0,18,0.002473
0.0,70,0.00527
0.0,39,0.006713
0.0,8,0.007054
0.0,60,0.009234
0.0,4,0.009424
0.0,23,0.010265
0.0,26,0.011228
0.0,6,0.011465
0.0,38,0.012691
0.0,7,0.012955
0.0,29,0.013955
0.0,14,0.014625
0.0,10,0.015126
0.0,49,0.016769
0.0,93,0.019539
0.0,30,0.020459
0.0,69,0.022417
0.0,20,0.02307
0.0,31,0.023963
0.0,24,0.02465
0.0,40,0.025774
0.0,22,0.026512
0.0,63,0.028397
0.0,59,0.030027
0.0,45,0.031318
0.0,29,0.032128
0.0,23,0.032777
0.0,93,0.035657
0.0,98,0.038447
0.0,51,0.039892
0.0,84,0.042224
0.0,21,0.042828
0.0,51,0.044237
0.0,84,0.046542
0.0,87,0.048929
0.0,95,0.051675
0.0,95,0.054834
0.0,79,0.057023
0.0,66,0.058878
0.0,45,0.060127
0.0,9,0.060408
0.0,26,0.06115
0.0,262,0.068706
0.0,32,0.069678
0.0,78,0.071856
0.0,136,0.075645
0.0,68,0.077527
0.0,75,0.079704
0.0,66,0.081508
0.0,27,0.082263
0.0,113,0.085421
0.0,43,0.086634
0.0,140,0.091098
0.0,72,0.09326
0.0,179,0.098248
0.0,134,0.101997
0.0,162,0.106525
0.0,63,0.108335
0.0,61,0.110027
0.0,26,0.110779
0.0,657,0.129513
0.0,421,0.141089
0.0,289,0.149946
0.0,129,0.153614
0.0,92,0.156164
0.0,202,0.161745
0.0,23,0.162409
0.0,100,0.165315
0.0,40,0.166431
0.0,438,0.179306
0.0,39,0.180422
0.0,623,0.197624
0.0,137,0.201432
0.0,273,0.209851
0.0,51,0.211332
0.0,172,0.216765
0.0,76,0.218869
0.0,152,0.223094
0.0,110,0.22627
0.0,67,0.228201
0.0,16,0.228899
0.0,76,0.231785
0.0,92,0.235226
0.0,51,0.236887
0.0,81,0.239196
0.0,6,0.239401
0.0,509,0.253526
