# {"t_start": 1641343966.4383175, "env_id": "Office-single-v0"} 
r,l,t
0.0,33,0.001713
0.0,19,0.002569
0.0,4,0.002791
0.0,54,0.005071
0.0,20,0.00587
0.0,5,0.006108
0.0,18,0.006816
0.0,28,0.007912
0.0,24,0.008842
0.0,50,0.010671
0.0,36,0.011923
0.0,60,0.013978
0.0,29,0.014984
0.0,13,0.015422
0.0,65,0.017429
0.0,12,0.017836
0.0,127,0.02164
0.0,78,0.023929
0.0,8,0.024191
0.0,14,0.024615
0.0,26,0.025363
0.0,54,0.026912
0.0,19,0.027523
0.0,30,0.028441
0.0,15,0.0289
0.0,17,0.029403
0.0,18,0.030565
0.0,16,0.031127
0.0,48,0.03257
0.0,48,0.033942
0.0,69,0.036243
0.0,98,0.039058
0.0,48,0.040483
0.0,119,0.043986
0.0,43,0.04525
0.0,63,0.04703
0.0,32,0.048036
0.0,19,0.048621
0.0,67,0.050573
0.0,7,0.050802
0.0,73,0.052967
0.0,17,0.05364
0.0,21,0.05428
0.0,45,0.055664
0.0,79,0.057944
0.0,23,0.058641
0.0,14,0.059067
0.0,77,0.061378
0.0,37,0.06247
0.0,70,0.064757
0.0,42,0.066021
0.0,58,0.067741
0.0,61,0.06955
0.0,88,0.072176
0.0,49,0.073647
0.0,68,0.075818
0.0,19,0.076401
0.0,12,0.076761
0.0,56,0.078392
0.0,57,0.080265
0.0,49,0.081692
0.0,11,0.082034
0.0,61,0.083843
0.0,146,0.088115
0.0,257,0.095833
0.0,137,0.099857
0.0,65,0.101788
0.0,17,0.102311
0.0,51,0.103938
0.0,43,0.105191
0.0,30,0.106077
0.0,44,0.107409
0.0,178,0.112642
0.0,578,0.129727
0.0,190,0.135301
0.0,35,0.136386
0.0,118,0.140086
0.0,171,0.145265
0.0,57,0.146955
0.0,141,0.151088
0.0,8,0.151357
0.0,14,0.151829
0.0,18,0.15238
0.0,13,0.152785
0.0,14,0.15322
0.0,6,0.153425
0.0,187,0.159078
0.0,56,0.160798
0.0,280,0.169093
0.0,257,0.176574
0.0,53,0.178137
0.0,68,0.180166
0.0,17,0.180693
0.0,162,0.18602
0.0,99,0.188922
0.0,62,0.190715
