# {"t_start": 1641652742.2809067, "env_id": "Office-single-v0"} 
r,l,t
0.0,48,0.00157
0.0,14,0.001954
0.0,22,0.002505
0.0,88,0.004585
0.0,17,0.005105
0.0,2,0.005288
0.0,16,0.005813
0.0,20,0.006343
0.0,15,0.006758
0.0,32,0.007628
0.0,18,0.008079
0.0,2,0.008155
0.0,11,0.008439
0.0,42,0.009495
0.0,39,0.010433
0.0,63,0.011963
0.0,72,0.01376
0.0,35,0.014632
0.0,25,0.015293
0.0,44,0.016333
0.0,45,0.017452
0.0,38,0.018366
0.0,39,0.019279
0.0,47,0.020393
0.0,14,0.02081
0.0,30,0.021563
0.0,9,0.021815
0.0,124,0.02501
0.0,149,0.02946
0.0,108,0.03206
0.0,12,0.032373
0.0,63,0.034004
0.0,130,0.037225
0.0,48,0.038372
0.0,27,0.03905
0.0,58,0.04044
0.0,29,0.041254
0.0,62,0.04277
0.0,59,0.044161
0.0,37,0.045056
0.0,70,0.046692
0.0,77,0.048601
0.0,64,0.050309
0.0,24,0.050899
0.0,129,0.054098
0.0,93,0.056411
0.0,55,0.057764
0.0,92,0.059933
0.0,24,0.060519
0.0,37,0.061432
0.0,39,0.062357
0.0,52,0.063582
0.0,245,0.069305
0.0,35,0.070147
0.0,98,0.072526
0.0,224,0.077992
0.0,15,0.078377
0.0,22,0.079016
0.0,88,0.081233
0.0,31,0.081983
0.0,126,0.084907
0.0,29,0.085612
0.0,47,0.086785
0.0,179,0.091252
0.0,22,0.091801
0.0,116,0.094635
0.0,35,0.095798
0.0,159,0.099535
0.0,51,0.100981
0.0,189,0.105501
0.0,44,0.106598
0.0,147,0.110265
0.0,421,0.120768
0.0,37,0.121668
0.0,66,0.123255
0.0,11,0.123542
0.0,19,0.124011
0.0,39,0.125104
0.0,315,0.132557
0.0,129,0.135662
0.0,83,0.137737
0.0,67,0.139375
0.0,79,0.141282
0.0,295,0.148145
0.0,562,0.161739
0.0,332,0.169631
0.0,14,0.169997
0.0,49,0.171207
0.0,53,0.172657
0.0,17,0.173126
0.0,41,0.174351
0.0,638,0.189212
0.0,88,0.191329
0.0,104,0.19378
0.0,39,0.194777
0.0,13,0.195107
0.0,59,0.196542
0.0,35,0.197575
0.0,162,0.201434
0.0,45,0.202658
0.0,218,0.207679
0.0,31,0.208427
0.0,65,0.210053
0.0,10,0.210322
0.0,11,0.210611
0.0,2,0.210687
0.0,19,0.211157
0.0,66,0.212791
0.0,65,0.21446
0.0,78,0.216346
0.0,240,0.222195
0.0,89,0.22429
0.0,65,0.225941
0.0,51,0.227174
0.0,22,0.22777
0.0,64,0.229357
0.0,552,0.242741
0.0,120,0.245544
0.0,174,0.249967
0.0,28,0.250661
0.0,482,0.262086
0.0,19,0.262569
0.0,119,0.265603
0.0,85,0.267622
0.0,15,0.268005
0.0,149,0.271763
0.0,73,0.273537
0.0,94,0.275735
0.0,4,0.275863
0.0,477,0.286974
0.0,5,0.287148
0.0,72,0.2889
0.0,131,0.292039
0.0,361,0.300975
0.0,744,0.318559
0.0,114,0.321303
0.0,161,0.325115
0.0,223,0.330397
0.0,20,0.330906
0.0,168,0.334967
0.0,69,0.336609
0.0,102,0.339297
0.0,77,0.341245
0.0,29,0.34196
0.0,99,0.344586
0.0,21,0.345143
0.0,4,0.345269
0.0,74,0.347116
0.0,278,0.353714
0.0,11,0.35401
0.0,34,0.354882
0.0,69,0.356526
0.0,150,0.360233
0.0,241,0.366004
0.0,83,0.368196
0.0,110,0.371296
0.0,185,0.375666
0.0,80,0.377677
0.0,31,0.378428
0.0,51,0.379697
0.0,236,0.385305
