episodes,steps,total reward
29,1000,0.0
44,2000,0.0
55,3000,0.0
62,4000,0.0
75,5000,0.0
83,6000,0.0
89,7000,0.0
100,8000,0.0
105,9000,0.0
117,10000,0.0
125,11000,0.0
128,12000,0.0
135,13000,0.0
143,14000,0.0
149,15000,0.0
156,16000,0.0
162,17000,0.0
174,18000,0.0
181,19000,0.0
188,20000,0.0
198,21000,0.0
208,22000,0.0
217,23000,0.0
222,24000,0.0
233,25000,1.0
245,26000,0.0
248,27000,0.0
253,28000,0.0
255,29000,0.0
263,30000,0.0
269,31000,0.0
276,32000,0.0
279,33000,2.0
288,34000,1.0
297,35000,0.0
307,36000,1.0
315,37000,0.0
322,38000,1.0
326,39000,0.0
331,40000,0.0
340,41000,1.0
347,42000,2.0
354,43000,1.0
358,44000,0.0
361,45000,0.0
372,46000,1.0
382,47000,1.0
391,48000,0.0
401,49000,1.0
406,50000,0.0
410,51000,1.0
422,52000,1.0
428,53000,1.0
436,54000,0.0
440,55000,1.0
449,56000,2.0
462,57000,2.0
471,58000,0.0
474,59000,0.0
481,60000,0.0
489,61000,3.0
494,62000,1.0
503,63000,2.0
508,64000,1.0
517,65000,1.0
522,66000,0.0
528,67000,2.0
533,68000,0.0
539,69000,1.0
544,70000,3.0
549,71000,1.0
559,72000,3.0
563,73000,1.0
572,74000,3.0
578,75000,4.0
584,76000,2.0
593,77000,4.0
600,78000,1.0
610,79000,2.0
620,80000,3.0
627,81000,3.0
634,82000,3.0
642,83000,1.0
655,84000,3.0
659,85000,2.0
663,86000,0.0
672,87000,1.0
679,88000,4.0
692,89000,3.0
699,90000,1.0
710,91000,1.0
717,92000,1.0
727,93000,3.0
732,94000,2.0
736,95000,0.0
741,96000,1.0
750,97000,3.0
762,98000,4.0
769,99000,2.0
780,100000,2.0
