# {"t_start": 1641644321.484295, "env_id": "Office-v0"} 
r,l,t
0.0,4,0.000439
0.0,43,0.00159
0.0,4,0.001741
0.0,37,0.002823
0.0,22,0.003412
0.0,37,0.004364
0.0,48,0.005769
0.0,4,0.00591
0.0,79,0.008172
0.0,12,0.008558
0.0,31,0.009354
0.0,43,0.010697
0.0,2,0.010789
0.0,6,0.010979
0.0,24,0.011625
0.0,40,0.012663
0.0,27,0.013371
0.0,12,0.013767
0.0,66,0.015495
0.0,32,0.01631
0.0,22,0.016923
0.0,85,0.019289
0.0,9,0.019557
0.0,6,0.019739
0.0,33,0.020571
0.0,21,0.021124
0.0,25,0.021813
0.0,48,0.023041
0.0,15,0.023448
0.0,21,0.023991
0.0,19,0.024487
0.0,36,0.025432
0.0,46,0.026638
0.0,35,0.027541
0.0,54,0.029133
0.0,26,0.029869
0.0,21,0.030493
0.0,28,0.031204
0.0,50,0.032471
0.0,29,0.033226
0.0,153,0.037034
0.0,22,0.037657
0.0,38,0.038646
0.0,26,0.039327
0.0,41,0.040478
0.0,64,0.042186
0.0,32,0.043041
0.0,14,0.043423
1.0,64,0.045024
0.0,34,0.045923
0.0,144,0.049599
0.0,34,0.050477
0.0,42,0.05154
0.0,14,0.051906
0.0,8,0.052134
0.0,29,0.052877
0.0,83,0.055331
0.0,54,0.056788
0.0,64,0.058441
0.0,36,0.05938
1.0,77,0.061301
0.0,49,0.062617
0.0,53,0.06395
0.0,14,0.064331
0.0,9,0.06458
0.0,85,0.067196
0.0,64,0.068813
0.0,84,0.070983
0.0,19,0.071548
0.0,77,0.073524
0.0,51,0.074829
0.0,25,0.075475
0.0,100,0.077964
0.0,143,0.081779
0.0,85,0.083913
0.0,21,0.084569
1.0,24,0.085175
0.0,57,0.086778
0.0,18,0.08725
0.0,12,0.087616
0.0,8,0.087842
0.0,190,0.092539
0.0,100,0.095333
0.0,56,0.096751
0.0,2,0.096832
0.0,79,0.098843
0.0,13,0.099192
0.0,61,0.100747
1.0,72,0.102818
0.0,66,0.104543
0.0,37,0.105514
0.0,10,0.105914
1.0,42,0.107066
0.0,39,0.108206
0.0,28,0.108936
0.0,14,0.10932
0.0,53,0.1107
0.0,61,0.112236
0.0,130,0.115716
0.0,97,0.118211
0.0,92,0.120499
0.0,2,0.120576
0.0,30,0.121348
0.0,46,0.122635
1.0,62,0.124196
0.0,173,0.12869
0.0,41,0.129774
0.0,43,0.130878
1.0,54,0.13226
0.0,80,0.134728
0.0,67,0.136606
0.0,39,0.137635
1.0,60,0.139121
0.0,55,0.140491
0.0,55,0.141906
0.0,28,0.142756
1.0,25,0.14341
0.0,16,0.143829
0.0,34,0.144681
0.0,58,0.146249
1.0,72,0.148059
0.0,10,0.148371
0.0,95,0.150754
0.0,140,0.154258
0.0,145,0.157883
0.0,81,0.160152
0.0,68,0.161928
0.0,85,0.164109
1.0,44,0.165293
0.0,51,0.166646
0.0,206,0.171743
0.0,21,0.172325
0.0,21,0.172871
0.0,196,0.177697
0.0,39,0.178828
0.0,90,0.181278
1.0,36,0.182264
0.0,159,0.186494
0.0,111,0.189289
0.0,20,0.189856
0.0,35,0.190752
1.0,170,0.195058
0.0,91,0.197466
0.0,54,0.198865
1.0,48,0.20011
0.0,73,0.202163
0.0,46,0.203323
0.0,10,0.203598
1.0,42,0.2047
0.0,11,0.205008
0.0,46,0.206208
0.0,49,0.207539
0.0,9,0.207793
0.0,132,0.211077
0.0,61,0.212898
0.0,58,0.214393
0.0,121,0.217368
0.0,48,0.218589
0.0,62,0.220279
0.0,17,0.220738
0.0,2,0.220816
0.0,33,0.221665
0.0,101,0.224194
0.0,29,0.22496
1.0,65,0.226714
0.0,28,0.227419
0.0,48,0.228614
0.0,22,0.229183
0.0,49,0.23052
0.0,84,0.232599
0.0,15,0.232999
0.0,83,0.235141
1.0,57,0.236627
0.0,14,0.237006
0.0,18,0.237565
0.0,72,0.239464
0.0,58,0.240935
1.0,269,0.248
0.0,52,0.249327
0.0,107,0.252161
1.0,69,0.253894
1.0,155,0.257858
0.0,53,0.2592
0.0,15,0.259607
1.0,121,0.262672
0.0,50,0.264132
0.0,2,0.264214
0.0,30,0.264978
1.0,100,0.267626
0.0,74,0.269473
0.0,113,0.272445
0.0,69,0.27423
1.0,70,0.27599
0.0,4,0.276122
0.0,87,0.278334
0.0,12,0.278668
1.0,84,0.280757
0.0,67,0.282415
0.0,44,0.28354
0.0,209,0.288888
1.0,141,0.292828
0.0,35,0.293787
0.0,53,0.295212
0.0,27,0.295908
0.0,35,0.296799
0.0,31,0.297627
0.0,97,0.300104
0.0,49,0.301332
0.0,60,0.30291
1.0,239,0.308865
0.0,87,0.31112
0.0,7,0.31133
1.0,75,0.313235
0.0,114,0.316443
0.0,44,0.317629
0.0,92,0.319951
1.0,51,0.321294
0.0,7,0.321549
0.0,30,0.322329
0.0,44,0.323433
0.0,12,0.323762
1.0,159,0.327715
0.0,11,0.328026
0.0,99,0.3307
1.0,37,0.331723
0.0,18,0.332196
0.0,77,0.334139
0.0,40,0.335157
0.0,30,0.335927
0.0,77,0.337878
0.0,10,0.338164
0.0,9,0.338417
0.0,77,0.340379
1.0,176,0.344983
0.0,150,0.34898
0.0,51,0.350329
0.0,44,0.351608
0.0,12,0.351936
0.0,46,0.353098
0.0,68,0.354949
0.0,64,0.356581
0.0,70,0.358347
0.0,118,0.361308
0.0,186,0.366006
0.0,18,0.366494
1.0,204,0.371846
0.0,52,0.373196
0.0,43,0.374349
1.0,44,0.375499
0.0,57,0.376913
0.0,61,0.378551
0.0,20,0.379158
0.0,14,0.379529
1.0,244,0.385668
0.0,45,0.386904
0.0,37,0.387867
1.0,30,0.388652
1.0,135,0.392272
0.0,176,0.397015
0.0,104,0.399722
0.0,20,0.400256
1.0,229,0.405973
0.0,66,0.407706
0.0,134,0.411166
1.0,79,0.413344
0.0,95,0.415793
0.0,51,0.417107
0.0,116,0.420218
1.0,197,0.425258
1.0,193,0.43022
0.0,34,0.431121
0.0,35,0.432055
1.0,111,0.434893
0.0,202,0.44006
0.0,38,0.441074
0.0,78,0.443097
0.0,6,0.443283
0.0,9,0.443539
0.0,58,0.445019
0.0,106,0.447947
1.0,39,0.44896
0.0,40,0.450024
0.0,117,0.453189
0.0,52,0.454515
0.0,49,0.45574
1.0,223,0.461308
0.0,2,0.461394
0.0,93,0.463874
1.0,47,0.465095
0.0,42,0.466224
0.0,156,0.470278
0.0,84,0.472677
1.0,50,0.474022
0.0,67,0.475709
0.0,2,0.475789
0.0,11,0.476096
0.0,17,0.476537
0.0,141,0.480113
0.0,23,0.480727
0.0,153,0.48465
1.0,151,0.488448
0.0,65,0.490114
0.0,37,0.491064
0.0,43,0.492202
0.0,13,0.492564
1.0,209,0.497918
0.0,94,0.500457
0.0,60,0.501993
0.0,125,0.505185
0.0,134,0.508552
0.0,319,0.51687
0.0,2,0.516955
1.0,51,0.518251
1.0,87,0.520444
0.0,132,0.52403
0.0,173,0.528504
1.0,138,0.532115
0.0,18,0.532594
0.0,57,0.53409
0.0,457,0.545558
0.0,35,0.546508
1.0,142,0.550562
0.0,2,0.550648
0.0,6,0.550828
0.0,408,0.561167
1.0,196,0.5662
0.0,33,0.567088
0.0,333,0.575835
1.0,396,0.585996
0.0,100,0.588508
1.0,98,0.591078
0.0,137,0.594664
1.0,417,0.6054
1.0,218,0.611055
0.0,99,0.613712
0.0,157,0.617733
0.0,9,0.618001
0.0,53,0.619381
1.0,190,0.624293
0.0,123,0.627585
1.0,64,0.629231
0.0,114,0.632182
0.0,15,0.632598
0.0,56,0.63412
0.0,12,0.634457
1.0,294,0.641839
1.0,216,0.647522
0.0,98,0.650055
1.0,78,0.65209
1.0,77,0.654225
0.0,100,0.656739
0.0,36,0.657699
1.0,30,0.65847
1.0,289,0.665907
0.0,170,0.670206
0.0,64,0.67191
1.0,48,0.673151
1.0,233,0.679439
0.0,21,0.68001
0.0,30,0.680776
0.0,18,0.681251
1.0,236,0.687311
0.0,71,0.689203
0.0,141,0.692739
1.0,58,0.694264
0.0,70,0.696058
0.0,23,0.696681
0.0,68,0.698415
1.0,23,0.699042
1.0,220,0.704773
0.0,8,0.705008
0.0,242,0.711426
0.0,57,0.712888
1.0,151,0.716824
0.0,218,0.722404
0.0,76,0.724463
1.0,58,0.726029
0.0,68,0.7278
0.0,13,0.728162
0.0,188,0.733243
1.0,43,0.734426
1.0,282,0.74176
0.0,2,0.741846
0.0,8,0.742115
0.0,16,0.742535
1.0,157,0.746614
0.0,204,0.751842
0.0,55,0.753262
0.0,22,0.753863
1.0,213,0.759392
1.0,262,0.766199
0.0,124,0.76939
0.0,253,0.775878
0.0,30,0.776715
0.0,5,0.776871
0.0,384,0.78667
1.0,54,0.788083
1.0,190,0.792865
1.0,614,0.808477
0.0,82,0.810893
0.0,158,0.814908
1.0,98,0.817438
0.0,24,0.818088
0.0,99,0.82079
1.0,53,0.822213
0.0,178,0.826689
0.0,5,0.826847
0.0,8,0.827075
1.0,51,0.828407
0.0,14,0.828798
1.0,173,0.833224
0.0,93,0.835845
1.0,121,0.838966
0.0,115,0.842145
0.0,140,0.84574
0.0,486,0.857962
1.0,37,0.858945
1.0,160,0.863235
1.0,201,0.868396
0.0,48,0.869725
1.0,127,0.873
0.0,6,0.873189
0.0,103,0.87581
0.0,485,0.888321
0.0,102,0.890985
1.0,115,0.893978
1.0,185,0.898716
0.0,13,0.899084
1.0,43,0.900183
0.0,85,0.902385
0.0,225,0.908103
0.0,66,0.909832
1.0,571,0.924635
1.0,143,0.928447
0.0,99,0.931127
0.0,81,0.933316
0.0,4,0.933507
0.0,40,0.934551
1.0,218,0.940357
0.0,140,0.943953
1.0,136,0.947432
0.0,66,0.949126
1.0,132,0.95257
0.0,179,0.957196
1.0,23,0.957828
1.0,123,0.961038
0.0,15,0.96145
0.0,63,0.963062
1.0,36,0.964012
1.0,186,0.968988
0.0,142,0.972763
0.0,89,0.975094
1.0,51,0.976392
1.0,313,0.984255
0.0,51,0.985595
0.0,75,0.987542
0.0,15,0.98795
0.0,125,0.991249
0.0,157,0.995514
0.0,610,1.011179
0.0,2,1.011301
0.0,46,1.01248
0.0,7,1.012685
0.0,100,1.015248
1.0,87,1.017696
1.0,183,1.022466
1.0,291,1.030092
0.0,28,1.030915
1.0,42,1.032018
0.0,18,1.032531
0.0,13,1.03289
0.0,140,1.036486
1.0,269,1.043316
0.0,13,1.043886
0.0,187,1.048691
0.0,493,1.061221
1.0,169,1.065687
1.0,190,1.07077
1.0,163,1.075001
0.0,167,1.079276
1.0,39,1.080324
1.0,102,1.082945
0.0,142,1.086816
0.0,244,1.092962
1.0,27,1.093737
0.0,101,1.096564
0.0,24,1.097198
0.0,118,1.100253
0.0,28,1.100982
1.0,185,1.105837
0.0,162,1.109998
0.0,15,1.11042
0.0,52,1.111776
0.0,25,1.112465
0.0,12,1.112783
0.0,6,1.112964
0.0,9,1.113216
1.0,119,1.116287
0.0,117,1.119319
0.0,139,1.123207
1.0,495,1.135629
1.0,75,1.137559
1.0,278,1.144759
0.0,106,1.147511
1.0,48,1.148955
0.0,22,1.149543
0.0,103,1.152169
0.0,288,1.159652
1.0,43,1.160815
0.0,21,1.161354
0.0,55,1.162791
0.0,141,1.166389
1.0,453,1.178096
0.0,61,1.179927
0.0,24,1.180561
0.0,138,1.184146
0.0,9,1.184413
0.0,15,1.184822
