episodes,steps,total reward
38,1000,0.0
60,2000,0.0
85,3000,3.0
102,4000,3.0
120,5000,0.0
136,6000,2.0
149,7000,4.0
163,8000,3.0
177,9000,3.0
190,10000,5.0
201,11000,1.0
215,12000,2.0
225,13000,4.0
239,14000,3.0
248,15000,4.0
262,16000,3.0
270,17000,3.0
284,18000,3.0
289,19000,2.0
302,20000,3.0
311,21000,2.0
325,22000,4.0
331,23000,1.0
338,24000,1.0
344,25000,2.0
352,26000,2.0
359,27000,2.0
375,28000,3.0
388,29000,3.0
398,30000,4.0
403,31000,3.0
412,32000,2.0
418,33000,3.0
430,34000,2.0
435,35000,1.0
446,36000,4.0
457,37000,4.0
468,38000,4.0
478,39000,4.0
486,40000,4.0
495,41000,3.0
500,42000,0.0
510,43000,3.0
521,44000,4.0
530,45000,5.0
541,46000,4.0
548,47000,3.0
558,48000,4.0
565,49000,5.0
574,50000,5.0
588,51000,5.0
596,52000,3.0
602,53000,5.0
611,54000,3.0
621,55000,5.0
633,56000,5.0
651,57000,5.0
659,58000,2.0
667,59000,2.0
682,60000,7.0
697,61000,5.0
708,62000,6.0
715,63000,3.0
727,64000,4.0
742,65000,6.0
763,66000,7.0
770,67000,3.0
784,68000,4.0
791,69000,4.0
808,70000,8.0
815,71000,5.0
819,72000,2.0
829,73000,3.0
838,74000,5.0
859,75000,8.0
866,76000,5.0
881,77000,9.0
891,78000,4.0
902,79000,6.0
914,80000,7.0
927,81000,7.0
940,82000,7.0
958,83000,10.0
966,84000,5.0
979,85000,6.0
987,86000,5.0
999,87000,5.0
1011,88000,7.0
1033,89000,8.0
1046,90000,6.0
1051,91000,3.0
1059,92000,5.0
1074,93000,8.0
1086,94000,7.0
1105,95000,7.0
1118,96000,7.0
1133,97000,9.0
1154,98000,12.0
1174,99000,10.0
1192,100000,10.0
