episodes,steps,total reward
27,1000,0.0
44,2000,0.0
62,3000,0.0
78,4000,0.0
94,5000,0.0
101,6000,0.0
104,7000,0.0
113,8000,0.0
119,9000,0.0
123,10000,0.0
137,11000,0.0
142,12000,0.0
149,13000,0.0
159,14000,0.0
168,15000,0.0
174,16000,0.0
183,17000,0.0
194,18000,0.0
203,19000,0.0
214,20000,0.0
221,21000,0.0
223,22000,0.0
232,23000,0.0
237,24000,0.0
244,25000,0.0
250,26000,0.0
256,27000,0.0
264,28000,0.0
274,29000,0.0
286,30000,0.0
292,31000,0.0
296,32000,0.0
303,33000,0.0
308,34000,0.0
316,35000,0.0
325,36000,0.0
330,37000,0.0
338,38000,0.0
345,39000,0.0
350,40000,0.0
368,41000,0.0
374,42000,0.0
380,43000,0.0
389,44000,0.0
395,45000,0.0
397,46000,0.0
405,47000,0.0
413,48000,0.0
417,49000,0.0
429,50000,0.0
434,51000,0.0
440,52000,0.0
442,53000,0.0
446,54000,0.0
451,55000,0.0
458,56000,0.0
466,57000,0.0
474,58000,0.0
482,59000,0.0
487,60000,0.0
495,61000,0.0
498,62000,0.0
504,63000,1.0
513,64000,0.0
522,65000,0.0
527,66000,0.0
530,67000,0.0
537,68000,0.0
545,69000,0.0
548,70000,0.0
557,71000,0.0
562,72000,0.0
578,73000,0.0
585,74000,1.0
588,75000,0.0
592,76000,0.0
596,77000,1.0
597,78000,0.0
604,79000,0.0
609,80000,1.0
615,81000,1.0
622,82000,1.0
627,83000,0.0
635,84000,0.0
642,85000,0.0
648,86000,0.0
651,87000,1.0
656,88000,0.0
667,89000,1.0
673,90000,1.0
676,91000,0.0
680,92000,1.0
683,93000,0.0
692,94000,0.0
701,95000,1.0
709,96000,1.0
721,97000,0.0
728,98000,0.0
734,99000,0.0
740,100000,1.0
