# {"t_start": 1641213926.1542344, "env_id": "Office-single-v0"} 
r,l,t
0.0,7,0.000467
0.0,29,0.001215
0.0,30,0.001952
0.0,101,0.004344
0.0,26,0.004971
0.0,4,0.005092
0.0,14,0.005435
0.0,28,0.00608
0.0,45,0.007106
0.0,23,0.007766
0.0,72,0.009382
0.0,13,0.009706
0.0,23,0.010239
0.0,56,0.011606
0.0,20,0.012125
0.0,133,0.015089
0.0,66,0.016694
0.0,22,0.017206
0.0,19,0.017655
0.0,14,0.018023
0.0,27,0.018755
0.0,21,0.019247
0.0,41,0.020201
0.0,66,0.021665
0.0,8,0.021875
0.0,119,0.024934
0.0,78,0.026776
0.0,26,0.027376
0.0,15,0.027775
0.0,42,0.028716
0.0,75,0.030356
0.0,67,0.03202
0.0,39,0.032907
0.0,135,0.03597
0.0,53,0.037163
0.0,70,0.038777
0.0,64,0.040234
0.0,68,0.041792
0.0,63,0.043211
0.0,77,0.044944
0.0,37,0.045841
0.0,106,0.04847
0.0,70,0.050037
0.0,110,0.052488
0.0,121,0.055213
0.0,267,0.061006
0.0,122,0.064033
0.0,77,0.065752
0.0,28,0.066396
0.0,12,0.066692
0.0,59,0.068063
0.0,31,0.068766
0.0,134,0.072241
0.0,50,0.07336
0.0,15,0.07372
0.0,107,0.076149
0.0,131,0.07915
0.0,100,0.081386
0.0,66,0.082937
0.0,41,0.083939
0.0,152,0.087364
0.0,98,0.089809
0.0,85,0.091709
0.0,215,0.096667
0.0,30,0.097347
0.0,125,0.100144
0.0,161,0.103646
0.0,21,0.104132
0.0,30,0.104831
0.0,97,0.107037
0.0,60,0.108672
0.0,68,0.110362
0.0,70,0.111888
0.0,264,0.117961
0.0,80,0.119802
0.0,23,0.120332
0.0,5,0.120474
0.0,381,0.128798
0.0,81,0.13069
0.0,128,0.133523
0.0,425,0.143233
0.0,7,0.143421
0.0,45,0.144425
0.0,76,0.146187
0.0,101,0.148867
0.0,122,0.151546
0.0,11,0.151859
0.0,21,0.15235
0.0,151,0.1558
0.0,101,0.157996
0.0,2,0.158087
0.0,48,0.159183
0.0,45,0.160191
0.0,6,0.160355
0.0,9,0.160582
0.0,57,0.161909
0.0,59,0.163468
0.0,59,0.1648
0.0,72,0.16642
0.0,482,0.177168
0.0,96,0.179352
0.0,147,0.182599
0.0,298,0.189701
0.0,128,0.19266
0.0,94,0.194732
0.0,110,0.197295
0.0,8,0.19751
0.0,23,0.198062
0.0,87,0.200109
0.0,129,0.202969
0.0,26,0.203597
0.0,4,0.203732
0.0,47,0.204789
0.0,2,0.204863
0.0,11,0.205136
0.0,44,0.206187
0.0,118,0.209339
0.0,2,0.209418
0.0,17,0.209821
0.0,17,0.210224
0.0,67,0.211696
0.0,13,0.21202
0.0,24,0.212577
0.0,12,0.21287
0.0,94,0.21515
0.0,91,0.217208
0.0,237,0.222492
0.0,166,0.226807
0.0,27,0.227444
0.0,82,0.22933
0.0,221,0.234535
0.0,26,0.235141
0.0,501,0.246573
0.0,81,0.248407
0.0,400,0.257509
0.0,103,0.259886
0.0,88,0.261963
0.0,44,0.262947
0.0,97,0.265164
0.0,294,0.271703
0.0,110,0.274206
0.0,78,0.276045
0.0,135,0.279227
0.0,10,0.279481
0.0,136,0.282518
0.0,54,0.284063
0.0,113,0.286619
0.0,35,0.287398
0.0,65,0.288898
0.0,150,0.292483
0.0,84,0.294335
0.0,40,0.295239
0.0,21,0.295744
0.0,4,0.295866
0.0,171,0.299867
0.0,189,0.304323
0.0,158,0.308134
0.0,78,0.3099
0.0,15,0.310269
0.0,64,0.311709
0.0,136,0.31478
0.0,93,0.316936
0.0,170,0.320857
0.0,28,0.321584
0.0,133,0.32476
0.0,288,0.331707
0.0,183,0.335759
0.0,90,0.33798
0.0,158,0.341502
0.0,282,0.348051
0.0,85,0.350032
0.0,131,0.353196
0.0,61,0.354572
0.0,180,0.358621
0.0,273,0.364815
0.0,26,0.365435
0.0,321,0.37302
0.0,68,0.374733
0.0,105,0.377142
0.0,392,0.385928
0.0,149,0.389434
0.0,57,0.390798
0.0,60,0.392283
0.0,4,0.392405
0.0,286,0.39918
0.0,183,0.4034
0.0,31,0.404114
0.0,9,0.404344
0.0,64,0.405782
0.0,65,0.407314
0.0,377,0.416017
0.0,101,0.418484
0.0,235,0.423819
0.0,25,0.424412
0.0,70,0.425995
0.0,13,0.426328
0.0,161,0.430159
0.0,69,0.43179
0.0,357,0.439719
0.0,67,0.441491
0.0,35,0.442305
0.0,258,0.448272
0.0,131,0.451474
0.0,223,0.456596
0.0,120,0.459382
0.0,6,0.459552
0.0,123,0.46242
0.0,55,0.463715
0.0,24,0.464409
0.0,145,0.467731
0.0,45,0.468768
0.0,78,0.470526
0.0,157,0.474109
0.0,233,0.479688
0.0,323,0.486893
0.0,110,0.489722
0.0,44,0.490771
0.0,440,0.500625
0.0,293,0.50729
0.0,6,0.507463
0.0,179,0.511769
0.0,244,0.517565
0.0,62,0.518943
0.0,170,0.522845
0.0,27,0.523496
0.0,221,0.528707
0.0,29,0.529371
0.0,124,0.532192
0.0,21,0.532702
0.0,287,0.539595
0.0,69,0.541159
0.0,16,0.541539
0.0,56,0.542809
0.0,7,0.542994
0.0,456,0.553422
0.0,51,0.554705
0.0,87,0.556751
0.0,564,0.569725
0.0,106,0.572245
0.0,162,0.576035
0.0,29,0.576704
0.0,19,0.577222
0.0,31,0.577929
0.0,26,0.578537
0.0,137,0.581911
0.0,25,0.582486
0.0,658,0.597367
0.0,32,0.598129
0.0,327,0.605678
0.0,51,0.606861
0.0,91,0.608981
0.0,109,0.611451
0.0,201,0.616356
0.0,108,0.618805
0.0,58,0.62018
0.0,92,0.622229
0.0,118,0.62495
0.0,187,0.629434
0.0,34,0.630231
0.0,359,0.638512
0.0,281,0.645021
0.0,247,0.650867
0.0,135,0.653932
0.0,131,0.656962
0.0,274,0.663239
0.0,39,0.664162
0.0,17,0.664569
0.0,207,0.669107
0.0,236,0.674839
0.0,273,0.681085
0.0,173,0.684968
0.0,130,0.688061
0.0,366,0.69674
0.0,250,0.702475
0.0,183,0.706726
0.0,49,0.70796
0.0,568,0.72105
0.0,110,0.723511
0.0,139,0.7267
0.0,130,0.72963
0.0,237,0.735167
0.0,471,0.745853
0.0,39,0.746768
0.0,115,0.749427
0.0,77,0.751315
0.0,71,0.753028
0.0,162,0.756853
0.0,83,0.758795
0.0,157,0.762342
0.0,31,0.763082
0.0,174,0.767332
0.0,140,0.770522
0.0,237,0.775905
0.0,157,0.779502
0.0,19,0.780014
0.0,156,0.783646
0.0,160,0.787234
0.0,148,0.79093
0.0,15,0.791345
0.0,51,0.792567
0.0,233,0.797807
0.0,298,0.804398
0.0,119,0.80711
0.0,617,0.821302
0.0,356,0.829665
0.0,13,0.829989
0.0,100,0.832254
0.0,47,0.833345
0.0,67,0.83486
0.0,114,0.837679
0.0,25,0.838282
0.0,102,0.840638
0.0,12,0.840978
0.0,78,0.842799
0.0,77,0.84461
0.0,129,0.847506
0.0,163,0.85146
0.0,21,0.852024
0.0,157,0.85552
0.0,10,0.855785
0.0,180,0.860144
0.0,142,0.863375
0.0,131,0.866434
0.0,194,0.870813
0.0,93,0.873065
0.0,107,0.875562
0.0,28,0.876249
0.0,588,0.889942
0.0,85,0.89188
0.0,103,0.89421
0.0,8,0.894429
0.0,140,0.89766
0.0,59,0.898998
0.0,217,0.904061
0.0,10,0.904321
0.0,14,0.904732
0.0,70,0.906557
0.0,424,0.91637
0.0,193,0.920816
0.0,30,0.921532
0.0,215,0.926322
0.0,14,0.926674
1.0,800,0.945398
0.0,64,0.946893
0.0,154,0.950352
0.0,67,0.952169
0.0,118,0.954809
0.0,133,0.957854
0.0,402,0.967092
0.0,158,0.970695
0.0,12,0.971003
0.0,127,0.973879
0.0,126,0.977038
0.0,115,0.979753
0.0,45,0.980988
0.0,233,0.986239
0.0,27,0.986888
0.0,63,0.988321
0.0,4,0.988445
0.0,256,0.994319
0.0,421,1.004251
0.0,224,1.009386
0.0,178,1.013453
0.0,279,1.019922
0.0,32,1.020672
0.0,38,1.021732
0.0,17,1.022283
0.0,81,1.024173
0.0,161,1.027956
0.0,78,1.029717
0.0,39,1.030681
0.0,406,1.040117
0.0,7,1.040347
0.0,47,1.041419
0.0,4,1.041539
0.0,120,1.044307
0.0,31,1.045018
0.0,189,1.049545
0.0,12,1.04985
0.0,150,1.053329
0.0,23,1.053886
0.0,105,1.056432
0.0,196,1.061187
0.0,87,1.063153
0.0,51,1.064365
0.0,215,1.069455
0.0,309,1.076531
0.0,41,1.077494
0.0,50,1.078651
0.0,67,1.080189
0.0,39,1.081095
0.0,89,1.083142
0.0,154,1.086775
0.0,103,1.089127
0.0,911,1.109866
0.0,156,1.113462
1.0,175,1.117831
0.0,112,1.120437
0.0,317,1.127631
0.0,117,1.130405
0.0,216,1.13557
0.0,557,1.148513
0.0,86,1.1505
0.0,184,1.154962
1.0,815,1.173796
0.0,24,1.174487
0.0,164,1.178395
0.0,19,1.178854
0.0,135,1.182041
0.0,69,1.183676
0.0,11,1.183959
0.0,759,1.201477
0.0,11,1.20177
0.0,120,1.204496
0.0,12,1.204803
0.0,63,1.206253
0.0,57,1.207678
0.0,216,1.212921
0.0,225,1.218125
0.0,72,1.219791
0.0,59,1.221139
0.0,141,1.224358
0.0,546,1.23685
0.0,81,1.238867
0.0,66,1.240406
0.0,97,1.242593
0.0,25,1.243172
0.0,14,1.243517
0.0,47,1.244624
0.0,16,1.245082
0.0,140,1.24839
0.0,164,1.252186
0.0,63,1.253684
0.0,60,1.255048
0.0,44,1.256247
0.0,17,1.25666
0.0,107,1.259075
0.0,16,1.259462
0.0,126,1.262371
0.0,10,1.262633
0.0,103,1.265012
0.0,23,1.265571
0.0,61,1.266959
0.0,127,1.270026
0.0,46,1.271091
0.0,40,1.27202
0.0,82,1.273882
0.0,289,1.28065
0.0,44,1.281714
0.0,28,1.282376
0.0,320,1.289973
0.0,535,1.302369
0.0,33,1.30314
0.0,16,1.303537
1.0,124,1.306701
0.0,264,1.312806
0.0,63,1.314331
0.0,159,1.317911
0.0,365,1.326391
0.0,11,1.326676
0.0,102,1.329062
0.0,380,1.337798
0.0,134,1.34085
0.0,345,1.349093
0.0,220,1.354189
0.0,204,1.358794
0.0,545,1.371475
0.0,62,1.373159
0.0,187,1.377469
0.0,75,1.379175
0.0,19,1.379644
0.0,40,1.380563
0.0,4,1.380683
0.0,79,1.382473
0.0,17,1.382942
0.0,392,1.39178
0.0,79,1.393589
0.0,42,1.394547
0.0,49,1.395972
0.0,191,1.400433
1.0,134,1.403629
0.0,652,1.418229
0.0,698,1.434208
0.0,4,1.434341
0.0,36,1.435182
0.0,28,1.435838
0.0,224,1.441229
0.0,22,1.441955
0.0,18,1.44239
0.0,517,1.454171
0.0,320,1.461633
0.0,159,1.465467
0.0,47,1.466588
0.0,76,1.468393
0.0,31,1.469105
0.0,49,1.470234
1.0,227,1.47542
0.0,374,1.483969
0.0,190,1.488463
0.0,111,1.490998
0.0,52,1.492232
0.0,294,1.499119
0.0,103,1.501465
0.0,78,1.503247
0.0,171,1.507159
0.0,261,1.513343
1.0,146,1.516971
0.0,64,1.51842
0.0,71,1.520019
0.0,323,1.527222
0.0,346,1.535182
0.0,338,1.542894
0.0,375,1.551565
0.0,145,1.555001
0.0,4,1.555127
0.0,279,1.561578
0.0,152,1.565049
0.0,182,1.569179
0.0,341,1.577053
1.0,138,1.580203
0.0,70,1.582032
0.0,308,1.589067
0.0,33,1.589874
0.0,430,1.599633
0.0,122,1.602443
0.0,500,1.614396
0.0,102,1.6167
0.0,15,1.617077
1.0,373,1.625509
0.0,41,1.626465
0.0,160,1.630365
0.0,182,1.634485
0.0,210,1.63934
0.0,189,1.643721
0.0,29,1.644388
0.0,35,1.645272
0.0,105,1.647878
0.0,48,1.648963
1.0,120,1.651953
0.0,494,1.662962
0.0,23,1.663512
0.0,56,1.664785
1.0,219,1.670163
0.0,9,1.670401
