episodes,steps,total reward
28,1000,0.0
41,2000,0.0
52,3000,0.0
61,4000,0.0
67,5000,0.0
70,6000,0.0
74,7000,0.0
84,8000,0.0
99,9000,0.0
115,10000,0.0
120,11000,0.0
128,12000,0.0
139,13000,0.0
143,14000,0.0
151,15000,0.0
156,16000,0.0
166,17000,0.0
171,18000,0.0
179,19000,0.0
191,20000,0.0
197,21000,0.0
203,22000,0.0
211,23000,0.0
220,24000,0.0
227,25000,0.0
239,26000,0.0
243,27000,0.0
254,28000,0.0
258,29000,0.0
259,30000,0.0
262,31000,0.0
269,32000,0.0
274,33000,0.0
280,34000,0.0
287,35000,0.0
294,36000,0.0
300,37000,0.0
308,38000,0.0
317,39000,0.0
324,40000,0.0
331,41000,0.0
338,42000,0.0
345,43000,0.0
356,44000,0.0
363,45000,0.0
373,46000,0.0
385,47000,0.0
389,48000,0.0
393,49000,0.0
397,50000,0.0
405,51000,0.0
410,52000,0.0
420,53000,0.0
424,54000,0.0
433,55000,0.0
439,56000,0.0
451,57000,0.0
455,58000,0.0
460,59000,0.0
466,60000,0.0
473,61000,0.0
480,62000,0.0
487,63000,0.0
494,64000,0.0
497,65000,0.0
506,66000,0.0
516,67000,0.0
520,68000,0.0
527,69000,0.0
531,70000,0.0
538,71000,0.0
541,72000,0.0
544,73000,0.0
556,74000,0.0
563,75000,0.0
565,76000,0.0
570,77000,0.0
574,78000,0.0
577,79000,0.0
583,80000,0.0
589,81000,0.0
593,82000,0.0
600,83000,0.0
609,84000,0.0
612,85000,0.0
618,86000,0.0
624,87000,0.0
632,88000,0.0
635,89000,0.0
641,90000,0.0
653,91000,0.0
665,92000,0.0
674,93000,0.0
683,94000,0.0
686,95000,1.0
691,96000,0.0
697,97000,1.0
699,98000,0.0
709,99000,0.0
714,100000,1.0
