# {"t_start": 1640871739.6292937, "env_id": "Office-single-v0"} 
r,l,t
0.0,22,0.000817
0.0,30,0.001555
0.0,26,0.002204
0.0,13,0.002526
0.0,30,0.003222
0.0,15,0.003628
0.0,18,0.00406
0.0,28,0.004758
0.0,79,0.00652
0.0,2,0.006598
0.0,57,0.007966
0.0,100,0.010319
0.0,24,0.010884
0.0,18,0.011349
0.0,107,0.01384
0.0,71,0.015502
0.0,42,0.016677
0.0,60,0.018082
0.0,52,0.01928
0.0,56,0.020592
0.0,62,0.021995
0.0,91,0.024138
0.0,24,0.024743
0.0,29,0.025407
0.0,56,0.026719
0.0,59,0.028065
0.0,54,0.029335
0.0,32,0.030063
0.0,73,0.031733
0.0,101,0.03426
0.0,34,0.035177
0.0,2,0.035252
0.0,76,0.036959
0.0,37,0.037804
0.0,49,0.03896
0.0,77,0.040662
0.0,115,0.043243
0.0,30,0.043929
0.0,147,0.047262
0.0,41,0.048192
0.0,102,0.050754
0.0,64,0.05223
0.0,41,0.053169
0.0,150,0.056513
0.0,46,0.057606
0.0,76,0.059311
0.0,65,0.060789
0.0,82,0.062646
0.0,17,0.063056
0.0,97,0.065248
0.0,67,0.066802
0.0,36,0.067621
0.0,86,0.069615
0.0,15,0.069978
0.0,113,0.072583
0.0,7,0.072778
0.0,58,0.074134
0.0,16,0.074517
1.0,152,0.078
0.0,53,0.079221
0.0,67,0.080781
0.0,4,0.080905
0.0,18,0.081335
0.0,77,0.083077
0.0,5,0.083222
0.0,71,0.084997
0.0,68,0.08651
0.0,89,0.088537
0.0,9,0.088772
0.0,21,0.08926
0.0,70,0.090858
0.0,6,0.091038
0.0,176,0.094971
0.0,19,0.095439
0.0,22,0.095962
0.0,68,0.097566
0.0,25,0.098158
0.0,60,0.099502
1.0,110,0.102042
0.0,102,0.104411
0.0,254,0.110207
0.0,227,0.115354
0.0,19,0.115864
0.0,228,0.121061
1.0,283,0.127521
0.0,186,0.131752
0.0,38,0.132833
0.0,16,0.133236
0.0,138,0.13639
0.0,4,0.136524
0.0,15,0.136902
0.0,129,0.139841
1.0,139,0.14307
0.0,82,0.144954
0.0,88,0.147057
0.0,88,0.149051
1.0,387,0.157874
0.0,190,0.16232
1.0,196,0.167058
0.0,92,0.169155
1.0,282,0.175573
1.0,613,0.189718
0.0,86,0.191695
0.0,89,0.193789
0.0,35,0.194637
0.0,180,0.198772
0.0,111,0.201336
0.0,11,0.201624
1.0,266,0.207627
0.0,53,0.208886
0.0,276,0.215116
1.0,217,0.220095
1.0,230,0.225456
1.0,123,0.228303
0.0,25,0.228909
0.0,45,0.229946
0.0,37,0.230797
0.0,111,0.233626
0.0,30,0.234332
0.0,18,0.234769
0.0,36,0.235645
0.0,186,0.239899
0.0,24,0.240479
1.0,249,0.247062
0.0,125,0.249897
