episodes,steps,total reward
37,1000,3.0
56,2000,2.5
77,3000,4.0
95,4000,1.0
109,5000,3.5
125,6000,4.0
137,7000,2.0
146,8000,5.0
155,9000,2.5
172,10000,3.0
184,11000,3.5
193,12000,3.5
204,13000,4.5
219,14000,2.0
234,15000,2.5
245,16000,4.0
258,17000,5.0
270,18000,3.0
279,19000,2.0
290,20000,6.5
299,21000,2.5
304,22000,2.0
316,23000,5.0
322,24000,3.5
329,25000,4.0
336,26000,3.0
345,27000,3.0
354,28000,6.5
361,29000,1.5
367,30000,3.5
372,31000,2.5
382,32000,4.5
387,33000,3.5
392,34000,2.0
401,35000,3.0
413,36000,5.5
423,37000,7.0
426,38000,1.0
435,39000,5.0
445,40000,3.5
459,41000,6.0
472,42000,6.0
485,43000,5.0
501,44000,3.5
515,45000,6.0
526,46000,3.5
537,47000,6.0
546,48000,4.0
552,49000,3.5
562,50000,5.0
577,51000,9.5
583,52000,1.0
588,53000,2.5
602,54000,8.0
611,55000,4.5
623,56000,5.5
634,57000,5.0
647,58000,5.5
658,59000,7.5
665,60000,3.0
678,61000,7.5
693,62000,6.0
706,63000,8.0
719,64000,5.0
729,65000,5.0
747,66000,7.5
759,67000,8.0
778,68000,8.5
794,69000,8.5
802,70000,5.0
818,71000,7.0
831,72000,7.5
843,73000,7.5
854,74000,10.5
871,75000,9.0
884,76000,7.0
906,77000,13.5
921,78000,7.5
930,79000,8.5
946,80000,8.5
966,81000,13.0
982,82000,10.5
998,83000,9.0
1037,84000,24.0
1052,85000,11.5
1072,86000,13.5
1100,87000,17.5
1126,88000,12.0
1146,89000,12.5
1177,90000,19.0
1200,91000,17.0
1226,92000,20.0
1250,93000,12.5
1282,94000,21.0
1302,95000,13.5
1334,96000,17.5
1354,97000,14.5
1389,98000,21.0
1422,99000,21.0
1458,100000,22.5
