episodes,steps,total reward
32,1000,6.0
51,2000,3.0
65,3000,2.0
75,4000,1.5
89,5000,2.0
96,6000,1.5
103,7000,2.0
108,8000,0.5
122,9000,3.0
131,10000,2.0
133,11000,0.5
141,12000,2.0
155,13000,3.0
171,14000,5.5
181,15000,1.5
187,16000,1.5
194,17000,2.0
197,18000,0.5
201,19000,2.0
208,20000,1.0
217,21000,2.0
230,22000,5.5
239,23000,2.5
243,24000,1.5
252,25000,2.5
267,26000,3.5
281,27000,4.0
288,28000,1.0
297,29000,3.5
323,30000,10.5
430,31000,51.5
548,32000,58.0
709,33000,80.5
802,34000,46.0
984,35000,90.5
1151,36000,82.0
1287,37000,66.5
1408,38000,59.0
1519,39000,55.0
1716,40000,99.0
1876,41000,79.0
2045,42000,83.5
2209,43000,81.5
2427,44000,108.5
2641,45000,107.5
2857,46000,107.0
3074,47000,108.5
3296,48000,111.0
3480,49000,91.0
3680,50000,100.5
3895,51000,107.0
4024,52000,64.5
4174,53000,74.5
4393,54000,109.5
4593,55000,98.5
4810,56000,108.5
4913,57000,51.5
5126,58000,106.0
5340,59000,107.5
5557,60000,108.0
5770,61000,107.0
5983,62000,106.0
6201,63000,109.0
6416,64000,107.5
6636,65000,110.0
6853,66000,108.0
7067,67000,106.5
7285,68000,108.5
7501,69000,107.5
7650,70000,74.0
7855,71000,103.0
8070,72000,108.0
8283,73000,106.0
8500,74000,108.0
8720,75000,110.5
8943,76000,111.0
9161,77000,109.0
9373,78000,106.0
9592,79000,109.5
9805,80000,106.0
10024,81000,109.5
10183,82000,79.5
10396,83000,106.0
10614,84000,109.0
10838,85000,112.0
11048,86000,105.0
11272,87000,112.0
11493,88000,110.5
11710,89000,108.5
11923,90000,106.5
12136,91000,106.5
12343,92000,103.5
12570,93000,113.5
12794,94000,112.0
13008,95000,107.0
13226,96000,109.0
13439,97000,106.5
13658,98000,109.5
13873,99000,107.5
14083,100000,105.5
