# {"t_start": 1641528320.844054, "env_id": "Office-single-v0"} 
r,l,t
0.5,47,0.001421
0.0,2,0.00151
0.5,33,0.002334
0.5,20,0.002821
0.0,45,0.003942
0.5,31,0.00482
0.0,25,0.00549
0.0,15,0.005906
0.5,79,0.007802
0.0,6,0.007969
0.5,59,0.009327
0.5,17,0.009771
0.0,16,0.010175
0.0,23,0.01073
0.0,14,0.011091
0.0,8,0.011314
0.0,15,0.011693
0.0,23,0.012271
0.5,66,0.013825
0.0,23,0.014382
0.0,39,0.015318
0.0,8,0.015534
0.5,48,0.016654
0.0,27,0.017293
0.0,70,0.018993
0.0,12,0.019298
0.0,36,0.020121
0.0,20,0.020598
0.5,38,0.021478
0.5,33,0.022256
0.0,62,0.023827
0.5,46,0.025183
0.0,17,0.025604
0.0,75,0.027648
0.0,89,0.029789
0.5,26,0.030424
0.0,18,0.030864
0.0,53,0.032088
0.0,26,0.032684
0.0,32,0.033429
0.5,83,0.03541
0.0,79,0.037211
0.0,107,0.039716
0.0,78,0.041551
0.5,36,0.042429
0.5,41,0.043443
0.0,28,0.04411
0.0,113,0.046696
0.0,53,0.048049
0.0,71,0.049937
0.0,10,0.050199
0.5,31,0.050961
0.0,53,0.052187
0.0,29,0.052863
0.0,51,0.054069
0.5,11,0.05435
0.0,88,0.05641
0.0,65,0.057931
0.5,42,0.058916
0.0,12,0.059215
0.0,12,0.059512
0.0,83,0.061394
0.5,41,0.062354
0.5,45,0.063393
0.0,93,0.065581
0.5,15,0.065999
0.0,17,0.066408
0.0,12,0.066709
0.5,45,0.067758
0.0,77,0.069529
0.0,80,0.071439
0.0,57,0.072737
0.0,89,0.075109
0.0,30,0.075812
0.5,55,0.077086
0.0,28,0.077811
0.0,42,0.078793
0.5,19,0.079258
0.5,13,0.079587
0.5,52,0.080772
0.0,20,0.081272
0.5,148,0.084755
0.0,76,0.086704
0.0,32,0.087502
0.0,93,0.089703
0.5,21,0.090217
0.5,147,0.093661
0.0,119,0.096424
0.0,136,0.099844
0.0,59,0.101272
0.5,84,0.103447
0.5,64,0.104932
0.5,75,0.106733
0.0,43,0.107895
0.0,133,0.111037
0.0,11,0.111323
0.0,20,0.111799
0.5,55,0.113093
0.0,78,0.114968
0.0,378,0.123912
0.0,118,0.126684
0.5,9,0.127405
0.0,12,0.127719
0.5,131,0.130812
0.5,6,0.130992
0.5,35,0.131836
0.0,82,0.133838
0.0,155,0.137472
0.0,63,0.139023
0.0,32,0.139787
0.5,24,0.140381
0.0,63,0.14197
0.5,26,0.142588
0.5,130,0.145831
0.0,108,0.14854
0.0,555,0.161406
0.5,110,0.163976
0.5,13,0.164315
0.0,123,0.167212
0.0,342,0.175318
0.0,41,0.176307
0.0,20,0.1768
0.0,135,0.180023
0.0,11,0.180311
0.5,96,0.182539
0.0,61,0.183965
0.5,176,0.188344
0.0,471,0.199504
0.0,11,0.199798
0.0,60,0.201216
0.0,17,0.201636
0.5,421,0.211697
0.0,38,0.212605
0.0,184,0.217002
0.5,360,0.225609
0.5,111,0.228435
0.5,35,0.229277
0.0,72,0.230994
0.5,520,0.24333
0.0,7,0.243533
0.0,45,0.244611
0.0,170,0.248611
0.5,77,0.250413
0.0,149,0.253861
0.0,71,0.255754
0.0,106,0.258356
0.0,146,0.261854
0.0,8,0.262078
0.5,52,0.263313
0.5,70,0.264961
0.5,35,0.266073
0.0,145,0.269461
0.0,39,0.270647
0.0,35,0.271554
0.0,26,0.272183
0.0,283,0.278709
0.0,98,0.281002
0.0,81,0.282898
0.5,119,0.285652
0.0,49,0.286881
0.0,55,0.288261
0.0,106,0.291026
0.0,75,0.292955
0.5,27,0.293599
0.5,23,0.294158
0.0,85,0.296134
0.0,77,0.297932
0.0,58,0.299301
0.5,44,0.30034
0.0,43,0.301368
0.0,294,0.308218
0.5,51,0.309417
0.0,1000,0.333084
0.0,106,0.335674
0.5,7,0.335876
0.0,214,0.341089
0.0,4,0.341221
0.5,18,0.341674
0.0,86,0.343709
0.0,343,0.351648
0.0,44,0.352694
0.5,30,0.353419
0.0,60,0.354879
0.0,12,0.35519
0.0,355,0.363624
0.5,291,0.370806
0.5,76,0.372576
0.5,19,0.373052
0.0,20,0.373576
0.0,35,0.37442
0.0,97,0.376695
0.5,88,0.378778
0.0,150,0.382337
0.5,27,0.382991
0.0,253,0.389254
0.0,80,0.391241
0.0,140,0.39468
0.0,88,0.39677
0.5,86,0.398772
0.0,7,0.398968
0.0,377,0.407702
0.0,73,0.409586
0.0,71,0.411381
0.5,265,0.417755
0.0,93,0.419925
0.5,85,0.421936
0.0,344,0.429894
0.5,67,0.431464
0.5,153,0.435229
0.0,150,0.438707
0.0,145,0.4421
0.5,9,0.442347
0.5,16,0.442813
0.0,10,0.443074
0.0,89,0.445243
0.0,11,0.445531
0.5,130,0.448527
0.0,19,0.448997
0.5,170,0.453132
0.5,420,0.463063
0.0,315,0.470366
0.5,16,0.470769
0.0,77,0.472587
0.0,27,0.473241
0.0,122,0.476195
0.5,19,0.476666
0.0,47,0.477801
0.5,37,0.478686
0.0,921,0.501018
0.0,43,0.502132
0.5,32,0.502888
0.5,602,0.517223
0.5,12,0.517546
0.0,156,0.521275
0.0,13,0.521615
0.0,28,0.522335
0.0,1000,0.545521
0.0,68,0.547126
0.5,33,0.547918
0.0,43,0.549034
0.0,123,0.552322
0.5,32,0.553092
0.0,73,0.554831
1.0,124,0.557908
0.5,133,0.560978
0.0,33,0.561813
0.0,61,0.563298
0.0,80,0.565242
0.0,589,0.579368
0.0,176,0.583565
0.5,18,0.584063
0.0,20,0.584555
0.0,38,0.585456
0.0,28,0.586143
0.0,172,0.590149
0.5,100,0.59247
0.5,31,0.593214
0.0,16,0.593621
0.5,139,0.597033
0.0,41,0.59805
0.0,368,0.606766
0.0,100,0.609103
0.0,6,0.609277
0.0,70,0.611059
0.0,25,0.611742
0.0,88,0.613842
0.0,25,0.614522
0.5,9,0.614765
0.0,96,0.61704
0.5,31,0.617825
0.0,41,0.618809
0.5,141,0.622066
0.0,82,0.623996
0.0,9,0.624466
0.0,71,0.626311
0.0,5,0.62646
0.0,136,0.629591
0.0,22,0.630179
0.5,20,0.63072
0.5,27,0.631509
1.0,78,0.633477
0.0,185,0.638068
0.0,169,0.64206
0.0,600,0.656377
0.5,16,0.656787
0.0,147,0.660275
0.5,136,0.663468
1.0,144,0.666825
0.0,83,0.668766
0.5,20,0.66925
1.0,94,0.671704
0.0,62,0.673395
0.5,4,0.673523
0.0,332,0.681188
0.5,18,0.681638
0.0,26,0.682263
0.0,111,0.684883
0.0,124,0.687929
0.5,4,0.688062
0.0,132,0.691323
0.0,126,0.694324
0.5,71,0.695987
0.0,74,0.698087
0.0,164,0.702005
0.0,6,0.702183
0.5,29,0.702883
0.5,161,0.706703
0.0,14,0.707063
0.0,10,0.707324
0.5,4,0.707449
0.5,15,0.707826
0.5,34,0.708753
0.0,18,0.709201
0.0,172,0.71321
0.0,140,0.716483
0.0,93,0.71881
0.0,52,0.720036
0.0,84,0.722312
1.0,79,0.724176
0.0,117,0.726925
0.0,25,0.72754
0.0,69,0.729414
0.5,17,0.729849
0.0,216,0.734887
0.0,326,0.742386
0.0,135,0.745876
0.5,21,0.746468
0.0,43,0.747509
0.5,29,0.74822
0.0,82,0.750196
0.5,6,0.750369
0.0,28,0.75105
0.5,18,0.75149
0.0,40,0.752473
0.5,14,0.752831
0.5,14,0.753181
0.0,61,0.754639
0.5,10,0.754903
0.5,42,0.755884
0.5,4,0.75601
0.0,35,0.756851
0.0,102,0.759241
0.5,8,0.759458
0.5,15,0.759833
0.0,89,0.761952
0.5,4,0.762086
0.0,129,0.765094
0.5,7,0.765356
0.5,7,0.765598
0.5,4,0.765749
0.5,4,0.765961
0.0,98,0.76827
0.5,4,0.768398
0.5,8,0.768614
0.5,4,0.768739
0.5,6,0.768909
0.5,12,0.769216
0.5,4,0.769342
0.5,7,0.769535
0.5,4,0.769659
0.5,12,0.770014
0.5,4,0.770339
0.5,4,0.770485
0.5,4,0.770612
0.5,4,0.770734
0.5,9,0.770969
0.5,4,0.771094
0.5,4,0.77122
0.5,7,0.771412
0.5,7,0.771603
0.5,4,0.771725
0.5,4,0.771849
0.0,252,0.777702
0.5,9,0.777952
0.5,4,0.77808
0.5,8,0.778298
0.5,4,0.778425
0.5,4,0.778549
0.5,4,0.778676
0.5,4,0.778823
0.5,12,0.779147
0.5,16,0.779616
0.5,4,0.779743
0.0,5,0.779887
0.5,4,0.780012
0.5,4,0.780136
0.5,4,0.780262
0.5,4,0.780386
0.0,21,0.7809
0.5,4,0.781028
0.5,4,0.781154
0.5,4,0.78128
0.5,6,0.781451
0.5,4,0.781573
0.5,4,0.781698
0.5,4,0.781864
0.5,4,0.78199
0.5,4,0.782115
0.5,10,0.782377
0.5,4,0.782503
0.5,4,0.782628
0.5,4,0.782753
0.5,4,0.782877
0.5,4,0.782999
0.5,4,0.783123
0.5,14,0.78347
0.5,4,0.7836
0.5,4,0.783725
0.5,9,0.784069
0.5,4,0.784194
0.5,4,0.784353
0.5,4,0.784479
0.5,4,0.784603
0.5,6,0.784807
0.5,4,0.784931
0.5,4,0.785119
0.5,4,0.785246
0.5,4,0.785418
0.5,4,0.785542
0.5,4,0.785687
0.5,6,0.785912
0.5,4,0.786035
0.5,4,0.786161
0.5,4,0.786287
0.5,6,0.786454
0.5,4,0.78658
0.5,4,0.786705
0.5,4,0.78683
0.5,4,0.786955
0.5,4,0.787075
0.5,4,0.787201
0.5,7,0.787393
0.5,4,0.787552
0.5,6,0.787723
0.5,4,0.787848
0.5,4,0.787971
0.5,4,0.788097
0.5,4,0.788223
0.5,4,0.788347
0.5,4,0.788473
0.5,4,0.788598
0.5,4,0.788721
0.5,7,0.788914
0.5,4,0.78904
0.5,4,0.789165
0.5,4,0.78929
0.5,4,0.789415
0.5,4,0.789541
0.5,4,0.789666
0.5,4,0.789832
0.5,4,0.789959
0.5,51,0.791153
0.5,4,0.79128
0.5,4,0.791405
0.5,6,0.791573
0.5,6,0.791742
0.0,108,0.794208
0.5,4,0.794337
0.5,4,0.794464
0.5,9,0.794703
0.5,4,0.794828
0.5,4,0.794953
0.5,4,0.795075
0.5,4,0.795202
0.5,4,0.795326
0.5,4,0.795451
0.5,4,0.795574
0.5,8,0.795788
0.5,4,0.795914
0.5,4,0.796039
0.5,6,0.796209
0.5,4,0.796334
0.5,4,0.796458
0.5,10,0.796719
0.5,4,0.796844
0.5,4,0.79697
0.5,4,0.797094
0.5,4,0.797218
0.5,4,0.797342
0.5,4,0.797467
0.5,4,0.797592
0.5,4,0.79772
0.5,4,0.797969
0.5,4,0.798243
0.5,4,0.798386
0.5,4,0.798512
0.5,4,0.798637
0.5,15,0.79902
0.5,4,0.799146
0.5,4,0.799273
0.5,4,0.799397
0.5,8,0.799612
0.5,4,0.799737
0.5,18,0.800217
0.5,4,0.800344
0.5,6,0.800511
0.5,6,0.800683
0.5,6,0.800855
0.0,37,0.801756
